atmosphere,city,cleanliness,country,facilities,location,name,rating,rating_cat,reviews,security,staff,value_for_money
9.1,Hanoi,9.1,Vietnam,9.1,9.3,Republik Backpackers Hostel,9.3,Superb,1516,9.3,9.6,9.4
9.1,Hanoi,9.4,Vietnam,9.1,9.8,Old Quarter View Hanoi Hostel,9.4,Superb,3206,9.6,9.4,9.4
8.8,Hanoi,9.6,Vietnam,9.1,9.9,O Quan Chuong Homestay and Coffee,9.4,Superb,16,9.4,9.4,9.5
8.9,Hanoi,9.1,Vietnam,8.3,9.7,Hanoi Little Town Hotel,9.0,Superb,74,9.1,8.9,8.9
7.2,Hanoi,7.6,Vietnam,8.2,9.3,Hay Hostel Hanoi Old Quarter,8.4,Fabulous,158,8.9,8.8,8.6
,Hanoi,,Vietnam,,,Rising Dragon Villa Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hestia Legend Hotel,,No Rating,0,,,
9.0,Hanoi,8.0,Vietnam,9.0,9.0,North Hotel No 2,8.7,Fabulous,70,8.0,10.0,8.0
,Hanoi,,Vietnam,,,Hanoi Cozy Hostel,6.0,Good,4,,,
8.0,Hanoi,7.8,Vietnam,7.5,8.2,Hanoian Backpack Hostel,8.0,Fabulous,18,8.2,8.5,8.2
,Hanoi,,Vietnam,,,B&B HANOI HOTEL & TRAVEL,,No Rating,321,,,
9.0,Hanoi,10.0,Vietnam,9.0,10.0,Little Diamond Hotel 2,9.7,Superb,765,10.0,10.0,10.0
7.0,Hanoi,8.1,Vietnam,7.4,9.0,Halley Hostel and Spa Hanoi,8.2,Fabulous,72,8.2,9.1,8.5
8.0,Hanoi,9.3,Vietnam,8.7,10.0,Hanoi King Ly Hotel,9.0,Superb,331,10.0,8.7,8.7
9.5,Hanoi,10.0,Vietnam,10.0,10.0,The Chi Novel Hostel,9.9,Superb,16,10.0,10.0,10.0
6.1,Hanoi,7.8,Vietnam,7.4,7.9,Hanoi Airport Hostel,7.5,Very Good,277,7.8,7.9,7.6
7.0,Hanoi,8.0,Vietnam,5.0,10.0,Diamond Dorm,7.6,Very Good,12,9.0,7.0,7.0
,Hue,,Vietnam,,,Rubis Hostel,,No Rating,0,,,
,Hue,,Vietnam,,,Q Homestay Garden,,No Rating,0,,,
7.4,Hue,8.9,Vietnam,7.4,9.1,Buncha House,8.5,Fabulous,204,8.5,9.8,8.8
8.4,Hue,9.3,Vietnam,8.2,9.3,IBIZA Guest House,9.1,Superb,356,9.3,9.5,9.3
10.0,Hue,10.0,Vietnam,10.0,10.0,Hue Diep's Homestay,10.0,Superb,2,10.0,10.0,10.0
7.9,Hue,8.7,Vietnam,8.5,9.6,The Dreamers,8.9,Fabulous,464,9.0,9.4,9.2
8.8,Hue,9.6,Vietnam,9.6,8.4,Sahi Homestay Retreat,9.0,Superb,5,8.8,8.8,9.2
9.3,Hue,8.3,Vietnam,8.8,9.3,Kims Homestay,9.0,Superb,57,9.3,9.3,9.0
8.4,Hue,9.5,Vietnam,9.0,9.8,Shark Hostel,9.3,Superb,141,9.3,9.8,9.6
9.1,Hue,8.7,Vietnam,8.6,9.6,Freedom Hostel,9.2,Superb,393,9.2,9.5,9.4
8.1,Hue,8.3,Vietnam,8.2,9.7,Hue Melody Hostel,8.9,Fabulous,207,9.1,9.6,9.4
8.7,Hue,10.0,Vietnam,10.0,9.3,Hue Amy Homestay,9.6,Superb,51,9.3,10.0,10.0
8.8,Hue,9.4,Vietnam,9.0,9.9,Hue Happy Homestay,9.4,Superb,1985,9.5,9.7,9.6
8.2,Hue,9.2,Vietnam,8.8,9.5,Khe Sanh Homestay,9.1,Superb,918,9.3,9.5,9.4
10.0,Hue,10.0,Vietnam,10.0,10.0,Hue Sweethouse 2 Homestay,10.0,Superb,28,10.0,10.0,10.0
9.4,Hue,9.6,Vietnam,9.7,8.3,Nano Eco Hostel,9.4,Superb,34,9.8,9.5,9.5
8.6,Hue,8.3,Vietnam,8.6,9.5,New Life Homestay,9.0,Superb,334,8.9,9.8,9.3
7.9,Hue,8.8,Vietnam,8.6,9.8,Bon Ami Hostel,9.0,Superb,179,9.3,9.6,9.2
8.0,Hue,8.3,Vietnam,7.9,9.7,Bonjour Hostel,8.8,Fabulous,304,9.2,9.6,8.9
8.3,Hue,8.8,Vietnam,8.4,9.8,Amy 2 Hostel Hue,9.1,Superb,271,9.3,9.8,9.6
8.5,Hue,9.7,Vietnam,8.3,8.9,Charming Riverside Hotel,9.1,Superb,285,9.4,9.7,9.4
9.0,Hue,9.0,Vietnam,9.0,10.0,Hue Sweethouse Homestay,9.4,Superb,5,9.0,10.0,10.0
2.0,Hue,6.0,Vietnam,2.0,6.0,Baloo Hostel,3.4,Rating,3,4.0,2.0,2.0
8.8,Hue,9.7,Vietnam,9.2,9.2,The Dreamers House,9.4,Superb,33,9.5,9.9,9.6
9.7,Hue,9.6,Vietnam,9.6,9.5,Loving Home Hue,9.7,Superb,46,9.8,10.0,9.9
,Hue,,Vietnam,,,La Luz Del Sol Homestay,,No Rating,0,,,
8.5,Hue,7.7,Vietnam,7.6,9.3,Hue Vietnam Backpacker Hostels,8.4,Fabulous,2044,8.5,8.7,8.3
8.1,Hue,9.3,Vietnam,9.6,7.4,Forever Young Hostel,9.0,Superb,116,9.6,9.7,9.5
5.3,Hue,8.0,Vietnam,7.7,8.3,TOVO Hostel,7.4,Very Good,11,7.7,7.0,7.7
8.5,Hue,8.8,Vietnam,9.3,9.0,Nam Phuong Riverside Villa,9.2,Superb,44,8.8,10.0,10.0
8.6,Hue,9.2,Vietnam,8.9,9.8,Why Not Hostel,9.2,Superb,1067,8.9,9.7,9.5
