atmosphere,city,cleanliness,country,description,distance,facilities,free,kind,location,name,price,rating,rating_cat,reviews,security,staff,value_for_money
9.0,Hanoi,8.9,Vietnam,"Hanoi Buffalo Hostel is a modern hostel that provides everything that a backpacker could want and need. Located is prime of Hanoi Old Quarter, Hanoi Buffalo Hostel is right next to the Beer Hoi conner, where is the bussiest part of Hanoi's downtown which is easy to walk to all of tourist attractions, bars and restaurant in town. Hanoi Buffalo Hostel features quite a few comfortable extras, such as an onsite bar with swimming pool, a cozy tivi and waiting room and 24-hour reception, served by staff who 'will bend over backward to make sure you have an awesome stay'. We offer daily: - Free buffet breakfast from 7:00AM to 9:30AM - Free Walking Tour start at 13:30PM - Free Beer nightly from 7:00PM to 8:00PM - Free Pub Crawl start around 10:30PM Your happy stay is our business! ***Property Policies & Conditions: 1. Cancellation Policy: 2 days before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00 (noon). 4. Payment upon arrival by cash or credit card, but extra charge for credit card service fee. 5. Taxes: included. 6. Breakfast: included. 7. No curfew. 8. No smoking in rooms, but smoking area is provided. 9. Reception Working Hours: 24 hours.  View House Rules  ",0.6,9.0,"Free Breakfast, Free City Maps, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Common Room, Elevator, Hair Dryers, Hot Showers, Key Card Access, Outdoor Swimming Pool, Reading Light, Safe Deposit Box, Security Lockers, Swimming Pool, 24 Hour Reception, 24 Hour Security, Airport Transfers, Housekeeping, Luggage Storage, Tours/Travel Desk, Bar, Cafe, Meals Available, Restaurant, Wi-Fi",Hostel,9.7,Hanoi Buffalo Hostel,US$7.06,9.3,Superb,864,9.5,9.4,9.3
8.9,Hanoi,9.1,Vietnam,"Hanoi Little Town Hotel is in the heart of Hanoi with most popular tourist destination as Night market, Hoan Kiem Lake, Ngoc Son Temple, Hanoi Opera House and the popular Thang Long Water Puppet Show, Night Market on Hang Ngang, Hang Dao Str (every Friday, Saturday and Sunday nights), Ancient House of Hanoi in Ma May street,  shopping centers and banking facilities. Hanoi Little Town Hotel is special french style : spacious rooms, offering panoramic views from your balcony, working desk, and comfy beds. Our professional team – built of young, friendly and easy going people with experiences in hospitality field always listen and try to answer all of your question. An exceptional that has drawn much praise and repeat business Please come and find for yourself why we are the first choice in Hanoi Old Quarter At Hanoi Little Town Hotel we will make sure you get the most out of your stay in Vietnam. Our tours are guaranteed great value; free big breakfast; fruit, tea and coffee available all day, restaurant catering both Vietnamese and Western cuisines, bar, and gift shop for all those Western comforts you miss while traveling. Book with Hanoi Little Town today to guarantee a truly amazing stay in this exciting, vibrant and captivating city. Inspring you alway. Our reception open 24 hour, Pls clock the door and ring the bell on your right hand  if you back hotel at mid night.  View House Rules  ",1,8.3,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Adaptors, Air Conditioning, Book Exchange, Cable TV, Cots Available, Elevator, Hair Dryers, Hot Tub, Meeting Rooms, Reading Light, Safe Deposit Box, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Bicycle Hire, Business Centre, Currency Exchange, Direct Dial Telephone, Fax Service, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Postal Service, Shuttle Bus, Tours/Travel Desk, Bar, Minibar, Restaurant, Tea & Coffee Making Facilities",Hotel,9.7,Hanoi Little Town Hotel,US$9.60,9.0,Superb,74,9.1,8.9,8.9
8.5,Hanoi,8.9,Vietnam,"Hanoi Wonderland Homestay is situated in the heart of Vietnam's Capital City - Hano, in Hanoi's most popular tourist destination - The Old Quarter. The Old Quarter is the hub for experiencing Vietnam's rich culture, with not to be missed breathtaking destinations such as nearby Ha Long Bay and Sa Pa. Staffed by friendly locals, certified tour guides, and travel experts, we want to make sure your time in Vietnam is both enjoyable, and memorable! And we also provide free breakfast that guests love. Hanoi Wonderland Homestay is surrounded by local cafes, shops, restaurants, markets, bars, art galleries, and only a 5 minute walk to Hoan Kiem Lake; the most photographed attraction in Hanoi.  We look forward to you staying with us and letting us show you everything Vietnam has to offer! **Things to note & policies** Free cancellation: 3 days before the arrival CVV Requirement: For any nonrefundable booking, please send your CVV code with your booking reference to us. Full balance needs to be charged before arrival. By completing the payment, your booking will be guaranteed. Check in from: 2 pm Check out before: 12 noon Payment on arrival:cash and credit card Tax included Breakfast included No curfew No smoking in the whole hostel Child friendly: free under 4 years old Pet Friendly Pets are not allowed Reception time: 24 hours  View House Rules  ",0.6,8.4,"Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Ceiling Fan, Dry Cleaning, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Shuttle Bus, Tours/Travel Desk, Café, Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",Hotel,9.3,Hanoi Wonderland Homestay,US$13.70,8.9,Fabulous,12,8.7,9.8,8.9
8.3,Hanoi,8.1,Vietnam,"Old Quarter H&H Hostel is a good choice for you. Our rooms are all air conditioned with free wifi throughout the hostel. Our beds all have privacy curtains, reading lights, charging outlets, and the beds are all oversized 6 1/2 ft beds with comfy mattresses!! We also have oversized lockers for the serious travelers! Our front desk are experienced and certified travel agents and tour guides who can arrange anything from your airport shuttle to making memories in Sa Pa, Ha Long Bay, or anything else Vietnam has to offer! Stay with us!  Travel with us! **Things to note & policies** What'sApp us after booking to start your tour planning! Free Cancellation: 3 days before the arrival. CVV Requirement: For any nonrefundable booking, please send your CVV code with your booking reference to us. Full balance needs to be charged before arrival. By completing the payment, your booking will be guaranteed. Check in from 14:00 PM Check out before 12:00 PM Payment on arrival:cash Tax included Breakfastnot included No curfew No smoking in room, but have smoking area No age restriction Reception working period/time:24/7  View House Rules  ",1,8.6,"Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Ceiling Fan, Common Room, Hair Dryers, Hot Showers, Parking, Reading Light, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Shuttle Bus, Tours/Travel Desk, Cafe, Meals Available, Tea & Coffee Making Facilities, Board Games, Games Room, Wi-Fi",Hostel,9.7,Old Quarter H&H Hostel,US$6.42,9.0,Superb,77,9.3,9.6,9.3
8.4,Hanoi,9.1,Vietnam,"If  you are  looking for  a fantastic  hostel in the heart of the old quarter , great beds, big lockers, friendly staff, free  breakfast look no further, Vietnam Cheers Hostel is located in the middle of Hanoi Old Quarter , which is conveniently just a three-minute walk to Ta Hien Street – the lively heaven of bars and street food and Dong Xuan Night Market, the  old city gate, hoan kiem lake,  the heart of Hanoi nightlife. We are home of Epic Ha Giang Loop Tour with motorbike Tour - Join Us when you arrival Hanoi In here provide daily tours : halong bay cruise, Sapa trekking tours, Hoa Lu Tam Coc, Perfume pagoda, Train, bus, flight  tickets…etc….good advice, good price,  View House Rules  ",0.8,9.0,"Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free WiFi, Air Conditioning, Cable TV, Card Phones, Common Room, Dryer, Hair Dryers, Hot Showers, Key Card Access, Meeting Rooms, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Currency Exchange, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Towels for hire, Wake-up calls, Cafe, Wi-Fi",Hostel,9.4,Vietnam Cheers Hostel,US$5.93,9.1,Superb,350,9.4,9.1,9.3
7.7,Hanoi,8.1,Vietnam,"Amazing Hostel, the relaxing hostel in the busy old quarter. Recently opened by young local people in a fully renovated art deco building. Amazing hostel offers a cosy underground bar, Gym area with fantastic view on Old Quarter, fast free WiFi, check-out until 12am, custom bunk beds (with curtains, reading light, power plugs, phone charger, private lockers and comfort mattress), the coolest bar in town with a carefully curated selection of local beer, coffee and Hanoian specialties. We also offer: 24/7 check-in, travel desk helpful and friendliest staff, Local food and drinks, Custom bunked, City expert desk, High-speed free WiFi, free breakfast, happy hour from 5:30 pm till finished keg. Amazing is located in Old Quarter which features a bunch of bars and coffee shops full of young and cool people, and close to all must-see Hanoi. Terms and conditions: Free Cancellation:1 Days before the arrival without being charged by the property Check in from 13h 00 Check out Before 12h 00 Payment on Arrival:Cash and Credit Card, but extra Charge for credit card service fee. Tax Included Breakfast Included NO smoking in Room, but have smoking area Reception working hours 24 hours  View House Rules  ",0.9,8.3,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Card Phones, Ceiling Fan, Common Room, Cooker, Dishwasher, Dryer, Elevator, Fitness Centre, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Parking, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Internet café, Late check-out, Luggage Storage, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Bar, Cafe, Mini-Supermarket, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",Hostel,9.1,Hanoi Amazing Hostel,US$5.27,8.4,Fabulous,219,8.6,8.7,8.5
7.7,Hanoi,8.1,Vietnam,"If you find somewhere clean, cozy, quite, good bed, privacy dorm, big locker, friendly staff, good breakfast, interesting travel information. Stay in Cocoon Inn II. We set Cocoon Inn II a very high standard. Cocoon Inn II is located in the middle of Hanoi Old Quarter Part, which is conveniently just a three-minute walk to Ta Hien Street – the lively heaven of bars and street food and Dong Xuan Night Market, the spotlight of Hanoi nightlife. We pride ourselves on having a team of helpful, attentive staff, who will provide you with travel information and any information about the local places. Cocoon Inn II team will make sure you have the best of time while you are staying with us.  View House Rules  ",0.7,8.5,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Card Phones, Dryer, Hair Dryers, Hot Showers, Hot Tub, Iron / Ironing Board, Key Card Access, Meeting Rooms, Outdoor Terrace, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Bar, Cafe, Meals Available, Tea & Coffee Making Facilities, Games Room",Hostel,9.2,Cocoon Inn II,US$5.00,8.6,Fabulous,243,9.1,9.1,8.8
9.1,Hanoi,9.8,Vietnam,"Hanoi Unique hotel is situated at a very central place, nearby Hoan Kiem lake, Beer corner and easy waking to attraction places for travellers. Our hotel beds are very comfortable, rooms equipped with air-conditioning, hot shower. Wifi available throughout the property. We have staff take care of very carefully and free information for you to visit Vietnam as well as you can store luggage at our hotel during the time you travel to other places. We give you a safe stay as a sweet home. We also provide many tour packages to Halong Bay, Sapa, Ha Giang, Hue, Danang, Hoi An, Hochiminh.... with very reasonable price and good quality. Terms & Conditions Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 0:00 . Check out from 06:00 to 12:00 . 24 hours reception. Taxes included. No curfew. Child friendly. Non smoking except for specific areas. Property may pre-authorize the credit card before arrival.  View House Rules  ",0.5,9.3,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Hair Dryers, Hot Showers, Key Card Access, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Shuttle Bus, Tours/Travel Desk, Wake-up calls, Café, Restaurant",Hotel,10.0,Hanoi Unique Hotel,US$8.00,9.7,Superb,9,9.8,10.0,9.8
8.4,Hanoi,7.6,Vietnam,"We are young people who love Hanoi so much so that we decided to recreate Hanoi houses of decades ago - to give chances for travelers around the world who stay in Hanoi for a short time could experience the best about Hanoi, touch the beauty of the past & culture. If you visit Hanoi, give yourself a chance to stay in Halley Hostel - a typical Hanoi house and live as the real Hanoians. Visit a city not only by seeing, staying in, feeling but also understanding it. Halley is located in an ancient house in Ha Noi Centre. Each furnitures in the house also has each historical story to tell you more about Ha Noi in the 1990s. The objects in the house are designed cleverly and arranged harmoniously from old to modern style to express the transformation of Ha Noi - from the past to the present and following the future. Terms and Conditions: Free Cancellation:1 Days before the arrival without being charged by the property Check in from 1:00 PM Check out Before 12:00 Noon Payment on Arrival:Cash and Credit Card, but extra Charge for credit card service fee. Tax Included Breakfast Included NO smoking in Room, but have smoking area Reception working hours 24/7  View House Rules  ",0.5,7.7,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Towels Included, Adaptors, Air Conditioning, Card Phones, Common Room, Cooker, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Meeting Rooms, Microwave, Outdoor Terrace, Reading Light, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Housekeeping, Internet Access, Late check-out, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Cafe, Meals Available, Tea & Coffee Making Facilities",Hostel,9.9,Halley Hostel,US$4.24,8.6,Fabulous,124,9.2,9.3,8.5
7.5,Hanoi,7.8,Vietnam,"A friendly hostel just on the outskirt of the crazy Old Quarter of Hanoi, with clean and fresh private rooms and a selection of 4 & 6 bed dorm rooms, we have you covered as a fun and safe place to stay and plan your travels from in Hanoi, Vietnam. Suite As Hostel is Kiwi owned and we know how to have a good time. We also have years of knowledge and experience in Vietnam, so whether you need a place to rest your head for a night or plan the best experience you will have on your travels. With a mix of nightlife, culture, knowledgeable staff and cold beers on hand, we've got you covered. ***Property Policies & Conditions: 1. Cancellation Policy: 2 days before arrival. 2. Check in from 15:00 to 22:00. 3. Check out before 11:00. 4. Payment upon arrival by cash and credit card, but extra charge for credit card service fee. 5. Taxes: included. 6. Breakfast: not included. 7. No curfew. 8. No smoking in the whole hostel. 9. Reception Working Hours: from 06:00 to 22:00.  View House Rules  ",1.1,7.8,"Free City Maps, Free WiFi, Linen Included, Towels Included, Air Conditioning, Book Exchange, Breakfast Not Included, Card Phones, Ceiling Fan, Hair Dryers For Hire, Hot Showers, Reading Light, Security Lockers, Towels Not Included, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Towels for hire, Wake-up calls, Wi-Fi",Bed and Breakfast,9.2,Suite As Hostel,US$5.00,8.3,Fabulous,48,8.5,9.0,8.3
