atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
10.0,Hoi An,10.0,Vietnam,"Located on a romantic riverbank and an attractive green space, Hoian River Palm Hotel - the perfect connection between Nature, Culture and Hoianians wants to welcome international and domestic tourists to explore and to experience... Hoian River Palm Hotel is a miniature model of the ancient town with all rooms (except Standard Room type) overlooking the river and receiving much natural lighting and enjoyable waterway landscapes. It is the wonderful connecting place between Hoi An Ancient Town, the famous Cua Dai beach and the well-conserved Nipa Palm area. The undulating roof style of Hoi An Ancient Town is repeated here to make a friendly and luxurious experience in a romantic and peaceful space.  View House Rules  ",2.1,9.3,Hotel,8.0,Hoian River Palm Hotel,US$3.00,9.5,Superb,61,10.0,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Card Phones, Ceiling Fan, Cots Available, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Hot Tub, Iron / Ironing Board, Meeting Rooms, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Sauna, Swimming Pool, 24 Hour Reception, 24 Hour Security, Airport Transfers, Concierge, Currency Exchange, Express check-in / out, Housekeeping, Internet Access, Late check-out, Luggage Storage, Postal Service, Room service (limited hours), Shuttle Bus, Tours/Travel Desk, Wake-up calls, Bar, Café, Meals Available, Minibar, Restaurant, Tea & Coffee Making Facilities, Pool Table, Wi-Fi",9.3,10.0
9.6,Hoi An,10.0,Vietnam,"Our simple but comfortable rooms offer: - Refrigerator - Air-conditioning - Ensuite bathroom - Flat screen television - Wardrobe space - Towels and toiletries are provided So what makes this tiny place special: People - We have NO EXTERNAL STAFF in our house; all the people who you will meet are our family and most live here in our home. Atmosphere - This family atmosphere can't be found in every hotel or mixed homestay-hotel, come stay and join our family. Our care goes beyond your stay here - we are always ready to help you to find transfers to arrive or to leave our home easily and safely Come to stay with us and be a part of our family and community! Blue Clouds Hotel offers: Breakfast, WiFi available everywhere, Safe-deposit box - front desk, Room service, Laundry service, Ticketing and Tour desk, Complimentary luggage room storage, Bike, Motorbike, Car and Boat rental, Airport Pick-up and Transfer services.  View House Rules  ",2.8,9.9,Hotel,9.6,Blue Clouds Hotel,US$7.00,9.9,Superb,397,10.0,"Free City Maps, Free Parking, Free WiFi, Adaptors, Air Conditioning, Book Exchange, Breakfast Not Included, Cable TV, Hair Dryers, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Housekeeping, Luggage Storage, Postal Service, Shuttle Bus, Tours/Travel Desk, Minibar",10.0,10.0
9.0,Hoi An,9.5,Vietnam,"Herbal Tea Homestay is a beautiful, friendly, family run business. It is in a fantastic location situated right between the famous Hoi An Ancient Town and Cua Dai Beach, in the quiet village of Cam Thanh. Both loactions are only a short 10-minute bicycle ride away and with free bicyle rental, which couldn't be easier. The property also offers motorbike rental, inhouse cooking classes, tour advice/booking and the staff are happy to help with absolutely anything you need. Herbal Tea Homestay has 12 lovely, comfortable rooms finished to a high standard. Make yourself at home in one of the air-conditioned rooms featuring flat screen TV, fridge and daily maid service. Free Wi-Fi is available to keep you connected. Modern bathrooms with showers boast complimentary slippers and toiletries. Hidden away at the back of Herbal Tea Homestay is a large, outdoor swimming pool with sun beds for you to relax and unwind. There is an onsite restaurant serving an expeptional breakfast with a wide range of choices, and you will not go hungry. Stay at Herbal Tea Homestay will make sure your time in Hoi An will be one to remember. ***Property Policies & Conditions: 1. Cancellation Policy: 1 day before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00 (noon). 4. Payment upon arrival by cash or credit card (Visa, MasterCard), but extra charge for credit card service fee. 5. Taxes: included. 6. Breakfast: included. 7. Quiet Hours: Please lower your voice between 22:00 and 06:00. 8. No smoking in rooms, but smoking area is provided. 9. Reception Working Hours: 24 hours. 10. Child and Extra Bed: (1) All children are welcome. (2) There is no capacity for extra beds in the room. 11. Pets are not allowed.  View House Rules  ",0.5,10.0,Hotel,9.5,Herbal Tea Homestay,US$7.06,9.6,Superb,12,9.5,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Fridge/Freezer, Hair Dryers, Hot Showers, Outdoor Swimming Pool, Parking, Swimming Pool, 24 Hour Reception, Airport Transfers, Bicycle Hire, Housekeeping, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Café, Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",10.0,9.5
8.0,Hoi An,9.0,Vietnam,"Are you looking for a hostel to stay that make your trip more impresive ? At Little Leo you will find : new friends, new experience adventures, and know more about local people and the culture of vietnamese. We has a perfect location. The place is situated near An Bang Beach, which is takes 15 minutes ride a bike to the beach where you can have sun bath or relax on the beach and you also ride to Cua Dai Beach as well.  Most specially, the hostel is about 15 minutes  walks from the Hoi An old town and local market, and even less than 10 minutes from the many shops/restaurants/bars and nightclubs, so there really is something for everyone. Little Leo homestay and hostel offered you pleasure stay with dorm rooms in all 4 Beds A/C on each mixed dorm  (no bunk-bed) , twin/family room , and double room with share kitchen and the large living area with chair which mostly comfort & cozy as well. We provide the dorms which meet your choice. Bathroom en-suites in every dorm and hot shower  is available. The hostel is aware about privacy needed so that personal locker also provide for  free The reception counter is always available for guests to contact for scooter rental,laundry service ,transfer ticket & tours service with reasonable price and other information with our friendly staff. You can refill your water bottles from our machine with 5k FREE : -       Bicycle -Tower -Wifi with your own device. -MAP and information -Hand wash in every bathroom. -Lockers in the dorm (not including pad lock please bring your own or contract the reception) We highligh some activities at Hoi An: - Hoi An old town - Sunbath at the beach - Cooking class - Cham island ( snorking or diving) - Easy rider - My son sanctuary - Mable moutain - Shopping - Bana hills ** Before you stay ** - We are not allow the person who are not staying in our hostel to coming up and stay at late night at hostel for the security reason ( VERY IMPORTANT) , if you want to assist your friends or guest to stay , please provide us your friend passport . -During the High Season ( Dec – Jan ), if you want to extend you stay , please contact our hostel. ** Warmly welcome Little Leo  View House Rules  ",3.3,9.0,Bed and Breakfast,8.2,Little Leo Homestay and Hostel,US$10.71,8.7,Fabulous,454,9.0,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Card Phones, Ceiling Fan, Common Room, Hair Dryers, Hot Showers, Key Card Access, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Bar, Cafe, Meals Available, Tea & Coffee Making Facilities, Wi-Fi",9.0,9.0
8.9,Hoi An,8.0,Vietnam,"Welcome to Good Morning Hoi An Homestay. Centrally located but in a secure and quiet place, you can find the right stay to explore the charming beauty of Hoi An. Make yourself at home in one of cozy rooms featuring air conditioning and underbed lockers. Private bathrooms include hot shower and free towel. Complimentary free Wi-Fi is available for you to catch up with friends or family. There is free parking lot to save your scooter. Super friendly staff are at the reception and the most impotant is Free Talk at any time you like. We would love to learn from your experiences. Don't be shy to share your love! ***Property Policies & Conditions: 1. Cancellation Policy: 1 day before arrival. 2. Check in from 14:00 to 20:00. 3. Check out before 11:00. 4. Payment upon arrival by cash only. 5. Taxes: included. 6. Breakfast: included. 7. No curefew. 8. No smoking in rooms, but smoking area is provided. 9. Reception Working Hours: from 07:00 to 20:00.  View House Rules  ",1.3,8.5,Hostel,9.8,Good Morning Hoi An Homestay,US$5.50,9.0,Superb,53,8.9,"Free Breakfast, Free WiFi, Air Conditioning, Bicycle Parking, Ceiling Fan, Hot Showers, Key Card Access, Meeting Rooms, Parking, Security Lockers, Bicycle Hire, Express check-in / out, Housekeeping, Internet Access, Luggage Storage, Reception (limited hours), Wi-Fi",9.6,9.1
8.4,Hoi An,8.0,Vietnam,"SERENDIPITY HOSTEL & BAR HAS REDEFINED THE MEANING OF WHAT A HOSTEL IS; WE DON’T BELIEVE THAT A HOSTEL SHOULD ONLY BE A PLACE WHERE YOU JUST LAY YOUR HEAD TO REST IN A BUNK BED. We want you to get the most out of your time in Hoi An, this is why we offer you to join us on day and night time activities like staff beach trips with music, custom designed motorbike tours, movie nights, family dinners & much more. We invite you to stay in our brand new bamboo oasis that is designed for maximum comfort. Our green oasis is located 1.2 km from the main tourist attractions and features a Vietnamese/ Mexican style restaurant, a shared patio with a garden view, free Wi-Fi and air-conditioned accommodation, bike rental and a festive vibe in the evening. The beach is a bicycle ride away. On Wednesdays & Sundays you get an opportunity to experience Hoi An’s only hidden event. This unique space pulls in both local and backpacker crowd, looking for one of a kind experience.  View House Rules  ",0.6,8.4,Hostel,9.1,The Serendipity Hostel,US$7.00,8.5,Fabulous,91,8.1,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Cable TV, Card Phones, Ceiling Fan, Common Room, Cooker, Dishwasher, Dryer, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Hot Tub, Iron / Ironing Board, Key Card Access, Microwave, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, Washing Machine, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Bar, Cafe, Meals Available, Mini-Supermarket, Restaurant, Tea & Coffee Making Facilities, Board Games, DVD's, Foosball, Nightclub, Pool Table, Wi-Fi",9.1,8.6
8.9,Hoi An,9.8,Vietnam,"Located in Thanh  Ha pottery village, next  the Terra Cotta Park in Hoi An Terra  Cotta  Homestay is a great choice for travelers  interested in atmosphere, quiet and away from the big city. All in-house  guests  can enjoy daily  complimentary bicycle. Guests can enjoy or a drink around our garden.  Free WiFi is available throughout the property. Terra Cotta Home is 2.4 km from the old town, 3.0 km the Japanese Covered Bridge and 3.3 km  Assembly Hall of the Fujian Chinese Congregation . The nearest airport is Da Nang International Airport, 24 km from the hotel. All air-conditioned rooms are fitted with a flat-screen cable TV and a minibar. Rooms come with a private bathroom equipped with a shower. Guests can approach the 24-hour front desk for currency exchange, ticketing and tour services. Guests are welcomed to rent  motorbike.  Airport transfers  and laundry service can be arranged at an additional charge. This property is also rated for the best value in Hoi An! Terra Cotta Homestay is friendly  and hospitality . On  the way  go to the old town, guest can look the Thu Bon river We have 7 rooms and have  luggage storage space for guests check out.  Breakfast is including your room and good quality. We speak your language! ***Property Policies & Conditions: 1. Payment Method : Cash and cradit card. 2. Free cancelltion for 2 days. 3. Check in time 14:00 and check out time 11:00 noon  View House Rules  ",0.4,9.6,Hostel,8.7,Terra Cotta Homestay and Hostel,US$5.00,9.5,Superb,266,9.6,"Free Breakfast, Free City Maps, Free Parking, Free WiFi, Towels Included, Air Conditioning, Cable TV, Hot Showers, Iron / Ironing Board, Parking, 24 Hour Reception, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Cafe, Meals Available",10.0,9.6
9.0,Hoi An,9.3,Vietnam,"Hoi An Life Homestay is located in Hoi An just 700 metres from Hoai River and 3.3 km from Cua Dai Beach. The homestay provides elegant accommodation equipped with hot shower facilities, free breakfast and free bicycle rental services. Free Wi-Fi access is available in this homestay. The accommodation will provide you with a cable TV, air conditioning and a minibar. Featuring a shower, the private bathrooms also come with free toiletries and towels. Some rooms have a private balcony and a bathtub. At Hoi An Life Homestay you will find a 24-hour front desk, a garden and a shared kitchen. Other facilities offered at the property include shared lounge, a ticket service and a tour desk. The homestay also provides transfer services between Hoi An and Da Nang: Hoi An – Da Nang Airport or train station  and Da Nang city center - Hoi An: 13$US/4 seats/way - 15$US/7 seats/way - 17$US/16 seats/way. If you feel like visiting the surroundings, check out Chuc Thanh Pagoda located just 200 metres away and 2 km from An Bang public beach. This homestay is situated 30 km from Da Nang Airport. The property offers free parking. Come with us and enjoy local life.  View House Rules  ",2.6,9.3,Hostel,8.8,Hoi an Life Villa,US$5.30,9.3,Superb,206,9.7,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Cable TV, Card Phones, Ceiling Fan, Cots Available, Hair Dryers, Hot Tub, Parking, Safe Deposit Box, Self-Catering Facilities, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tea & Coffee Making Facilities, DVD's",9.5,9.7
8.8,Hoi An,8.6,Vietnam,"The Destination Hostel & Bar is located in a heart of the Hoi An old town, only 5 minutes walk to the night market and 20 minutes to the beautiful beaches. We have rooftop bar where you can hangout after a busy day. With shared dorm rooms (3-4-5 people/room) and no bunk beds. Air-condition, en-suite bathroom with hot water, free towel rental and big locker under the bed. The Destination  has social atmosphere  where you easy to meet other traveler. ****  The Destination Hostel offer - Free access beach party at Ha My Beach on Sat - Free yummy breakfast - Free refill water - Free guide bicycle tour on Monday & Friday - Family dinner on Monday & Friday - Free guide Street food tour & free Room Coke on Wednesday - Free parking lot We also offer tour, bus ticket, motorbike & bicycle rental, transfer service.... We still have a lot of information want to recommend to you  about Hoi An old town, come and stay with us, we'll discus together **** Property Policies  & Condition Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Check out before 11:00 am. Reception hours: 06:00 to 22:00 . Taxes included. Breakfast included. Non smoking except for specific areas. Cash payment only If you check in after 6:pm, please send us an email, if not we'll automatically sell your bed. For group booking, we will always try the best to put you in the same room. See you soon our friends The Destination Team  View House Rules  ",1.4,8.8,Bed and Breakfast,9.6,The Destination Hostel & Bar,US$8.00,9.2,Superb,29,9.5,"Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Book Exchange, Ceiling Fan, Common Room, Hot Showers, Meeting Rooms, Parking, Safe Deposit Box, Security Lockers, Steam Room, Airport Transfers, Bicycle Hire, Currency Exchange, Housekeeping, Laundry Facilities, Luggage Storage, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Bar, Restaurant, Wi-Fi",9.9,9.4
9.7,Hoi An,10.0,Vietnam,"This property is 02 minutes walk  from the Beach ,*** FREE BYCICLE*** FREE DRINKING  WATER*** Located along Ha My Beach “ the best beaches in the world.”  far 5.5 kms  from Hoi An and 28 kms from international Da Nang Airport . Its a qiuet village of HA MY. ***  ALL of room have Private bathroom,  A/C, FLAT screen TV  ,HOT SHOWER , towel, Fan,,,,,, You can enjoy with homemade food on site restaurant and friendly staff Ha my beach homestay has double room, triple room, connecting room, family room and dorm room **** Stay at Ha My Beach Homestay Hoi An, You can  * Buy Bus Ticket, Train Ticket, Tour information. * Scooter for rent  *** HOW TO GET TO HA MY BEACH HOMESTAY HOI AN FROM...? - Da Nang Airport or Train station , it cost, 300.000 vnđ/ 4 seat private car booked with Ha My Beach Homestay Hoi An 400.000 vnđ/ 7 seat private car booked with Ha My Beach Homestay Hoi An 500.000 vnđ/ 16 seat private car booked with Ha My Beach Homestay Hoi An *** Property Policy and Conditions: 1. Check in Time: from  : 14 : 00 2. Check out Time: till   : 12:00 3. Cash payment only upon check in at the property. 4. At least 1 day advance notice for free cancellation.  View House Rules  ",0.5,9.3,Hostel,9.7,Ha My Beach Homestay Hoi An,US$5.15,9.8,Superb,100,10.0,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, BBQ, Bicycle Parking, Cable TV, Card Phones, Dryer, Hair Dryers, Hot Showers, Hot Tub, Iron / Ironing Board, Outdoor Terrace, Parking, Reading Light, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Bar, Café, Meals Available, Restaurant, Tea & Coffee Making Facilities",10.0,10.0
