atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
9.3,Koh Rong Samloem,8.8,Cambodia,"Welcome to M’pay bay Koh Rong Sanleom’s promier hostel. If you intend to find the perfect island experiences, the Cliff will just be your real great definition. Standing in front of the lounge, you will grab the whole view of Koh Rong and the amazing sunset coming along with the best spot of all for snorkeling, it easily takes you a hundred steps from the restaurant to snorkel surrounding with blue clear water, the rock, nice coral reefs with many kinds of fishes and other specious of creature in the sea. The Cliff Hostel is located nearly on top of the hill. Walking from the M’pay bay pier approximately five minutes up to the hill, you obviously see the main gate of the hostel. No worry, you can reserve the Speed Boat ticket at the Serendipity pier, Serendipity Road, Ochhueteal Beach, Sihanoukville or do not hesitate to directly contact us for the tickets as well. We provide you several categories of staying such as Standard Dorm – Beds with separate clean showers, Jungle Double Rooms and Twin Rooms with private bathrooms and a large space en-suite restaurant and bar at the front side of the hostel. The Cliff Hostel is one of the best hostels listed by class off the area covered by a very relaxing atmosphere and best suite to all guests and independent travellers attempting to discover the nature of the island and meet other people from everywhere. We are regarded as a socially responsible local business; your stay with us dramatically benefits sustainable development projects for the local community, therefore. Your idea and activities will be always appreciates in our need to create more things in the hostel. And we are so sure will receive friendly vibes and excellent customer service. You might be mad to book anywhere else!!! IMPORTANT TIPS: -Available FIWI -Cash only -Group wishing to make a booking for 20pax required an email to md@thecliff.asia to get booking approval!  View House Rules  ",5,8.9,Hostel,9.5,The Cliff Hostel,US$3.00,9.2,Superb,64,8.5,"Free Internet Access, Free WiFi, Towels Included, Adaptors, BBQ, Breakfast Not Included, Cable TV, Ceiling Fan, Key Card Access, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Currency Exchange, Tours/Travel Desk, Bar, Cafe, Meals Available, Restaurant, Wi-Fi",9.4,9.7
10.0,Koh Rong Samloem,10.0,Cambodia,"Easy Glamp sets in a veritable paradise, where there are white sand for sunbathing, crystal clear waters for swimming and beautiful coral to discover. Sleeping up to 7 people, our unique, partially-open dormitory hut is equipped with double mattresses complete with mosquito nets for a great night's sleep! On site, we have our very own 'Beat Junky Bar’. Offering a delicious fresh fruit salad with homemade kefir yogurt and muesli and genuine Italian espresso in the morning along with a great range of classic cocktails in the evening. Boasting the best mojitos on the island, why not sample them and judge for yourself, all whilst relaxing to the beat of our signature, chilled soundtrack. **Things to note & policies** Free cancellation: 1 day before the arrival Check in from: 14 pm to 20 pm Check out before: 10 am Reception time: 9 am to 20 pm Payment on arrival: cash only Tax included in room rate Breakfast not included No smoking in room but have smoking area  View House Rules  ",2.3,10.0,Hostel,10.0,Easy Glamp,US$6.00,10.0,Superb,1,10.0,"Free Internet Access, Free WiFi, Breakfast Not Included, Ceiling Fan, Common Room, Reading Light, Security Lockers, Towels Not Included, Housekeeping, Internet Access, Luggage Storage, Reception (limited hours), Towels for hire, Bar, Cafe, Wi-Fi",10.0,10.0
10.0,Koh Rong Samloem,10.0,Cambodia,"The Sleeping Buffalo Hostel is a small place run by the best Cambodian local owner, located in a wonderful  area around 5 minutes walk from the pier, on top of big sea views, where you will find nice people and a relaxing atmosphere. A place to come with friends and family, to discover the island with its beautiful beaches and snorkeling spots, swimming with luminescent plankton in the nighttime, relaxing in our garden hang mats or sunbeds and enjoying  the  South East Asian and Western food served . Guests can enjoy garden, and top sea view. All units at the guest house are equipped with a private bathroom equipped with a bidet. Around the clock assistance is available at the reception, where staff speak English and Khmer. **Things to note & policies** Free cancellation: 7 days before arrival. You will be charged the total price if you cancel in the 7 days before arrival. Check in from: 12:00 Check out before: 10:00 Reception time: 24 hours Payment on arrival: cash only Tax included in room rate Breakfast not included Smoking allowed  View House Rules  ",5,10.0,Bed and Breakfast,10.0,The Sleeping Buffalo Hostel,US$6.67,10.0,Superb,1,10.0,"Free Internet Access, Free WiFi, Linen Included, Towels Included, BBQ, Book Exchange, Breakfast Not Included, Ceiling Fan, Children's Play Area, Dryer, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Key Card Access, Outdoor Terrace, Reading Light, Security Lockers, Washing Machine, 24 Hour Reception, Express check-in / out, Housekeeping, Internet Access, Late check-out, Luggage Storage, Bar, Café, Meals Available, Restaurant, Tea & Coffee Making Facilities, Board Games, Wi-Fi, Wii",10.0,10.0
5.3,Koh Rong Samloem,6.0,Cambodia,"Palm tree lines beachside guesthouse, bungalows, cafe & bar with incredible sea views overlooking M'Pai Bay & the Koh Koun island. Chill Inn's natural designs blend in to the tropical jungle environment, making a stay with us a unique cambodian island experience. An eco-conscious solar powered inn offers a lounge, veranda, beer garden with a stylish well stocked bar catering to most desires. We pride ourselves in our selection of ice cold drinks to keep you refreshed all day & night. Our property has many place to chill in, we have recliners, hammocks & sofas, so just come, kick back and relax. Chill Inn is a social hang-out & great place to meet other people. For your enjoyment we have games, books, beach sports equipment, pool table & 43' TV showing live sport & movies. Our hammocks are awaiting you, come forget your troubles. We do all we can to create an environment & vibe, so that you can just Chill. Inn. ***Property Policies & Conditions: 1. Cancellation policy: 0 days before arrival. 2. Check in from 12:00 to 20:00. 3. Check out before Noon. (12:00) 4. Payment upon arrival by cash only. Credit card isn’t accepted. 5. Reception working hours 08:00-23:00. 6. Age Restriction - Guests should be over 18 years old. 7. Taxes included. 8. Breakfast not included. 9. No pets.  View House Rules  ",5.2,6.7,Hostel,8.0,Chill Inn Cambodia,US$5.00,6.7,Good,43,6.7,"Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, BBQ, Book Exchange, Breakfast Not Included, Cable TV, Ceiling Fan, Common Room, Outdoor Terrace, Reading Light, Safe Deposit Box, Security Lockers, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Towels for hire, Bar, Cafe, Meals Available, Mini-Supermarket, Restaurant, Board Games, DVD's, Games Room, Pool Table, Wi-Fi",7.3,6.7
9.0,Koh Rong Samloem,7.5,Cambodia,"Easy Tiger is a small place located in a wonderful little pocket of Cambodia, surrounded by blue waters, nice people and an easy pace of life. A place to come with friends and family to unwind, whether your reading with the beautiful backdrop or kayaking and diving in amongst it all. Eastern and Western food available from our top kitchen team. Bungalows and rooms are all kept to a high standard of cleanliness and security. Property Policy and Conditions: 1. Check in Time: 7:00-20:00 2. Check out Time: before 12:00 3. Cash payment only upon check in at the property. 4. At least 3 days advance notice for free cancellation. 5. Please make sure you come with sufficient funds as there are no ATM machines on the island. Currency exchange available. 6. Also, please note that ferry times sometimes vary, please double-check times and book your return seat if you have a plane or other onward travel to catch.  View House Rules  ",5.2,7.5,Hostel,10.0,Easy Tiger,US$4.70,8.6,Fabulous,190,8.0,"Free City Maps, Linen Included, Towels Included, Book Exchange, Breakfast Not Included, Ceiling Fan, Outdoor Terrace, Safe Deposit Box, Currency Exchange, Housekeeping, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Bar, Meals Available, Mini-Supermarket, Restaurant, Board Games, Pool Table",9.5,9.0
10.0,Koh Rong Samloem,10.0,Cambodia,"M'Pay bay guesthouse located at M`pay bay Koh Rong sanloem, Sihanoukville, you can come with speedboat from mainland directly guesthouse. it easy to find our hostel because we are very close the boat pier, we have beach in front of hostel and we also have a good restaurant on the beach and bar. Offering both private and dormitory rooms, all units include a desk. Rooms come complete with a private bathroom fitted with a shower and free toiletries, while some units at M'Pay bay also feature a seating area. while you stay in our hostel you can enjoy around as sunset, snorkeling, fishing, trekking, walking to clear water bay and you can see plankton at the night. if you want to enjoy bar at the night so you just walk 5minutes from hostel. we have Standard Dorm bed with Fan and Locker, private room with AC , room with share bathroom and Private Bungalows. Located far from Koh Rong 5km, Saracen Bay 10km , Sunset Beach 12km, Lazy Beach 14km. ***Property Policies & Conditions: 1. Cancellation policy: 2 days before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 11:00 noon. 4. Payment upon arrival by cash only. 5. Reception working hours: 24 hours. 6. No age restriction. 7. Taxes included. 8. Breakfast not included. 9. No pets. 10. Curfew: Guests should be quiet after 24:00.  View House Rules  ",5.3,10.0,Hostel,10.0,M'Pay Bay Guesthouse,US$6.00,10.0,Superb,8,10.0,"Free Internet Access, Free WiFi, Towels Included, Adaptors, Breakfast Not Included, Ceiling Fan, 24 Hour Reception, 24 Hour Security, Housekeeping, Bar, Cafe, Meals Available, Restaurant, Wi-Fi",10.0,10.0
9.0,Koh Rong Samloem,8.0,Cambodia,"'Robinson Bungalows requires a full prepayment with  Paypal' Robinson Bungalows is unplug from the noisy world and escape to a deserted sunset beach. Our bungalows are made from wood with straw roofs and double beds with a mosquito net for your comfort. There are lights in the room and on the terrace and nicely located hammocks to relax and soak up the sea views. Robinson Bungalows is completely off the grid. We use 100% solar panels for energy and store rain water for washing. Come and enjoy the luxury of simple life. Enjoy a nap in your seaside hammock, listen to the birds sing, swim through the colorful coral and stare eye to eye with a parrot fish. If you are looking for adventure, you can take a dive course next door or explore the beautiful jungle of Koh Rong Samloem. The Lazy Beach Boat brings you directly to Robinson Bungalows without trekking through the jungle. You can book your boat ticket with josh@lazybeachcambodia.com (please us this email only for boat bookings, for all other questions please send a email to info@robinsonbungalows.com or messenger from your booking channel). Please arrive 1/2 an hour before departure in the Lazy Beach Office. The boat leaves at 1pm each day. The  boat is not waiting for any delay, and you have to take a speed boat to the island. You can buy tickets at any travel agency or at lazy beach office. The Lazy Beach Booking Office is situated on Serendipity Beach Road at The Dive Shop Cambodia Office. It is easy to find by using Google Maps and searching for The Dive Shop. The ride to and from the island takes ~2 hours.  The way back to Sihanoukville the boat leaves 8.30 from Robinson Bungalows. Whenever possible you arrive at Ochheuteal Beach in Sihanoukville. The boat cost $10-per-person and one way. If your bus is late or any other problem by later arriving send an e-mail to josh@lazybeachcambodia.com Due windy and wavy conditions (most between may-september) the boat will arrive and leave Saracen Bay on Koh Rong Samloem. Our remote beach is NOT operated by any of the speedferry companies. Only a few companies stop at the jetty closest to our path, BuvaSea and G.T.V.C.. Please book your ticket with your guesthouse in Cambodia, any travel agency, the ferry offices in town or online. Your destination port on the island will be Saracen Bay, from where you will start a ~35 minute jungle trek to Sunset Beach. You’ll find the beginning of the trail right behind the dive shop. If you bring some mosquito repellent, a bottle of water and proper shoes you are perfectly prepared for a fun jungle trek. Maybe you even wanna make your life a bit easier and leave your big bags with your guesthouse or a travel agency on the mainland.  View House Rules  ",0.4,9.0,Bed and Breakfast,8.0,Robinson Bungalows,US$15.00,8.7,Fabulous,4,9.0,"BBQ, Breakfast Not Included, Card Phones, Late check-out, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Bar, Meals Available, Restaurant",9.0,9.0
7.0,Koh Rong Samloem,4.0,Cambodia,Bong's Guesthouse M'Pai Bay is built in Feb 2017. Located in the heart of the village straight off the main pier. We offer well finished double bed fan rooms with en-suite shower and toilet facilities complete with security lock box. All rooms have a multi-plug socket and window. Rooms also feature a communal beachfront balcony with seating and hammock. Also on site is a fun and friendly bar serving the islands only draft beer and European restaurant open 8am-9pm daily.  View House Rules  ,5,5.0,Bed and Breakfast,9.0,Bong's Guesthouse M'Pai Bay,US$10.00,6.6,Good,32,7.0,"Towels Included, BBQ, Breakfast Not Included, Card Phones, Ceiling Fan, Outdoor Terrace, Safe Deposit Box, Late check-out, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Bar, Restaurant, Board Games",9.0,5.0
,Phnom Penh,,Cambodia,"Le Cocon Boutique Hotel is the luxurious hotel in Phnom Penh city. It is an ideal place to stay for those coming in search of business, culture and relax. You will get truly experience enjoying the stay and feel comfortable with our accommodations and facilities such as swimming pool, spa & massage, and bar & restaurant. Le Cocon Boutique Hotel is conveniently located on #29, Street 334, BKK I, Chamkamon, Phnom Penh, Cambodia, where It takes only 30 minutes to drive from Phnom Penh International Airport, 15 minutes to drive from bus station, and 10 minutes to drive to souvenirs shop (Russian Market). In addition, it’s in the central of many wonderful places in Phnom Penh such as Independent Monument, Royal Palace, riverside, National Museum, and European restaurants, bar & spa etc.  View House Rules  ",1.2,,Hotel,,Le Cocon Boutique Hotel,US$20.25,,No Rating,0,,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Cable TV, Card Phones, Ceiling Fan, Cots Available, Dryer, Elevator, Hair Dryers, Hot Tub, Iron / Ironing Board, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Swimming Pool, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Business Centre, Currency Exchange, Housekeeping, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Bar, Café, Meals Available, Minibar, Restaurant, Tea & Coffee Making Facilities",,
,Phnom Penh,,Cambodia,"Conveniently located in Phnom Penh, White Residence Hotel and Serviced Apartment offers modern and comfortable accommodation with free WiFi access in all guestrooms. It operates a 24-hour front desk and provides complimentary parking on site. Fitted with tiled flooring, air-conditioned rooms include a wardrobe, clothes rack, a personal safe and a flat-screen TV with cable channels. A fridge, minibar and tea/coffee making facilities are also provided. The en suite bathroom has shower facility, slippers, hairdryer and free toiletries. White Residence Hotel and Serviced Apartment features a library and business centre where fax/photocopying services are available. Friendly staff can assist guests with luggage storage, laundry and ticketing services. Airport transfers can also be arranged at a surcharge. ***Property Policies & Conditions: 1. Cancellation policy: 1 day before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00 pm. 4. Payment upon arrival by cash. Credit card is accepted. 5. Reception working hours: 24 hours. 6. Age Restriction: 18+. 7. Taxes included. 8. Continental Breakfast included. 9. No pets.  View House Rules  ",0.6,,Hotel,,White Residence Hotel and Serviced Apartment,US$18.00,,No Rating,1,,"Free Airport Transfer, Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Cable TV, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Hot Tub, Key Card Access, Parking, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Business Centre, Currency Exchange, Housekeeping, Internet Access, Laundry Facilities, Tours/Travel Desk, Wake-up calls, Tea & Coffee Making Facilities",,
