atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
10.0,Siem Reap,10.0,Cambodia,"Welcome to Prithy & Mutta House! It is our great pleasure to welcome you to Prithy & Mutta House, which offers a personal service and family-style hospitalities in an atmosphere of Cambodia living home life. The entire of our family will take good care of your vacation in Siem Reap - Kingdom of wonder and provide any assistance to meet your trip expectations. The room is allocated and shares some common space with our family (3 children and 7 adults), which offers you to understand the reality of Cambodia culture and traditional. Among the facilities at this property are a concierge service and a tour desk, along with free WiFi throughout the property. The accommodation offers a shared kitchen, room service and currency exchange for guests. All units at the hostel are equipped with a seating area. At Prithy & Mutta House each room includes air conditioning and a private bathroom. We do hope our homestay and family will be the place that makes your Cambodia destination meet the wonderful experience. Please do not hesitate to keep our contact for any assistance needed during accommodate at our place. Important Information: 24 Hours Reception Cancellation policy: 3 days before arrival day. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Check out from 09:00 to 12:00 . Payment upon arrival by cash. Taxes included. Breakfast included. No curfew. Lock out from 21:00 until 05:00. Non smoking. Child under age is supposed to be checkin with parents or guardian.  View House Rules  ",unknown,10.0,Bed and Breakfast,10.0,Prithy & Mutta House,US$25.00,10.0,Superb,3,10.0,"Free Airport Transfer, Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Ceiling Fan, Hair Dryers, Hot Showers, Reading Light, Tennis court(s), 24 Hour Reception, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Luggage Storage, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Wake-up calls, Minibar, Wi-Fi",10.0,10.0
,Siem Reap,,Cambodia,"CoolLand Residence is ideally located in Siem Reap city center, a convenient place for shopping, doing business and visiting the temples. Besides Comfortable Rooms to stay, our hotel also has modern spa facilities like Steam, Sauna and Cold & Hot Jacuzzi for Refreshing and Relaxing. Hotel's  Facilities: - Private Bathroom with bath-tub - Air-conditioning - Cable TV with satellite program - Tea & Coffee making facilities - Safety Deposit Box Other Services Including: - Restaurant serves Asian and Western dishes - Traditional Spa Treatment - Concierge Service - Ticketing Service Transfer In & Out also available upon requested. By sending us your arrival details, we will arrange to pick you up. Important Information: 24 Hours Reception Check in from 14:00 to 21:00 . Check out before 14:00 . Cancellation policy: 1 day before arrival dat. In case of a late cancellation or No Show, you will be charged the first night of your stay. Payment upon arrival by cash, credit cards. Taxes included. Breakfast included. No curfew. Child friendly. Non smoking.  View House Rules  ",unknown,,Bed and Breakfast,,CoolLand Residence & Spa,US$30.00,,No Rating,0,,"Free Airport Transfer, Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Cable TV, Hair Dryers, Hot Showers, Hot Tub, Key Card Access, Microwave, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Tours/Travel Desk, Wake-up calls, Meals Available, Minibar, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",,
8.0,Siem Reap,9.0,Cambodia,"At Teacher's Home Siem Reap, we focus on providing  a great hospitality services with the highest levels of customer satisfaction – we will do everything we can to meet our guests' expectations. Our hostel consists of a unique design with bamboo wall, and many other local designs. Staying with Teacher's Home Siem Reap, our guests will learn so much about what to do and see in Siem Reap, and not only that our guests and have some more good ideas for what to see and do in Cambodia since the owner of this hostel was a tour guide, and he travels around Cambodia before he sets up this hostel, also to see what his country has to offer to all guests from around the world. Even more that Teacher's Home Siem Reap gives a free bicycle use at least 4hours day for our guests to use for their town sight seeing otherwise the bicycle costs just one dollar per day. We aim to provide the best hospitality service, and make our guests feel home when staying with us, we also provide the free education to the staff. ***Property Policies & Conditions: 1. Check in at 13:00. 2. Check out at 12:00 noon. 3. Payment: Cash only upon arrival. 4. Cancellation Policy: Up to 1 day advance notice before the arrival date is required. 5. Age Restriction: Children under 18 years cannot stay with us without their guardians. 6. Reception Hours: 24 hours/7. 7. Be quiet after 21:00, guests need to relax. 8. The restaurant opens daily from 06:30 till 22:30. 9. No pet allowed at the hostel. 10. As Cambodia is one of the oldest countries in the world, when visiting the temple, guest have to follow the dress code 11. No touch the Buddhist monk (female only) 12. No walking on the temple statues while visiting the temple. 13. No shouting at the temple.  View House Rules  ",unknown,8.0,Hostel,8.0,Eco-Home,US$2.70,9.0,Superb,9,10.0,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Breakfast Not Included, Common Room, Hair Dryers, Hot Showers, Parking, Airport Transfers, Internet Access, Internet café, Late check-out, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",10.0,10.0
,Sihanoukville,,Cambodia,"Sealong Bay ZhongQi Conifer Hotel has a restaurant, a bar and shared lounge in Sihanoukville. All guests can enjoy access to a garden and to a private beach area. The accommodation features a 24-hour front desk, room service and currency exchange for guests. All rooms are fitted with air conditioning, a flat-screen TV with satellite channels, a fridge, a kettle, a shower, a hairdryer and a desk. At the hotel the rooms include a private bathroom with free toiletries. Just 15 minutes from Sihanounville international airport  View House Rules  ",unknown,,Hotel,,Sealong Bay ZhongQi Conifer Hotel,US$52.67,,No Rating,0,,"Free Airport Transfer, Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Ceiling Fan, Cots Available, Elevator, Fitness Centre, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Iron / Ironing Board, Key Card Access, Meeting Rooms, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, Swimming Pool, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, Business Centre, Concierge, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Room Service  (24 hours), Room service (limited hours), Tours/Travel Desk, Wake-up calls, Bar, Café, Meals Available, Minibar, Restaurant, Wi-Fi",,
,Sihanoukville,,Cambodia,"Sweet Green Guesthouse sets in Koah Touch Beach, district of Kohrong Island. The accommodation provides tour desk, free refill hot and cold water and free wifi.  Quiet rooms features fan and free WIFI. Only 90metre from Kohrong Dive center and 100metres away from High Point Adventure Park. The nearest airport is Sihanoukville international airport which is 22km away. A place that you can do all activities, bicycle motorbike and trekking up the jungle walk around the island. All restaurants near the property, party area only 5 minutes walk. Terms & Conditions Cancellation policy: 2 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 11:00 to 18:00 . Check out from 07:00 to 10:00 . 24 hours reception. Taxes included. Breakfast not included. No curfew. Pet friendly. Child friendly. Non smoking except specific areas. Cash Only.  View House Rules  ",unknown,,Bed and Breakfast,,Sweet Green Guesthouse,US$2.50,,No Rating,0,,"Free WiFi, Breakfast Not Included, Ceiling Fan, Hair Dryers, 24 Hour Reception, Housekeeping, Internet Access, Tours/Travel Desk, Wi-Fi",,
10.0,Sihanoukville,10.0,Cambodia,"One star accommodation with five star memories.  For the explorers, the adventurous and maybe those that just want to relax in a hammock at the edge of the world.  We strive to be kind to each other and to the environment so we use as little plastic and concrete as possible, instead you'll find locally sourced wood and grass as the construction material of choice. Our food follows the same rule, (mostly) local ingredients cooked from scratch by local staff for excellent results.  Within seconds of getting off the boat onto our beach you'll find yourself part of our family, this is somewhere you can really find seclusion and space to relax.  Koh Ta Kiev is the least populated of the 3 main Sihanoukville islands, perfect if you want to get away from it all. ***Property Policies & Conditions: 1. Cancellation policy: 1 day before arrival. 2. Check in from 12:30 to 23:00. 3. Check out before 9:30 noon. 4. Payment upon arrival by cash only. 5. Reception working hours 07:00-23:00. 6. No age restriction. 7. Taxes included. 8. Breakfast not included. 9. Smoking allowed. FAQ: Q. How do I get there? A. Our boat to the island departs from what used to be ""Banana beach bungalows"" location on Otres2 beach at 12:00 (10.561006, 103.557825). We also pick up from Shop 29 on Ream Beach at 12:30 (10.519063, 103.610997), this is sometimes more convenient if coming from Phnom Penh, Kampot or the Airport. You can put those coordinates into Google or Bing maps to find the exact locations. The boat cost 15$ per person for an open return ticket, and can be paid when you arrive at The Last Point. Q. How do I get from Koh Rong or Koh Rong Samloem to Koh Ta Kiev? A. Take the 9:30 boat to Serendipity beach, take a tuk tuk to Banana Beach Bungalows (Otres2), take our ferry at 12:00 to The Last Point ($15 per open return ticket) Q. Is there a direct ferry from Koh Rong or Koh Rong Samloem? A. No.  It takes the KR and KRS speedboats about 45 mins to do the 15km from those islands to Serendipty beach, it takes our longtail boat about 45 minutes to do the 5km journey from Otres2 (Banana Beach Bungalows) which is about a 25 minute tuk tuk (use Passapp to book for cheaper rides) ride away from Serendipity.  Unfortunately there is no direct ferry, KR and KRS are about 30-40km away from Koh Ta Kiev which would be an unsustainable 2 hour speedboat ride or an uncomfortable over ocean 4 hour longtail ride. Q. I'm arriving late in Sihanoukville, can I take a ferry to you later than 12:00? A. We only operate one ferry per day and can't guarantee any other services so if you are going to be too late you could either enjoy a night in Otres or try to find another ferry provider.  Banana Beach Bungalows (Otres 2) or Mangroves And More (in the village) are good places to try if you want to stay a night.  For later ferries, do ensure they go to the correct side of the island, many go to the north end which is a 40 minute trek through jungle to us.   Our neighbour ""Kactus"" often has a boat departing mid afternoon from Banana beach but we can't guarantee their service. Q. I'm too late to come today, can I come tomorrow? A. We understand, we're all travellers ourselves and know what it can be like.  We never charge for cancellations or modifications to bookings.  It would help us out if you could make the change on your online booking yourself though.  Most of the time it won't matter, we can just adjust your booking by a day and you can just join us a day later.  Relax, smile and we'll see you soon. Q. I'm arriving in Sihanoukville by bus from Phnom Pehn/Kampot/Kep, how do I get to Ream? A. If you will be on time for the 12:30 boat at Ream then get off the bus on the highway near Sihanoukville airport.  See the next question for the rest of the information. Q. I'm arriving in Sihanoukville airport, can I get a transfer? A. We don't offer a taxi service but our boat does pick up from the beach nearby the airport at 12:30 each day.  You could try the PassApp application before talking to the airport taxi drivers, it tends to be much cheaper, expect to pay around $4 - $8 for the 10 minute journey.  Your destination would be Shop29 on Ream Beach (https://goo.gl/maps/5EnVveNCHY2JY8cM8).  If you need a later pick up it is possible from Ream beach only but let us know in advance the date and time to make sure the boat is available and call 088 502 6930 when you set off in the taxi, we'll send the boat over to you and it's about a 15 minute boat journey, tickets costing $15 for an open return back to the mainland. Q. What time does the boat return to the mainland? A. The boat leaves the island at 09:30, can drop off at Ream beach at 09:50 by request and arrives at Banana Beach Bungalows on Otres 2 by 10:30 (or sooner if nobody needs to go to Ream) Q. What should I bring with me? A. We recommend: Swimming clothes, a rechargeable torch, coconut oil (prevents sand fly bites) and mosquito repellent (we have fewer mosquitos than the mainland but there's no harm in being careful).  View House Rules  ",unknown,10.0,Hostel,10.0,The Last Point,US$3.00,10.0,Superb,7,10.0,"Linen Included, Book Exchange, Breakfast Not Included, Reception (limited hours), Bar, Meals Available, Restaurant",10.0,10.0
10.0,Koh Rong Samloem,10.0,Cambodia,"Easy Glamp sets in a veritable paradise, where there are white sand for sunbathing, crystal clear waters for swimming and beautiful coral to discover. Sleeping up to 7 people, our unique, partially-open dormitory hut is equipped with double mattresses complete with mosquito nets for a great night's sleep! On site, we have our very own 'Beat Junky Bar’. Offering a delicious fresh fruit salad with homemade kefir yogurt and muesli and genuine Italian espresso in the morning along with a great range of classic cocktails in the evening. Boasting the best mojitos on the island, why not sample them and judge for yourself, all whilst relaxing to the beat of our signature, chilled soundtrack. **Things to note & policies** Free cancellation: 1 day before the arrival Check in from: 14 pm to 20 pm Check out before: 10 am Reception time: 9 am to 20 pm Payment on arrival: cash only Tax included in room rate Breakfast not included No smoking in room but have smoking area  View House Rules  ",2.3,10.0,Hostel,10.0,Easy Glamp,US$6.00,10.0,Superb,1,10.0,"Free Internet Access, Free WiFi, Breakfast Not Included, Ceiling Fan, Common Room, Reading Light, Security Lockers, Towels Not Included, Housekeeping, Internet Access, Luggage Storage, Reception (limited hours), Towels for hire, Bar, Cafe, Wi-Fi",10.0,10.0
10.0,Koh Rong Samloem,10.0,Cambodia,"The Sleeping Buffalo Hostel is a small place run by the best Cambodian local owner, located in a wonderful  area around 5 minutes walk from the pier, on top of big sea views, where you will find nice people and a relaxing atmosphere. A place to come with friends and family, to discover the island with its beautiful beaches and snorkeling spots, swimming with luminescent plankton in the nighttime, relaxing in our garden hang mats or sunbeds and enjoying  the  South East Asian and Western food served . Guests can enjoy garden, and top sea view. All units at the guest house are equipped with a private bathroom equipped with a bidet. Around the clock assistance is available at the reception, where staff speak English and Khmer. **Things to note & policies** Free cancellation: 7 days before arrival. You will be charged the total price if you cancel in the 7 days before arrival. Check in from: 12:00 Check out before: 10:00 Reception time: 24 hours Payment on arrival: cash only Tax included in room rate Breakfast not included Smoking allowed  View House Rules  ",5,10.0,Bed and Breakfast,10.0,The Sleeping Buffalo Hostel,US$6.67,10.0,Superb,1,10.0,"Free Internet Access, Free WiFi, Linen Included, Towels Included, BBQ, Book Exchange, Breakfast Not Included, Ceiling Fan, Children's Play Area, Dryer, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Key Card Access, Outdoor Terrace, Reading Light, Security Lockers, Washing Machine, 24 Hour Reception, Express check-in / out, Housekeeping, Internet Access, Late check-out, Luggage Storage, Bar, Café, Meals Available, Restaurant, Tea & Coffee Making Facilities, Board Games, Wi-Fi, Wii",10.0,10.0
5.3,Koh Rong Samloem,6.0,Cambodia,"Palm tree lines beachside guesthouse, bungalows, cafe & bar with incredible sea views overlooking M'Pai Bay & the Koh Koun island. Chill Inn's natural designs blend in to the tropical jungle environment, making a stay with us a unique cambodian island experience. An eco-conscious solar powered inn offers a lounge, veranda, beer garden with a stylish well stocked bar catering to most desires. We pride ourselves in our selection of ice cold drinks to keep you refreshed all day & night. Our property has many place to chill in, we have recliners, hammocks & sofas, so just come, kick back and relax. Chill Inn is a social hang-out & great place to meet other people. For your enjoyment we have games, books, beach sports equipment, pool table & 43' TV showing live sport & movies. Our hammocks are awaiting you, come forget your troubles. We do all we can to create an environment & vibe, so that you can just Chill. Inn. ***Property Policies & Conditions: 1. Cancellation policy: 0 days before arrival. 2. Check in from 12:00 to 20:00. 3. Check out before Noon. (12:00) 4. Payment upon arrival by cash only. Credit card isn’t accepted. 5. Reception working hours 08:00-23:00. 6. Age Restriction - Guests should be over 18 years old. 7. Taxes included. 8. Breakfast not included. 9. No pets.  View House Rules  ",5.2,6.7,Hostel,8.0,Chill Inn Cambodia,US$5.00,6.7,Good,43,6.7,"Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, BBQ, Book Exchange, Breakfast Not Included, Cable TV, Ceiling Fan, Common Room, Outdoor Terrace, Reading Light, Safe Deposit Box, Security Lockers, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Towels for hire, Bar, Cafe, Meals Available, Mini-Supermarket, Restaurant, Board Games, DVD's, Games Room, Pool Table, Wi-Fi",7.3,6.7
7.0,Kampot,8.0,Cambodia,"In the heart of the city, Jetzt Kampot offers high-quality dorms, food and drinks. Our two dorms are the perfect place to catch some rest after adventuring up the mountain, visiting the secret waterfall or enjoying the bustling city centre. With A/C and hot showers, you’re guaranteed a comfortable stay. Downstairs you can enjoy a friendly bar for great drinks at even better prices. Our wall is full of unique cocktails and shots so you are guaranteed to try something new! With a reputation for serving “the best burgers in town” and rated by Lonely Planet as one of Kampot’s best restaurants, our kitchen works hard to make sure no one is disappointed.  View House Rules  ",unknown,9.0,Hostel,10.0,Jetzt Kampot,US$5.00,8.9,Fabulous,135,9.0,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Breakfast Not Included, Ceiling Fan, Common Room, Hot Showers, Outdoor Terrace, 24 Hour Security, Internet Access, Luggage Storage, Reception (limited hours), Bar, Meals Available, Restaurant, Wi-Fi",9.0,10.0
