atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
8.6,Hong Kong,9.2,Hong Kong China,"Rainbow Lodge Hong Kong, situated in the heart of Tsim Sha Tsui which is opposite to Chungking Mansions. It is convenient to travel around Hong Kong and nearby. The Avenue of Stars, Star Ferry Pier, Harbour City are all within walking distance, where guests can go shopping, sightseeing and also ‘Yam Cha’ easily. Guest Helpers are always here to assist guests with hearty service. Comfy common zone with free TV and Wi-Fi, free coffee and tea are ready for guests to refresh and meet up the new friends, sharing travel stories with other travelers. The property understands guests concern privacy. Every single bed here is well-equipped with reading light and a curtain, which you can still maintain some private space even you are sharing the room with others. Rainbow Lodge Hong Kong is definitely more than a sleeping place that we frequently offer some group activities with guests to discover our beautiful Hong Kong. New ideas are always welcome! Stay with us and join our activities! Rainbow Lodge Hong Kong is a licensed Guest House (General) under Office of The Licensing Authority in Hong Kong.  View House Rules  ",unknown,9.2,Hostel,9.8,Rainbow Lodge HK,US$18.06,9.4,Superb,2059,9.6,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Adaptors, Air Conditioning, Book Exchange, Breakfast Not Included, Ceiling Fan, Common Room, Elevator, Hair Dryers, Hot Showers, Reading Light, Security Lockers, Washing Machine, Fax Service, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Towels for hire, Board Games, DVD's, Foosball, Wii",9.7,9.5
6.0,Hong Kong,8.0,Hong Kong China,"Our hotel located at the heart of the city center and is catering to a lot of tourists and backpackers from Europe, America, Australia, Canada and rest of the world. We have single bed rooms for one to two persons and twin bedrooms for two to four people. We have facilities you can compare with any hotel. our hotel is equipped with the latest CCTV surveillance systems and safe deposit box to ensure your belongings are safe all the time during your stay. Our hotel is renovated recently and the rooms are clean, spacious and comfortable. Our rooms are of superior quality with en-suite shower and toilet, hot and cold water 24 hours a day. Each room has a air conditioning, telephone for free local calls and remote control colored TV English and other regional channels. We have installed the latest High Speed Wi-Fi broadband to all our rooms and the lobby. We also have a business desk at the reception for fax, printouts, photocopy, scanning services. We can also arrange China Visa's in 24 hours and make travel arrangements during your stay in Hong Kong. Please feel free to approach our staff anytime and will find that our staff is friendly, hospitable and speak fluent English. Day and Night Hostel is in Licensed Guesthouse (General) under The Office of the Licensing Authority.  View House Rules  ",unknown,6.0,Hostel,10.0,Day and Night Hostel,US$6.13,8.6,Fabulous,402,10.0,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Air Conditioning, Breakfast Not Included, Elevator, Hair Dryers, Hair Dryers For Hire, Reading Light, Safe Deposit Box, Security Lockers, Towels Not Included, 24 Hour Reception, 24 Hour Security, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Towels for hire, Mini-Supermarket, Wi-Fi",10.0,10.0
8.0,Hong Kong,8.0,Hong Kong China,"Conveniently located along one of Hong Kong’s main arteries, Nathan Road! No matter who you are – a group of friends or a solo backpacker looking to bunk in the heart of Tsim Sha Tsui, a businessman with a desire to combine work with pleasure, or a family who prefers to splurge on the finer things in life – Atlas suits the needs of any traveler. As an avid backpacker myself I trotted all over the world to different hostels to seek inspirations for Atlas! This is my first hostel but promise it won't be the last! This property is a licensed Guest House (General) under Office of The Licensing Authority in Hong Kong. ***Property Policies & Conditions: 1. Cancellation policy: At least 2 days advance notice for free cancellation. 2. Check in from 14:00 to 23:00. (Early check in/ Late check out can be arranged according to occupancy) 3. Check out before 11:30. 4. Payment upon arrival by cash ONLY. 5. Please respect the other guests within the hostel. 6. Reception working hours 10:00-21:00. 7. Atlas is a smoke-free venue. Smoking tobacco, burning incense or other flammable materials in rooms is strictly prohibited and will incur a cleaning fee of $1,500. 8. Any loss or damage to the room key will incur a HKD$500 fine. 9. I agree to be responsible for all incidental charges or lost item and agree to pay for any lost item, damages and breakages during my stay. 10. Atlas accept no liability for any valuables and shall not be responsible for any loss or damage there to and guests remain solely responsible for the safekeeping of any such items.  View House Rules  ",unknown,7.0,Hostel,9.0,Atlas GuestHouse & Backpackers,US$12.13,8.0,Fabulous,31,8.0,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Book Exchange, Breakfast Not Included, Cable TV, Card Phones, Common Room, Elevator, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Parking, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Security, Housekeeping, Internet Access, Late check-out, Reception (limited hours), Towels for hire, Cafe, Tea & Coffee Making Facilities",7.0,9.0
9.0,Hong Kong,10.0,Hong Kong China,"Built in 2012, mini hotel Causeway Bay is a distinct addition to Hong Kong and a smart choice for travelers. From here, guests can enjoy easy access to all that the lively city has to offer. A haven of rest and relaxation, the hotel will offer total renewal just steps away from the city's numerous attractions such as Times Square, Lee Gardens, Edge Gallery, and Happy Valley Racecourse. mini hotel Causeway Bay offers impeccable service and all the essential amenities to invigorate travelers. For the comfort and convenience of guests, the hotel offers facilities for disabled guests, tours, Wi-Fi in public areas, safety deposit boxes, and airport transfers. Guests can choose from 208 rooms, all of which exude an atmosphere of total peace and harmony. The hotel's host of recreational offerings ensures you have plenty to do during your stay. Superb facilities and an excellent location make the mini hotel Causeway Bay the perfect base from which to enjoy your stay in Hong Kong. Mini Hotel Causeway Bay is a licensed Hotels under Office of The Licensing Authority in Hong Kong.  View House Rules  ",unknown,10.0,Hotel,10.0,Mini Hotel Causeway Bay,US$17.74,9.4,Superb,22,9.0,"Free WiFi, Towels Included, Air Conditioning, Breakfast Not Included, Elevator, Hair Dryers, Hot Showers, Iron / Ironing Board, Safe Deposit Box, 24 Hour Reception, Fax Service, Housekeeping, Luggage Storage, Vending Machines",9.0,9.0
6.0,Hong Kong,8.0,Hong Kong China,"DELTA HOSTEL is the ideal choice for the backpackers and budget business travelers  who are looking for warm welcome , local atmosphere and affordable and comfort quality hostel!.Our hostel  ensures that all rooms are well maintained with standards in order to guarantee a high level of customer satisfaction. We have the best location in downtown. Just a short walk to the subway (MTR) & railway to China. We offer rooms for cheap but still in clean & safe environment. Our professionally trained staff are extremely friendly and helpful and will do their best to ensure that you enjoy your stay with us. Visitors can also enjoy free local calls and wireless internet service in their own room. Customer can modify the booking before 7 days of arrival. In case of cancellation or no show, total charges of the booking will charged. Customer can modify only but cant cancel the booking once booked. WE HAVE NICE, CLEAN COMMON AREA AND LOCKERS IN THE DORMS. WE PROVIDE OCEAN PARK AND DISNEYLAND TICKETS (SPECIAL DISCOUNT). WE PROVIDE AIRPORT PICK UP SERVICE.(7 SEATER CAR).PICK UP HKD 300 DROP OFF HKD 250. FREE WiFi,internet access, TV, individually air-con, windows, private toilet with hot/cold showers in every room. Share refrigerator, micro-wave, hair dryer. Special Offer for long stay. We have common area and lockers in the dorms. We also provide Disneyland and Ocean Park Tickets (Special Discount) Delta Hotel Hong Kong is a licensed Guest House (General) under Office of The Licensing Authority in Hong Kong.  View House Rules  ",unknown,6.0,Hostel,10.0,Delta Hotel Hong Kong,US$11.26,8.0,Fabulous,483,8.0,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Ceiling Fan, Common Room, Elevator, Hair Dryers, Hair Dryers For Hire, Hot Showers, Key Card Access, Meeting Rooms, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Fax Service, Housekeeping, Internet Access, Late check-out, Luggage Storage, Towels for hire, Wake-up calls, Tea & Coffee Making Facilities, Wi-Fi",10.0,8.0
2.0,Hong Kong,2.0,Hong Kong China,"NEWS for all valued customers who need book dorm beds: If you need book a dorm bed in Hong Kong, Before you make the booking, we advise you see the following passage first. Our dorm bed type includes hot water for shower and drinking, air-conditioning, fan, refrigerator, free linen, free towel and free internet service. The hot tub, reading light, key card access, fax machine... such these facilities is ONLY provide for the luxury private rooms. We tried our best to provide as much as we can for the dorm beds type. Actually our dorm beds we provided is the CHEAPEST in Hong Kong. It's specially preserved for the budget travelers, we are in fact not get any profit for that but we understand that there are such budget travelers demand for the budget accomodation. Recently we got some reviews from our customers are not satisfied with our dorm rooms. We consider no longer sell the all dorm bed types for Honh Kong Star Hostel at the hostelworld.com now. If you still need book a dorm beds in hostelworld.com, please go to book our cooperate hostel at the following page to book the dorm. http://www.hostelworld.com/availability.php/OrientalPearlHostelHongKong-HongKong-14599 Once again, We remind all the budget travelers, dorms type in Hong Kong is different with other country. They are also with different classes, 4-bed, 6-bed, 8-bed, 12-bed and 20-beds. All of them are providing the cheapest and most basic accomodation. If customers do not want pay more than USD10 per night, we advise customers to keep in mind that not to be too demanding. HOSTELHK Group member! NOTICE: Our reception office is only on: Block A, 3rd floor of Chunking Mansions We don't have any office branch in other place! Our group name is only: HOSTELHK Group. Please beware of the FAKE. -------------------------------------------------------------------- What to see, where to eat and where to stay, Chungking Mansions could be listed under all of these categories. A Hong Kong landmark, made famous by Wong Kar Wai of Cannes fame, the mansions have become an attraction in their own right. Housed inside a maze like structure, Chungking used to be the first point of call for immigrants from every nation. Today it is still Hong Kong's centre of multiculturialism, famous in the city for its excellent Indian and Pakistani food, while its bargain basement guesthouses and hostels have been attracting backpackers for years. Chungking Mansions is a famous building in Hong Kong, China. It is located at 36-44 Nathan Road in Tsim Sha Tsui. The building is well-known as nearly the cheapest accommodation in Hong Kong with a single bed of US $8 one night. Though the building is supposedly residential, it is made up of many independent cheap hostels, shops, and other services. The strange atmosphere of this building is sometimes called by some 'the scent of Kowloon's Walled City'. Chungking Mansions features a labyrinth of guesthouses, curry restaurants, African bistros, clothing shops, sari stores, and foreign exchange offices. It often acts as a large gathering place for some of the ethnic minorities in Hong Kong, particularly Indians, Middle Eastern people, Nepalese, Sri Lankans, Bangladeshis, Nigerians, Europeans, Americans, Pakistanis, Asians, and many other peoples of the world. The building was completed in 1961, at which time Chinese residents predominated. Now, after more than four decades of use, there are nearly 4,000 people living in the Mansions. With this lively mix of guest workers, mainlanders, local Chinese, tourists and backpackers, the Chungking neighbourhood is one of the most culturally diverse locations in Hong Kong. In a study by CUHK anthropologist Prof. Gordon Mathews, it is revealed that there are people from at least 120 different nationalities who have passed through Chungking Mansions in the past year. In the issue of 'TIME Magazine' on May 7, 2007, Chungking Mansions was elected as the Best Example of Globalization in Action in its annual feature The Best of Asia. -------------------------------------------------------------------- -------------------------------------------------------------------- Why choose us? RANK We are the member of HOSTELHK Group, Our group total provide more than 600 rooms and 1000 beds available for online booking. So in any period, even at the high seasons in Hong Kong, you still can make reservations in here. LOCATION Perfectly located in the heart of Kowloon Peninsula - famous Tsim Sha Tsui area with utmost convenience. Premiere shopping and entertainment district. Within just a few minutes to walk you can enjoy dinner in Chinese or Western restaurants. Alternatively, McDonalds, KFC are all local. Many 24 hour shops, Bars, Disco and supermarkets are also nearby here. Tsim Sha Tsui is just beside the Victoria Harbor. Tourists can enjoy the great sea view and the famous night scene of Hong Kong Island at the sea side. ROOM TYPES We have the most variety of rooms. And they complied with government regulations on fire safety and building safety. As we see that almost guest rooms in Hong Kong are too small with tiny beds. We especially design spacious rooms with king size beds. We possess all the merits of other hostels, and at the same time, we guarantee an absolutely silent and new environment in every room we have. The partial rooms are designed according to the level of a 3-4 star hotel. Both the room and the size of the bed in our hostel is the largest among all hostels in Hong Kong. We also offer the economy rooms and dormitory rooms with the lowest prices. Perfect for all kind of customers, whether you are travel group, individual travelers, budget travelers or backpackers. Our rooms are categorized into three classes: Budget, Standard and Luxury. Because the site only can reserve one type in each type rooms, we show for online booking only for our basic one. For example: If you reserve a Twin Private En-suite, you will have our Twin - Budget. Customers who booked rooms from this website are given the privilege to upgrade their rooms up to 30% discount off if other classes of rooms are available. Customers can fully exercise their right to decide between staying in the same booked room or upgrade! Extra facilities and service are charged upon request. If you need upgrade the rooms, please request it by email to make the change. All Room Types Single - Budget, Standard, Luxury Twin - Budget, Standard, Luxury Double - Budget, Standard, Luxury Triple - Budget, Standard, Luxury Quadruple - Budget, Standard, Luxury Dorm Bed - Budget, Standard, Luxury Family Suite #1: We have three types of triple room. 1. One double bed and one single bed. 2. One bunk bed and one single bed. 3. Only the luxury type have three single beds. #2: We have two types of quadruple room. 1. Two bunk beds. 2. Only the luxury type have two KING-SIZE beds. #3: Family suite designed for family in a group of 4-5 adult. With kitchen. PRICE Lowest Price Guaranteed!!! We promise you that we can give you one of the most inexpensive and competitive rates that you will find in our hostels group. You are guaranteed to get the most affordable rates possible. One of the our promotion package is: According to the same room standard, location and period, if you find the price of other hostels is lower than our groups, we can give you more lower price than them. We treat this as a welcome to our loyal customers and see it as a great opportunity to attract new customers. -------------------------------------------------------------------- -------------------------------------------------------------------- NOTE TO OUR PRECIOUS GUEST Please select your 'arrival time' very carefully before confirming the booking. When filling in the arrival time to the hostel, please add 40 minutes if coming by train or 1 hour if coming by A21 airport bus to the estimated flight arrival time. And if you arrival at 11:00PM, please select 23:00 not 11:00. Please understand that the hostels have to allocate late check-out, early check-in, walk-in customers every day, the confirmed 'arrival time' help you and all guests to have the best arrangement. NOTICE - Check-in time later than 17:00 will need extra deposit after booking made. - Group Booking (book more than 1 room) will need extra deposit after booking made. - Hotel will send confirmation email after made booking to confirm the checkin time and deposit payment. Any booking cancellation or amend need made 00:00 hotel local time 3 days before your date of arrival by email, phone calls not accepted. Otherwise, or in case of a no-show, the first 2 nights will be charge (1 night charge for book only 1 night ). SURPRISE If you don't enjoy your stay in other small rooms of another hostels or hotels, please come to our reception office: Block A, 3th floor of Chunking Mansions Just take a look. We will give you a surprise: lowest price but better rooms and good service. Come and share the experience of Hong Kong with us. You will really enjoy your stay! Welcome to Hong Kong! -------------------------------------------------------------------- The pictures showed in the page is segmental type of our rooms. The pictures showed in the page are for reference. Copyright 1980-2015 HOSTELHK GROUP. All rights reserved.  View House Rules  ",unknown,2.0,Hostel,6.0,Hong Kong Star Hostel,US$13.81,3.2,Rating,222,3.3,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Card Phones, Common Room, Elevator, Hair Dryers, Hair Dryers For Hire, Hot Showers, Hot Tub, Jobs Board, Key Card Access, Parking, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, Swimming Pool, Washing Machine, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Currency Exchange, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Towels for hire, Bar, Mini-Supermarket, Tea & Coffee Making Facilities",4.0,3.3
6.0,Hong Kong,8.7,Hong Kong China,"Mojo Nomad Aberdeen Harbour was born from a desire to create a co-living concept that would tackle the unique problem of space in Hong Kong, while also supporting a special community of creators and visionaries. As the first co-living space of its kind in the region, our mission is simple: Live without compromise – budget-friendly and world class accommodation. The impossible is possible. Get involved – we’re here to help you create the experience that you want. New rules, new way – An experiment in a better way of living. This is uncharted territory and we wouldn’t have it any other way! This property is a licensed Guest House (General) under Office of The Licensing Authority in Hong Kong.  View House Rules  ",unknown,9.3,Hostel,6.7,Mojo Nomad Aberdeen Harbour,US$30.97,8.6,Fabulous,212,10.0,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Air Conditioning, Cable TV, Common Room, Cooker, Dryer, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Key Card Access, Microwave, Parking, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, Utensils, Washing Machine, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Towels for hire, Bar, Cafe, Meals Available, Tea & Coffee Making Facilities, Vending Machines, Games Room, Wii",10.0,9.3
5.0,Hong Kong,7.0,Hong Kong China,"The reception of Cebu Hotel is located in (BLOCK A, 12/FLOOR, A5) Chung King Mansion. Once you enter the building it is the first block and first lift on left hand side. Take the lift to 12th floor. The rooms in Cebu Hotel are clean, spacious and comfortable. Our rooms are of superior quality with en-suite shower and toilet, hot and cold water 24 hours a day. Each room has a air conditioning, telephone for free local calls and remote control colored TV. ***Property Policies and Conditions*** 1).Check in after 2pm and check out before 11 noon. Please note that in order to check in, simply proceed to our main reception and our staff will check you in. For any other questions or inquiries, simply e-mail us using the email provided and we will aim to get back to you as soon as possible - usually within one working day or less. 2).For our cancellation policy- you must email us up to 3 days before in order to ensure that your cancellation is done free of charge for free cancellation policy. 3).We accept credit card and cash payment upon check in. 4). For any other questions or inquiries, simply e-mail us using the email provided and we will aim to get back to you as soon as possible - usually within one working day or less. Cebu Hotel is a Licensed Guesthouse (General) under Office of The Licensing Authority in Hong Kong.  View House Rules  ",unknown,5.0,Hotel,9.0,Cebu Hotel,US$6.39,6.9,Good,64,8.0,"Free City Maps, Free Internet Access, Free WiFi, Towels Included, Adaptors, Air Conditioning, Breakfast Not Included, Cable TV, Ceiling Fan, Elevator, Hair Dryers, Hot Showers, Iron / Ironing Board, Security Lockers, 24 Hour Reception, 24 Hour Security, Currency Exchange, Fax Service, Housekeeping, Internet Access, Luggage Storage, Wake-up calls, Tea & Coffee Making Facilities, Wi-Fi",5.0,9.0
9.0,Hong Kong,10.0,Hong Kong China,"Dragon Hostel is located at Mong Kok, the well-known shopping and sight-seeing area in Kowloon Hong Kong. Shopping malls, street markets and entertainment places are located within 5mins walking distance. Plenty of local style, Chinese, Western, Asian and vegetarian restaurants surround the building. All 66 rooms of the hostel are equipped with amenities such as air conditioning, television, bathroom facilities, writing desk, drawer and storage place. Economy rooms with shared bathrooms are available for budget travelers.The hostel is a licensed Guesthouse and has complied with government regulations on fire safety and building safety.  All rooms are kept extremely clean and comfortable by friendly staffs. Free internet access. Staffs speak fluent English, Mandarin, Cantonese, Vietnamese and Indonesian. 24hrs reception desk gives you full travel information. Dragon Hostel also provides travel services include China (Business/Tourist) Visas and Vietnam tourist visa, Hong Kong local tours and Ticketing arrangement. We also have discounted HK Disneyland, OceanPark and peak tram Tickets! Dragon Hostel is being voted the 'Number 2 Hostel in Asia' as voted by Hostelworld customers worldwide for 2005 While you making the room selection, please be noted that this website offers selections of: 'Private room' - with shared bathroom; 'Private ENSUITE -- with private bathroom. Beds settings in room: Single - 1 single bed Double - 1 double bed Twin - 2 single beds 3beds - 3 single bed;  or 1 double bed + 1 single bed 4beds - 4 single bed; or 1 double + 2 single beds 5beds - 1 double/full size bed + 3 single beds; or, 2doublebed+1singlebeds Important Note: All rooms check in time is after 2pm, check out time is before 12noon.Early check in and late check out is available by request, additional fees may apply.Luggage storage is available. Please select your 'arrival time' carefully, the hostel will only hold the room for 1 hour after your given arrival time.  (From airport to our hostel is about 1 hr distance). The hostel reserves all rights to cancel all late check-in WITHOUT any deposit and booking fee refunds. If there are any schedule change or delayed flight, please contact the hostel via email/fax/phone to change the booking details to secure your booking. If no-show for the first day, all other booking dates will be cancelled, and other bookings of the same guests/group will be canceled as well, all deposit is forfeited. Payment policies: Cash payment only. Full payment for balance due and shall be paid before check in, so prepare the cash when arrival. We also have foreign exchange service in house. All paid payment is Non-refundable and Non-transferable.The hostel reserves the right of final decision in case of any disputes. - Non-locals only; Check in requires valid passport with HK immigration slip/stamp to show the valid stay in hongkong, or Exit-entry Permit for Travelling to and from Hong Kong (往来港澳通行证) - 我們是遊客賓館,只限持海外護照, 旅遊証件的外籍人士(連入境記錄章及於批准逗留時限內)或港澳通行证登記入住。 Dragon Hostel Hong Kong is a Licensed Guesthouse (General) under Office of the Licensing Authority in Hong Kong.  View House Rules  ",unknown,9.0,Hostel,10.0,Dragon Hostel Hong Kong,US$13.55,9.6,Superb,2087,9.0,"Free City Maps, Free Internet Access, Linen Included, Adaptors, Air Conditioning, Common Room, Elevator, Hair Dryers, Hair Dryers For Hire, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Currency Exchange, Fax Service, Internet Access, Laundry Facilities, Luggage Storage, Postal Service, Tours/Travel Desk, Towels for hire",10.0,10.0
8.4,Hong Kong,8.9,Hong Kong China,"hong kong inn offers long-term rentals for visitors, students on internships, travelers on extended tours, or others leaving in hong kong. we provide comfortable rooms with air-conditioning, cable tv, free internet access (wifi & terminals), full laundry services, luggage storage and 24 hour resident services. all our residents have use of common access full kitchens (stoves, sinks, refrigerators, cookware & utensils) and living rooms. bathrooms have hot & cold water shower facilities, toilets, sink, mirror & ventilation fan. safe deposit is also available. Hong Kong Inn is in Licensed Guesthouses (General) under The Office of the Licensing Authority.  View House Rules  ",unknown,8.4,Hostel,9.8,Hong Kong Inn,US$12.77,8.9,Fabulous,759,8.4,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Adaptors, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Breakfast Not Included, Cable TV, Ceiling Fan, Common Room, Elevator, Hair Dryers, Hair Dryers For Hire, Hot Showers, Key Card Access, Meeting Rooms, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Fax Service, Housekeeping, Internet Access, Luggage Storage, Postal Service, Tours/Travel Desk, Towels for hire",8.9,9.6
