atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
9.9,Canggu,10.0,Indonesia,"Surrounded by rice fields, Nyaman Hostel is ideally located a short walk away from Echo Beach and Batu Bolong street. Nyaman Hostel has a relaxed vibe where guests can lounge around our outdoor pool on one of our many bean bags, or relax in our shared living room with board games, table tennis and darts. We also have a rooftop garden and shared kitchen. Mixed gender and female-only dorms available, all beds equipped with linens, privacy curtain, international power outlets, lockable drawer, reading lights, with bathrooms located inside each dorm. Free Wifi available throughout the hostel. Let our friendly staff help you in taking care of all your activity bookings during your stay, including surf lessons, mountain trekking, dirt biking and cultural trips to one of Bali's many temples and natural wonders. On select nights we also do dinner gathering local style in-house. We also provide free shuttle to Echo Beach and Batu Bolong street throughout the day.  View House Rules  ",1.5,9.8,Hostel,9.9,Nyaman Hostel,US$13.21,9.9,Superb,22,10.0,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Adaptors, Air Conditioning, Bicycle Parking, Breakfast Not Included, Common Room, Fridge/Freezer, Hair Dryers, Hot Showers, Outdoor Swimming Pool, Parking, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Security, Airport Transfers, Housekeeping, Internet Access, Luggage Storage, Reception (limited hours), Bar, Tea & Coffee Making Facilities, Board Games, Games Room, Wi-Fi",10.0,9.9
8.6,Canggu,9.9,Indonesia,"Gypsy Moon Bali is located in Canggu, 2.1 km from Echo Beach and has an outdoor swimming pool. The property is around 2.8 km from Vue Beach Club and 2.1 km from Batu Bolong Beach. Situated in the Batu Bolong district, the hostel is within 2.4 km of Berawa Beach. The rooms at the hostel come with a seating area. The rooms include a private bathroom. The units at Gypsy Moon Bali feature air conditioning and a wardrobe. A continental breakfast is available each morning at the property. The nearest airport is Ngurah Rai International Airport, 12 km from the accommodation. Terms and Conditions: Free Cancellation: 3 Days before the arrival without being charged by the property Check in from 2:00 PM Check out Before12:00  Noon Payment on Arrival:Cash and Credit Card Tax Included Breakfast Included NO smoking in Room, but have smoking area Reception working hours 09.00 AM - 5.00 PM  View House Rules  ",0.2,9.6,Hostel,8.4,Gypsymoon Bali,US$11.89,9.3,Superb,164,9.1,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Cable TV, Card Phones, Ceiling Fan, Cooker, Cots Available, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Security Lockers, Self-Catering Facilities, Swimming Pool, Utensils, 24 Hour Security, Airport Transfers, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Reception (limited hours), Towels for hire, Cafe, Tea & Coffee Making Facilities, DVD's, Games Room, Wii",9.5,9.6
8.5,Canggu,6.3,Indonesia,"Overview A hippie hostel located in the heart of Canggu (Bali’s original surfer’s paradise), Point Break is a vibrant meeting place for surfers, yoga-lovers and world travellers. Just a stone’s throw away from some of the best nightlife, markets and beaches on the island, the hostel boasts an outdoor swimming pool, rooftop terrace and daily live music and yoga lessons.  The Property - Mixed and female-only dorms with A/C and personal lockers - Shared and ensuite bathrooms with hot water - Sheets and towels provided - Free Wi-Fi - Outdoor Pool - Rooftop Terrace with rice field, garden and amazing sunset views -Shared Kitchen with barbeque and guest fridge - Comfortable common area with beanbags - Free Parking - Small Library and Games available for guests - Animal Friendly - International and local staff happy to help and answer questions Extras and activities - Free Daily Yoga - Live Music - Family Dinner - Surf Lessons on request - Group Paint Ball on request - Airport Transfers/ Taxi on request Location - 45 minutes by taxi from Ngurah Rai International Airport - 5 minutes drive from local Canggu hot spots including Echo Beach, Batu Balong Beach, Old Man’s Bar, Pretty Poison, Deus Ex-Machina, Luigi’s.  View House Rules  ",1,7.2,Hostel,8.0,Point Break Canggu,US$4.63,7.5,Very Good,134,7.0,"Free City Maps, Free City Tour, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Ceiling Fan, Common Room, Cooker, Cots Available, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, Swimming Pool, Utensils, 24 Hour Reception, 24 Hour Security, Airport Transfers, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Bar, Meals Available, Tea & Coffee Making Facilities, Wi-Fi",7.5,8.2
7.8,Canggu,7.9,Indonesia,"The Escape Hostel is located in the most popular area in canggu, only 400m/1 minute from Brawa Beach.our area surround by many famous restaurant and bar.The Hostel is in front of  the most popular skate park (konkrete cafe and skate park),at the left side of our building is soccer field and joging track. At our 3rd floor is a rooftop. We have swimming pool,entertainment area,cafe and garden are located at our rooftop. We provide billiard,bbq,dj and music for entertainment. At our first floor building hostel we have cafes,pharmacy and gelato ice cream. Those make our hostel the best place to stay and facility in Bali. Transportation is very easy to find,such as motor bike rental,taxi,car rental.If you are looking for city tour don't be worry,we will provide the best city tour . Near to our area you can find many surf board rental and lesson. The facilities in our room are mix male and female dormitory bed,with air conditioning,free WiFi,towel,cctv,big safety box for luggage. Terms and Conditions: Free Cancellation:1 Days before the arrival without being charged by the property Check in from 14.00 Check out Before 12.00 Payment on Arrival:Cash and Credit Card (payment with credit card plus 3% additional charge) Tax Included No Smoking in Room Reception working hours 24 hours  View House Rules  ",2.2,8.6,Hostel,9.1,The Escape Hostel,US$6.61,8.5,Fabulous,470,8.6,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Linen Included, Air Conditioning, BBQ, Bicycle Parking, Cable TV, Fridge/Freezer, Hair Dryers, Hot Showers, Outdoor Swimming Pool, Parking, Reading Light, Safe Deposit Box, Security Lockers, Swimming Pool, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Direct Dial Telephone, Housekeeping, Internet Access, Luggage Storage, Tours/Travel Desk, Wake-up calls, Bar, Cafe, Meals Available, Tea & Coffee Making Facilities, Board Games, Pool Table, Wi-Fi",8.6,8.7
8.4,Canggu,9.5,Indonesia,"WaterBorn Bali combines the social hostel atmosphere, with comfy villa living. We have dorms (no bunks, just single beds), semi-privates and privates. All rooms have high quality matresses, hot water, A/C, and fast Wi-Fi connection. The rooms are cleaned daily, common bathrooms are cleaned a few times a day. Every room has wardrobe with lock, dorm rooms have big size lockers. A delicious breakfast is served every morning. Drinking water, coffee and tea are free, beer and soft drinks are available. We are located right in the center of Batu Bolong, Canggu. Many cafes and bars are just a few minutes of walking distance away, Old Man's and Echo Beaches are only 2 minutes on motorbike. Your hosts Bulan, Loco, Casper and Surya (3 cats and a dog) will be delighted to have you as guests.  View House Rules  ",1.4,9.2,Hostel,9.8,WaterBorn Bali,US$14.42,9.1,Superb,212,8.6,"Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Book Exchange, Breakfast Not Included, Common Room, Cooker, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Self-Catering Facilities, Swimming Pool, Utensils, Airport Transfers, Housekeeping, Reception (limited hours), Tea & Coffee Making Facilities, Board Games, Wi-Fi",9.0,9.1
7.0,Canggu,8.3,Indonesia,"Draper Startup House joined forces with the Draper Startup ecosystem to help execute the enablement of ONE MILLION entrepreneurs by the end of 2030. By utilizing physical hostel beds to aggregate global talent, Draper Startup House is disrupting the hospitality model by creating true value through building a larger business ecosystem. Through the use of real human connection, inspired business travel, a diverse-minded community and access to global citizens - one is able to connect to new opportunities, inspire one another to innovate and execute, and empower one another to GO BIG, give back, and drive progress. Common areas, included services and activities. Free WiFi Towels and Linens Free parking space Free ideas Community board Events Board Co-working space Startup Events Best hospitality Surroundings Located in the outskirt of Canggu, Bali. near sightseeing around our location 10 minute scooter ride to Eco beach, Berawa Beach, Perenenan Beach and beautiful rice fields around. We are also close to one of the most famous temples in Bali called Tanah Lot, and beach clubs around. Check-in: 2pm afterwards *Early check-in possible on availability Check-out: before 12:00pm Security: 24/7  View House Rules  ",3.7,7.3,Hostel,6.5,Draper Startup House for Entrepreneurs,US$6.61,7.6,Very Good,80,8.3,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, BBQ, Bicycle Parking, Card Phones, Ceiling Fan, Common Room, Cots Available, Hot Showers, Hot Tub, Indoor Swimming Pool, Meeting Rooms, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, Swimming Pool, 24 Hour Security, Airport Transfers, Bicycle Hire, Fax Service, Housekeeping, Internet Access, Internet café, Late check-out, Laundry Facilities, Reception (limited hours), Tours/Travel Desk, Bar, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",8.5,7.8
9.2,Canggu,9.3,Indonesia,"Hello and welcome to Ahoy Hostel!! Our Hostel is situated in the heart of vibrant and happening Canggu and within walking distance to all the best cafes and bars. The essence of Ahoy Hostel is a Villa living experience combined with hostel vibes. We offer 5 A/C cooled bedrooms each with 4 beds which benefit from private ensuite bathrooms with hot water. Our balcony rooms with their rice field views have the added benefit of allowing you to enjoy the serenity of the real Bali. Our 8m swimming pool allows you to cool off after a hot day in the sun or after a long night at the best restaurants and bars that Canggu has to offer. We also have super-fast fiber optic Wi-Fi which we know is a must for all travelers. All of our beds have the convenience of personal power sockets. Our friendly and helpful staff’s priority is to look after you and ensure you have an unforgettable stay in Bali. See you soon at Ahoy. Terms and Conditions: Free Cancellation: 1 Day before the arrival without being charged by the property Check in from 2 pm Check out Before 11 am Payment on Arrival: Cash and Credit Card, but extra Charge for credit card service fee. Tax Included Breakfast Not Included No smoking in Room, but have a smoking area Reception working hours 8am - 10pm  View House Rules  ",1.2,9.0,Hostel,8.7,Ahoy Hostel,US$7.93,9.2,Superb,165,9.1,"Free Parking, Free WiFi, Linen Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Common Room, Cooker, Fridge/Freezer, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Parking, Security Lockers, Swimming Pool, Utensils, Housekeeping, Luggage Storage, Reception (limited hours), Towels for hire, Wi-Fi",9.5,9.2
9.0,Canggu,8.0,Indonesia,"Bali Beats Guesthouse is Bali style villa living on a backpackers budget that offers free dinner every night. Set across 7 bedrooms. 2 Private with AC. 5 Dorms, fitting up to 4 people in each room all with  airconditioner. Shared kitchen & common area. Bathroom in all rooms. The Guesthouse provides, fast WIFI, hot water, 1 large self contained kitchen, surfboard storage,1 common area, airport transfers & motor bike and bicycle hire on arrival. Along with surf board hire and adventure tours around Bali! Our main goal is to provide a exciting and fun environment with plenty of good vibes. We are located in the prime spot if you want to surf at a high level, start off as a beginner or if you just want to chill out and enjoy the amazing food and beautiful surroundings of the area. We are a short 3 min ride to the world famous Echo Beach, Canggu and walking distance to other high class waves such as Berawa and Old Mans. 5-10 minutes the other way (south)  View House Rules  ",1.9,8.4,Hostel,8.7,Bali Beats Guesthouse,US$8.26,8.8,Fabulous,172,8.1,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Breakfast Not Included, Common Room, Cooker, Fridge/Freezer, Hot Showers, Key Card Access, Outdoor Terrace, Parking, Security Lockers, Self-Catering Facilities, Towels Not Included, Utensils, Airport Transfers, Bicycle Hire, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Bar, Meals Available, Tea & Coffee Making Facilities, Board Games, Wi-Fi",9.9,9.6
8.3,Canggu,7.0,Indonesia,"Set in the harmonious surroundings of Canggu and only a five-minute stroll away from the beach, Serenity Eco Guesthouse offers a tranquil retreat for everyone. Well known by the surfers and yogis, you can come experience the waves or join in one of our daily yoga classes held in our Yoga Shala's. Serenity Eco Guesthouse is a smoke and alcohol free guesthouse With a wonderful variety of accommodation to suit your individual needs, from private superior rooms, cozy singles to comfortable dormitories, we provide free Wi-Fi, parking and a Cozy Corner. Terms and conditions: Cancellation policy: 7 Days before arrival. We require  35% (or Min. 1 Night) of the balance due to be paid before arrival and it is non-refundable and remaining will be taken upon arrival before checking-in. In case of cancellations that are not charged any cancellation fee, a Bank transaction fee will be levied on the total amount. In case of card payment, 1.7% would be charged. In case of payments via online transfer, 2.6% would be charged. Acceptable Payment : Cash or Credit card ( MASTER or VISA ) In case of cancellation during stay, only 65% of the remaining balance will be refunded and Serenity should be notified 24 hours before. The 35% cancellation fee applies 24 hours after your arrival Booking will be automatically canceled if no deposit is received after invoice is expired. Check in from 14:00 to 23:00. Check out before 12:00. Serenity has the right to charge a late check-out fee for overstaying past the check-out time Reception is open 24hours  Taxes included. - Breakfast included to be  Vegan buffet breakfast included - No curfew. to be After 10pm please remain silent in the public areas, to respect other guests who may be sleeping We love children, but those under 10 years old are not permitted to stay. Serenity and branches is a smoke and alcohol free zone. If you want to smoke, do so at our designated zones. No outside pets are allowed Serenity is not responsible for any loss or damage, we have no insurance. Serenity’s building style mimics nature and is built with as much recycled material as possible. Please take all reasonable care in adjusting and watch your step.  View House Rules  ",2.3,7.7,Hostel,9.0,Serenity Eco Guesthouse and Yoga,US$5.09,8.3,Fabulous,15,9.0,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Ceiling Fan, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Swimming Pool, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Housekeeping, Internet Access, Luggage Storage, Tours/Travel Desk, Towels for hire, Restaurant, Wi-Fi",8.7,8.7
9.1,Canggu,9.3,Indonesia,"Are you looking for an extraordinary experience?  A unique chance to enjoy the outside, make life-long friends and learn about a whole new culture – all offered by your accommodation? The Jungle House welcomes you to start the most exciting adventure you’ve had so far! The Jungle House offers you a clean, comfy and affordable accommodation with top location in Canggu, Berawa and in a jungle-themed setting. Our facilities include a self-service kitchen, free Wi-Fi, pool and a garden area where you can relax after surfing or yoga... OR recover from last night’s party ;) Airport transfer and motorcycle rental can be organized by our staff. We want all travelers to have the possibility to stay in a unique and exciting place that feels more like home than hostel. We arrange activities almost every night for the whole Jungle Family to join and are always eager to show and tell you about the best places to visit in Bali.  View House Rules  ",1.4,9.1,Hostel,8.2,The Jungle House,US$9.91,9.1,Superb,103,8.9,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Breakfast Not Included, Card Phones, Ceiling Fan, Common Room, Cooker, Cots Available, Fridge/Freezer, Hot Showers, Jobs Board, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Security Lockers, Self-Catering Facilities, Swimming Pool, Airport Transfers, Express check-in / out, Housekeeping, Internet Access, Late check-out, Luggage Storage, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Bar, Tea & Coffee Making Facilities, Board Games, Wi-Fi",10.0,9.3
