atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
8.7,Gili Trawangan,9.1,Indonesia,"As one of the newest boutique hostels on the island, Compass Divers brings a chilled vibe to your travels. Being a road back from the main strip means you can relax without being too far away from all the fun the island has to offer, you can even enjoy scuba diving with us! Our three-bed rooms feature double lockers, with a key (pay a deposit and get it back when you hand the key in on check out), for you to safely store all of your belongings. Lockers also come with a shelf and charging port to keep your electronics safe whilst recharging. Each bed has it's own reading light and curtain to keep things private. We also provide a free towel for the showers so you can save yours for the beach! Extra towels and bedding can be borrowed from reception, with a deposit. We also provide aircon in the rooms and hot water in our bathrooms. We provide free tea, coffee and water all day and complimentary breakfast between 8 am and 10:30 am. Free Wifi and use of our pool are provided for our guests too. If you have any problems or want to know a bit more about the island, feel free to ask any of our friendly staff and they will send you in the right direction. ***Property Policies & Conditions: 1. Check-in time will be 12 pm unless your beds are available sooner and confirmed by hostel management. - We can store bags in our reception if you are early and all our hostel amities are available while you wait for your check-in. - Upon Check-in, we'll ask for a photocopy of your passport and a 100,00.00idr deposit which you'll get back when the locker key is handed in on check out. 2. Check out time is 11 am. 3. Payment: At least one night has to be paid upon arrival. We also provide scuba diving courses, try dives and fun dives on site and in the sea. Be sure to let us know if you'd like to book a place!  View House Rules  ",unknown,9.2,Hostel,9.7,Compass Divers Hostel,US$9.91,9.3,Superb,120,9.3,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Ceiling Fan, Hot Showers, Outdoor Swimming Pool, Parking, Reading Light, Swimming Pool, 24 Hour Security, Housekeeping, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Towels for hire, Meals Available, Tea & Coffee Making Facilities, Wi-Fi",9.7,9.5
,Gili Trawangan,,Indonesia,"Bale Datu Bungalow – Gili Trawangan, Lombok – Comprises Of 5 Comfortable – Fully Air-Conditioned Guest Rooms That Deliver Exceptional Comfort to Guests. Located In The Heart Of Gili Trawangan, This Place Is A Perfect Choice For Leisure Travelers Seeking Unforgettable Fun-Packed Gili Trawangan Experiences. The Friendly And Efficient Team Provide The Best Of Lombok Hospitality And Are Fully Focused On Ensuring Memorable Experiences At Highly Affordable Rates, Guaranteeing That Bale Datu Offers Magnificent Value For Money. Only 1.5 Kilometers From Gili Trawangan Ferry Terminal, Bale Datu Is Within Walking Distance To The Beach, Shops, Restaurants And Nightlife, Features An Outdoor Pool & A Restaurant. Free Wi-Fi Is Available Throughout the Property. These Family Run Bungalows are an Oasis of Calm and Relaxation. ***Property Policies*** Cancellation policy: 2 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 22:00. Check out before 11:30 noon. Payment upon arrival by cash, credit cards, but extra charge for credit card service fee. Taxes included. Breakfast included. No curfew. Non smoking. Reception working period/time: 07:00 am - 22:00.  View House Rules  ",unknown,,Hotel,,Bale Datu Bungalow,US$18.17,,No Rating,0,,"Free Breakfast, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Cable TV, Outdoor Swimming Pool, Outdoor Terrace, Safe Deposit Box, Swimming Pool, 24 Hour Reception, Airport Transfers, Bicycle Hire, Express check-in / out, Housekeeping, Late check-out, Room service (limited hours), Shuttle Bus, Tours/Travel Desk, Wake-up calls, Minibar, Wi-Fi",,
10.0,Gili Trawangan,10.0,Indonesia,"Set in Gili Trawangan 25 m from the beach and sunset point, Bleu Verde Hotel provides an outdoor pool with geometric tiles and colorful night light. This 3 star hotel features free WiFi and a bar. Snorkeling spot is 5 minutes walk away. This boutique resort features a wooden structure, inspired by traditional Dayak tribe’s long house, rich with culture, colors and details. All guests room in the hotel are equipped with air conditioning, a seating area, a flat screen TV with 40 satellite channels, a dining area and a private bathroom. Bleu Verde Hotel offers some rooms that include a terrace. The units will provide guests with fridge. A a la carte breakfast is available every morning at the property. The restaurant is open for breakfast, lunch and dinner, serving delicious simple meals with generous portion. The area is popular for snorkeling and diving. This property is also rated for the best value in Gili Trawangan! Terms and conditions: Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 12:00 to 19:00 . Check out before 12:00 . Reception hours: 06:00-22:00 Payment upon arrival by cash, credit cards. Taxes included. Breakfast included. No curfew. We are child friendly but Children in dormitory room would be charged as an adult. Children up to 5 years old in regular room can stay in bed with parents Children above 5 years old and up to 10 years old in regular room will be charged Rp. 250.000 per night including breakfast. Non smoking but have designated smoking area.  View House Rules  ",unknown,8.0,Hotel,10.0,Bleu Verde Hotel - Turtle Point Beach,US$16.52,9.1,Superb,1,6.0,"Free Breakfast, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Hot Showers, Key Card Access, Outdoor Swimming Pool, Safe Deposit Box, Swimming Pool, Bicycle Hire, Housekeeping, Internet Access, Reception (limited hours), Room service (limited hours), Wake-up calls, Restaurant, Wi-Fi",10.0,10.0
7.0,Gili Trawangan,9.0,Indonesia,"Jungle Hotel is 5 bungalows right in the heart of the main party strip of Gili T All bungalows have 2 queen beds, aircon and fan, ensuite, patio sitting area. Wifi and Desalinated water showers is also included. Max occupancy is 3 guests per room. included in the room is big breakfast and our staff will likely show you around the bars at night as well. behind jungle bar, we are located 100 - 200m from Irish Bar, Jiggy Bar, Sand Bar, Blue marlin and 300-400m away from Ombok bar, Sama Sama and Evolution Bar. there is plenty of activity in this area of the island and many restaurants to choose from ***Property Policies & Conditions: 1. Cancellation policy: 3 days before arrival. 2. Check in from 13:00 to 23:00. 3. Check out before 11:00 am. 4. Payment upon arrival by cash. Credit card is accepted at our sister Hostel My Mates Place only 5. Reception working hours 07:00-20:00. 6. Age Restriction: 18+. 7. Taxes included. 8. Breakfast included.  View House Rules  ",unknown,5.0,Hotel,10.0,Jungle Hotel,US$7.71,7.7,Very Good,3,7.0,"Free Breakfast, Free WiFi, Towels Included, Air Conditioning, Card Phones, Ceiling Fan, Outdoor Terrace, Late check-out, Reception (limited hours), Bar, Nightclub",9.0,7.0
10.0,Gili Trawangan,10.0,Indonesia,"Introducing VILLA PHYPHY 2, Gili Trawangan. 12 Poolside Rooms with 7 double bed and 5 twin beds,  14 m Lap pool, 3 minutes by bicycle to the beach, sunset and harbor. All the amenities; AC, Internet, lounge bar with large screen satellite TV! Our experienced, friendly staff await you! Villa Phyphy 2. daily breakfast is included in the price.  View House Rules  ",unknown,10.0,Bed and Breakfast,8.0,Villa Phyphy 2,US$9.91,9.7,Superb,20,10.0,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Hair Dryers, Hot Showers, Hot Tub, Outdoor Swimming Pool, Outdoor Terrace, Parking, Safe Deposit Box, Swimming Pool, 24 Hour Reception, Bicycle Hire, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Bar, Meals Available, Restaurant, Wi-Fi",10.0,10.0
6.3,Gili Trawangan,5.0,Indonesia,"Gili Divers Divecamp offers 3 simple rooms with AirCon, shared bathrooms with fresh water and lockers for the belongings. Right next to the rooms there is a pool surrounded by tropical plants. Divecamp also offers a book swap and free WiFi. Gili Divers Divecamp features PADI and SSI dive courses hence Divecamp is a perfect place to stay for anyone looking for a social, affordable and fun environment to get involved with diving! Get a 50,000IDR discount for your room per day while diving with Gili Divers. There are also 14 hotel rooms available with En-suite bathrooms equipped with a hot shower, AirCon and TV if you want more luxury. Gili Divers Divecamp has a beach restaurant with a range of local and traditional Swedish dishes and 50 Bar serving some of the best coffee on the island. Come and stay with us!  View House Rules  ",unknown,6.7,Bed and Breakfast,8.7,Gili Divers Divecamp,US$7.93,7.0,Very Good,21,7.7,"Free City Maps, Free Internet Access, Free WiFi, Card Phones, Fridge/Freezer, Late check-out, Reception (limited hours)",8.0,7.0
8.0,Gili Trawangan,10.0,Indonesia,"This property is 2 minutes walk from the beach. This property is 2 minutes walk from the beach. Situated 10 minutes’ walk from Gili Trawangan Harbour, Padanta Homestay features free Wi-Fi access throughout the guest house. Rooms here are air-conditioned and will provide you with garden views from the terrace. Private bathrooms also come with shower facilities  shawer. Our rooms feature large, individual lockers, with key provided, for you to safely store all of your belongings. Each bed has it's own reading light, small storage shelf and an international charging point for your electronics. We also provide a free towel for the showers so you can save yours for the beach!  View House Rules  ",unknown,10.0,Bed and Breakfast,10.0,Padanta Homestay,US$10.24,9.7,Superb,10,10.0,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Dry Cleaning, Parking, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Reception (limited hours), Wi-Fi",10.0,10.0
,Gili Trawangan,,Indonesia,"Inspired by the song title - Blackbird Guesthouse is a new, 5 bedroom guesthouse located in the heart of Gili Trawangan. All of our rooms are private with en-suite bathrooms and provide all the necessities for a shoe string budget. Our rooms may be private, but our lounge/common area is for everyone. So come and join us and other travellers for coffee by day or a beer and live music by night, before heading out to experience the islands nearby bars and nightlife. As a special opening promotion each of our guests will also receive free breakfast and snorkels! ***Property Policies*** Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00. Check out before 10:00 AM. Payment upon arrival by cash. Taxes included. Breakfast included. Curfew until 22:00. Non smoking in the room but have smoking area. Reception working period: 07:00~23:00.  View House Rules  ",unknown,,Bed and Breakfast,,Blackbird Guesthouse,US$6.61,,No Rating,0,,"Free Breakfast, Free Internet Access, Free WiFi, Air Conditioning, Bicycle Parking, Fridge/Freezer, Towels Not Included, Express check-in / out, Luggage Storage, Reception (limited hours), Tea & Coffee Making Facilities, Wi-Fi",,
10.0,Gili Trawangan,9.0,Indonesia,"We have 2 Room Dorm with 3 bed inside and share a bathroom and you can access Public pool/jacuzzi and free wifi if you stay at the dorm. If you would like to lunch and dinner we have a restaurant in the front of the beach under the name angel restaurant we are one management with them, also we serve and rental bikes for the guest, organizing snorkeling trips (public or private). Our property location also close to the night market, ATM, Money changer, Gym, harbor, Market shop, and Beach. Terms and Conditions: Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 21:00 . Check out before 11:00 . Payment upon arrival by cash. Taxes included. Breakfast not included. No curfew. Non smoking. Reception working period/time8am -10pm We will make Pre-authorization Charge for the first night to Secure the booking  View House Rules  ",unknown,8.0,Bed and Breakfast,10.0,Gili Splendia Beach Hotel,US$6.61,9.4,Superb,2,9.0,"Free Parking, Free WiFi, Bicycle Parking, Outdoor Swimming Pool, Outdoor Terrace, Bicycle Hire, Housekeeping, Reception (limited hours), Restaurant, Tea & Coffee Making Facilities, DVD's",10.0,10.0
,Jakarta,,Indonesia,"Kanto 's Guest House is a new concept of an inn . Our mission is to provide accommodation that is clean yet economical . It is suitable for guests who just need a place to rest . Why do we call our place as a Guest House ? Because we want to give you the comfort of their own home should stay for our guests . What are you waiting , stay in Kanto 's Guest House and feel the difference . Sleep Well , Payless ! From the airport : * The total distance of 25 KM * Can be reached within 37 minutes in normal traffic conditions  View House Rules  ",unknown,,Hotel,,Kantos Guest House,US$6.61,,No Rating,1,,"Free Internet Access, Free Parking, Free WiFi, Air Conditioning, Hot Showers, Key Card Access, Outdoor Terrace, Parking, 24 Hour Reception, 24 Hour Security, Housekeeping, Internet Access, Laundry Facilities, Vending Machines",,
