atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
8.0,Kuala Lumpur,6.0,Malaysia,"Welcome to our traveller's hostel located within a 100 year old colonial building where you can connect with friendly backpacker's & world traveller's. We offer mixed gender and female only dorms, clean bathrooms, free Wi-Fi and a common room full of new friends in downtown Kuala Lumpur. All rooms comes with AC and lockers. In the morning, a simple breakfast is provide with Coffee and Tea. Ice Cold drinks are available on purchase to cool you down from the KL Heat. There are board games, books and a TV to keep you entertain in the living area. SUDO GuestHouse - your home away from home - would love to serve you with our excellent location, clean facilities and friendly services. ***Property Policies & Conditions: 1. Cancellation Policy: 2 days before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00 (noon). 4. Payment upon arrival by cash or credit card. 5. Taxes: not included. ** ** A tourist tax of RM 10 per room (ONLY FOR PRIVATE ROOMS) per night is applied to all foreign guests. This tax is not included in the room rate and must be paid upon check-in. Guests with a valid Malaysian Identity Card or valid permanent residents MY PR Card are exempted. 6. Breakfast: not included. 7. No curfew. 8. No smoking in rooms, but designated area is provided. 9. Reception Working Hours: from 09:00 to 23:00. 10. Age Restriction: 18 years old or above.  View House Rules  ",unknown,6.0,Hostel,10.0,SUDO Guesthouse,US$4.87,8.0,Fabulous,9,10.0,"Free Internet Access, Free WiFi, Linen Included, Air Conditioning, Breakfast Not Included, Common Room, Fridge/Freezer, Hair Dryers For Hire, Hot Showers, Key Card Access, Microwave, Security Lockers, Towels Not Included, Utensils, Washing Machine, Housekeeping, Internet Access, Laundry Facilities, Reception (limited hours), Towels for hire, Board Games, Wi-Fi",8.0,8.0
6.0,Kuala Lumpur,6.0,Malaysia,"Special promotion for Early Bird!!! Stay with us   start from RM 25.00 What are you waiting for ?? Come and explore Kuala Lumpur   now!!! Strategically located, Revopackers is only a 5 minutes walk from Hang Tuah Train Station and even a shorter walk from the famous Berjaya Time Square shopping mall. Food is always accessible anytime of the day in the area. Surely when visiting the bustling city of KL, the party scene is one that you shouldn't miss, located about  10 minutes drive from the newly opened Zouk Club KL and the bars in Changkat. You surely won't need to worry about wasted time travelling around. At Revopackers, we have options of sharing dorm rooms that can accommodate between 4 to 6 people and private rooms that accommodate for those who travel in duos. Dorm rooms are strictly sold by per headcount and private rooms can hold not more than 2 people. Most importantly, we have all female dorms available upon request and not forgetting one of the best parts about us, all our rooms have air conditioning and an ATTACHED BATHROOM for your comfort and privacy.  View House Rules  ",unknown,6.0,Hostel,8.0,Revopackers,US$7.65,6.3,Good,184,6.0,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Common Room, Dishwasher, Dryer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Iron / Ironing Board, Microwave, Parking, Reading Light, Security Lockers, Self-Catering Facilities, Towels Not Included, 24 Hour Reception, 24 Hour Security, Airport Transfers, Express check-in / out, Housekeeping, Internet Access, Laundry Facilities, Shuttle Bus, Towels for hire, Wake-up calls, Cafe, Mini-Supermarket, Tea & Coffee Making Facilities, DVD's, Wi-Fi",6.0,6.0
8.5,Kuala Lumpur,8.5,Malaysia,"Welcome to Birdnest Collective Café & Guesthouse, a travellers sanctuary in the heart of Chinatown, Kuala Lumpur. Birdnest is a labour of Love, and is safe, friendly and welcoming place for travellers to relax and meet like minded people. We started our first budget guesthouse in 2009 offering good value rooms with basic amenities. Now we have added a new location offering something new. Rooms are all air conditioned with en suite bathrooms. It also features a large rooftop café and chill out area to meet fellow travellers and enjoy the sunset view over the city.  View House Rules  ",unknown,7.9,Hostel,9.3,Birdnest Collective Cafe & Guesthouse,US$6.95,8.8,Fabulous,421,9.4,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Book Exchange, Ceiling Fan, Common Room, Fridge/Freezer, Hot Showers, Key Card Access, 24 Hour Reception, 24 Hour Security, Housekeeping, Internet Access, Internet café, Luggage Storage, Bar, Cafe, Tea & Coffee Making Facilities, Board Games, Wi-Fi",9.0,8.9
9.0,Kuala Lumpur,9.0,Malaysia,"You can’t miss the bright yellow walls at the end of Jalan Rembia and once you manage to get through the front gate you’ll find Amethyst Love Guesthouse to be a welcoming and quite comfortable place to stay. The guesthouse will appeal to those looking for a small place—more homestay than a small hotel—with a personable owner, who is really hands-on and bending over backwards to please. With a stay at Amethyst Love Guesthouse in Kuala Lumpur (Bukit Bintang), you'll be within a 10-minute drive of Petaling Street and Pavilion Kuala Lumpur. The hostel is 1.7 mi (2.8 km) from Merdeka Square and 1.7 mi (2.8 km) from Petronas Twin Towers. ***Property Policies & Conditions: 1. Cancellation policy: At least 3 days advance notice for free cancellation. 2. Check in from 14:00. 3. Check out before 12:00 noon. 4. Payment upon arrival by cash and Card. 5. 6% taxes is not included. For Non-Malaysian Guest, RM10 for each room per night as Tourism tax implemented starting 1st Sept 2017. 6. Curfew: 24.00. 7. Reception working 24 hours.  View House Rules  ",unknown,9.0,Hostel,9.0,Amethyst Love Guesthouse,US$5.79,9.0,Superb,8,9.0,"Free City Maps, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Book Exchange, Breakfast Not Included, Ceiling Fan, Dryer, Fridge/Freezer, Hair Dryers For Hire, Hot Showers, Iron / Ironing Board, Key Card Access, Utensils, 24 Hour Reception, 24 Hour Security, ATM, Fax Service, Housekeeping, Laundry Facilities, Luggage Storage, Wake-up calls, Bar, Cafe, Restaurant, Tea & Coffee Making Facilities, Vending Machines, Board Games, Wi-Fi",9.0,9.0
8.3,Kuala Lumpur,9.5,Malaysia,"Hexa Hotel Bukit Bintang is a newly opened premium budget hotel with an attractive setting in the middle of Kuala Lumpur city centre at the hub of Bukit Bintang.  The hotel has been exquisitely-designed to provide comfort to our guests. Shopping complexes the like of Pavilion, Fahrenheit, Lot 10, Berjaya Times Square and Starhill Gallery are within walking distances from the hotel.  KLCC can be reached within a few minutes from our hotel by cab or public rail transport (MRT/LRT).  The surrounding area is most of the time bustling with activities, a myriad of business and other social activities. The hotel comes with a cafe serving scrumptious pastries, mouth-watering muffins, delicious pastas and tantalising local specialties.  We also serve various beverages ranging from cappucino, flat white, hot chocolate, local coffee, local tea and a selection  of fruit juices. Rooms with air-conditioning and hotshowers, free Wifi available throughout the property. Our staff are committed to make your stay a pleasant one and are dedicated to assist all of our guests in the best possible way. Terms & Conditon 1. Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. 2. Check in from 14:00 to 23:00 . Check out before 12:00 . 3. 24 hours reception. 4. Foreign Tax not included - occupancy tax 10 MYR per person per night. 5. Refundable Damage Deposit - A MYR50 damage deposit is required on arrival. This deposit will be fully refunded at check-out, as long as there isn't any damage to the property. 6. Breakfast not included. 7. No curfew. 8. Child friendly only if with the guardian check in to private rooms. 9. Non smoking except for specific areas.  View House Rules  ",unknown,9.1,Hostel,9.3,Hexa Hotel Bukit Bintang,US$8.81,9.2,Superb,21,9.4,"Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Breakfast Not Included, Cable TV, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Outdoor Terrace, Reading Light, Security Lockers, 24 Hour Reception, Housekeeping, Internet Access, Late check-out, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Board Games, Wi-Fi",9.6,9.3
7.6,Kuala Lumpur,7.2,Malaysia,"The Travel Hub Guesthouse is conveniently located close to the City Center in the heart of Kuala Lumpur. Our lobby and accommodations are all handsomely appointed with comfortable furnishings blended with the modern conveniences of today. Situated within a 5-minute walk of Chinatown, Central Market and Sri Mahamariamman Temple, Travel Hub Guesthouse offers a simple daily breakfast and free flow of coffee and tea all day. Complimentary WiFi access is provided. Our friendly staff at the 24-hour reception can assist with laundry, luggage storage and tour arrangement. We arrange airport drops but cannot do airport pickups. Please print out the directions to the Travel Hub - this will help the taxi driver. A restaurant serving local cuisine is available just next door. The hostel is a 15-minute walk from Times Square and a 20-minute walk from the popular Bukit Bintang area. Kuala Lumpur International Airport is a 45-minute drive away. Rooms at Travel Hub are fitted with either a fan or air conditioning. The shared bathrooms offer hot showers. Ironing facilities are available at the common area and hairdryers are provided on request. Inside the Travel Hub Guesthouse is a cool oasis to kick off your shoes, chill out and meet other travellers. We have few areas to unwind such as the cosy reading/internet lounge with a little book exchange/library filled with our private collection and collection of books donated by our guests. We have computers where you can update your Facebook status, send an email to your loved ones or plan your next destination. The shared kitchen is where we serve our simple breakfasts in the mornings, you can have complimentary coffee or tea on the house and have all day chats with our guests. Laundry service is not available in our hostel. However, there is a self-service laundry nearby, 3-minutes walking distance from our hostel. Feel free to ask our front desk if you have any questions, they would be ready to assist you anytime.  View House Rules  ",unknown,7.6,Hostel,8.8,Travel Hub Guesthouse,US$5.79,7.9,Very Good,509,8.4,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Ceiling Fan, Common Room, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Parking, Security Lockers, 24 Hour Reception, 24 Hour Security, Housekeeping, Internet Access, Late check-out, Luggage Storage, Tours/Travel Desk, Towels for hire, Bar, Tea & Coffee Making Facilities, Board Games, Wi-Fi",7.2,8.4
,Cameron Highlands,,Malaysia,"A family-run guesthouse offering great location - short walking distance to the town center and bus station, homely atmosphere, clean and comfortable rooms with a spacious garden to laze and ample facilities. We are located in the town centre, just 250 meters from Main Street. Cameronian Inn's Policies and Conditions: 1. Check in Time: Earliest 14:00 Latest 21:00 Check out Time: By 11:00 2. 3 days advance notice for free cancellation 3. Pets are not allowed. 4. We can help organize tours and transportation to your next destination.  View House Rules  ",unknown,,Hostel,,Cameronian Inn,US$5.79,,No Rating,212,,"Free Parking, Free WiFi, Book Exchange, Breakfast Not Included, Common Room, Hair Dryers For Hire, Hot Showers, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Towels for hire, Cafe",,
4.0,Kota Kinabalu,4.0,Malaysia,"Tropicana Lodge in the town centre of Kota Kinabalu with a wonderful wildlife observation balcony. It retains a unique family atmosphere and is truly a home away from home. Our dormitory rooms, as well as private rooms, are spacious, clean, cozy and comfortable. You will enjoy breakfast at our mini garden balcony listening to tropical birds sing. Also witness the light of fire-flies at night. We also offer a one stop travel service, giving you valuable tips for your adventure thoughout the land and sea of Borneo. A well trained, friendly and helpful staff is ready to provide any assistance you need. Check us out, we promise the beginning of a wondrous, beautiful adventure.  View House Rules  ",unknown,4.0,Hostel,8.0,Tropicana Lodge,US$4.63,5.7,Rating,63,8.0,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Adaptors, Air Conditioning, Book Exchange, Cable TV, Ceiling Fan, Common Room, Hot Showers, Outdoor Terrace, Parking, Safe Deposit Box, Self-Catering Facilities, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Housekeeping, Internet Access, Luggage Storage, Postal Service, Tours/Travel Desk, Bar, Cafe, Tea & Coffee Making Facilities, Board Games, DVD's",6.0,6.0
,Kota Kinabalu,,Malaysia,"B-Bang Hostel is consists of 10 Pink Lady Capsules and 40 Mix Capsules as well as family room with 2 unit’s capsules for each room that suitable for family and/or friends of four (4) persons. Other services we provide such as Massage, Spa, Cafe and recreation area with pool table and TV entertainment for relaxation. Our goal is to provide the best service & environment with a lower cost and giving you a cutting-edge capsule, as well as a new experience in living daylight. Most of our guest came from walk of lifestyle consist of divers, backpackers, holiday makers, business person with simple accommodation, research, international student and many more..... **Things to note & policies** Free cancellation: 3 days before the arrival Check in from: 12:00 Check out before: 12:00 Reception time: 24 hours Payment on arrival: cash and credit card Tax not included Breakfast included No curfew No smoking in the whole hostel Child friendly Pets are not allowed  View House Rules  ",unknown,,Hostel,,B-Bang Hostel,US$8.63,,No Rating,0,,"Free Breakfast, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Hair Dryers, Hot Showers, Reading Light, 24 Hour Reception, Express check-in / out, Internet Access, Luggage Storage, Meals Available, Restaurant, Tea & Coffee Making Facilities, Board Games, Games Room, PlayStation, Wi-Fi",,
,Langkawi,,Malaysia,"It is a cozy studio with A peaceful, natural Atmosphere and tucked off the main road to get away and relax in peace and quiet. This tiny studio located in a unique environment. The area is very quiet with a lot of plants around. Room equipped with wall fan, portable AC, basic room, mini bar and private toilet( western toilet). Walking around to main beach ( Cenang beach ) and also to food shop, nightlife, and 24-hour store. We also provide all type watersport, island tour, mangrove, bar tour, car, and scooter. Terms & Conditions Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 19:00 . Check out from 10:00 to 11:00 . Reception working hours: 10:00 to 19:00 . Taxes included. Breakfast not included. No curfew. Non smoking except specific areas. Cash only.  View House Rules  ",unknown,,Bed and Breakfast,,Box of Blissful,US$8.69,,No Rating,0,,"Free City Maps, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Fridge/Freezer, Hair Dryers, Iron / Ironing Board, Parking, Tours/Travel Desk, Tea & Coffee Making Facilities, Wi-Fi",,
