atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
7.7,Yangon,8.2,Myanmar,"Located in the center of China Town, the heart of Yangon, Little Monkey Hostel is closed to all signature of this attractive city. 'Good Location ' , walking distance to Shwe Dagaon Pagoda, Sule Pagoda, City Circular main train station, Bogyoke Market and Night Market. * Dream never end : High quality 8 inches height  good quality mattresses and pillows * Pod type and bunk bed type for mixed and female dorm * Free Flow Breakfast * Hygiene and cleanness is our value * Free 24 hr Wifi internet * Free Award Winning Movie * Free Yangon Map * Smoking Detected Room * Private 4 bed and 6 bed Room * Choose to stay in ; Mixed dorm, Female dorms, Double bed capsule dorm and Private double bed room * Friendly staffs assist with free local trip advisory  View House Rules  ",unknown,7.4,Hostel,9.1,Little Monkey Hostel,US$8.00,8.4,Fabulous,541,8.8,"Free Breakfast, Free City Maps, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Cable TV, Card Phones, Hair Dryers For Hire, Hot Showers, Key Card Access, Parking, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Housekeeping, Late check-out, Reception (limited hours), Cafe, Games Room",9.1,8.7
,Yangon,,Myanmar,"Agga at 9mile Hotel is a boutique hotel which was created for budget travelers, leisure and family travelers wishing to get the best out of their journey in Myanmar through a deal that ensures both comfort and inexpensive rates. At the hotel, all rooms are equipped with a desk, a flat-screen TV and a private bathroom. The units come with a seating area. Breakfast is available every morning and includes continental, buffet and Asian options. The reception at Agga at 9mile Hotel can provide tips on the area. Central Bank of Myanmar is 10 km from the accommodation, while UNICEF Myanmar is 12 km away. The nearest airport is Yangon International, 3.1 km from Agga at 9mile Hotel, and the property offers a paid airport shuttle service. Furthermore, our front desk people will help your itinerary to be smoother. Things to note & policies Free Cancellation: 1 Days before the arrival,otherwise being charged by the property Check in from: 2:00p.m Check out Before: 12:00 p.m at noon Payment on Arrival: Cash and Credit Card Tax Included Breakfast Included No Curfew NO smoking in Room, but have smoking area No Age Restriction Reception working period/time: 24 hours  View House Rules  ",unknown,,Hotel,,Agga 9Mile Hotel,US$16.25,,No Rating,0,,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Hair Dryers, Hot Showers, Key Card Access, 24 Hour Reception, 24 Hour Security, Airport Transfers, Housekeeping, Late check-out, Luggage Storage, Room Service  (24 hours), Tours/Travel Desk, Towels for hire, Wake-up calls, Minibar, Restaurant, Wi-Fi",,
,Yangon,,Myanmar,"Hotel 63 is situated in the business district of yangon , to the east side of downtown. The location is within walking distance to botahtaung  pagoda, Botahtaung Jetty Bandoola Bridge and Ocean Supermarket. The hotel is featured with Sapel Spa (the best spa in yangon categorized by tripadvisor), Retro Bar (An expat hangout spot with retro music ranging cocktails from 1 USD to 6 USD), Readers lounge library (coffee shop featuring mini reading lounge and meeting facility). The hotel had it’s launch in the year of 2016 and it consists of over 100 rooms and are categorized as Junior Suite (Including Kitchen), Deluxe (River View), Deluxe(City View), Superior (City View) and Superior Japanese  Style.For guests' convenience, the hotel provides a 24-hour front desk, 24-hour room service and housekeeping. Guests can enjoy Chinese and Burmese favourites at Hotel 63 Restaurant.  View House Rules  ",unknown,,Hotel,,Hotel 63,US$17.50,,No Rating,8,,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Adaptors, Air Conditioning, Cable TV, Card Phones, Elevator, Fridge/Freezer, Hair Dryers, Key Card Access, Meeting Rooms, Parking, Reading Light, Safe Deposit Box, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Currency Exchange, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Bar, Café, Minibar, Restaurant, Tea & Coffee Making Facilities, DVD's, Wi-Fi",,
,Yangon,,Myanmar,"Hotel YNO provides peaceful and comfortable feeling. Our rooms can give convenience and satisfaction reasonable room rate for all of our guests. We go the extra mile in making you feel at home, whether you are here for business or pleasure. Prospective Hotel YNO Guest can choose from (36) guest rooms of varying dimensions. Our deluxe  rooms are approximately about 190 square feet and all are equipped with in room mini-bar,safe box, flat screen TV with cable, free wifi and full amenities.  Deluxe rooms are with windows , you can have a quiet and peaceful time for you to relax and enjoy your stay. Our superior double  rooms are approximately about 165 square feet and all are equipped with in room mini-bar,safe box, flat screen TV with cable, free wifi and full amenities.  Superior Double rooms are with windows , you can have a quiet and peaceful time for you to relax and enjoy your stay. ***Property Policies & Conditions: 1. Check-in time: from 12:00 2. Check-out time: by 12:00 3. Reception hour: from 24Hrs 4. Payment: cash or credit cards 5. Cancellation policy: You can cancel the booking free of charge 3 day before you arrival. In the event of late cancellation/no Show,you will be charged first night by accommodation . 6. Children are welcome 7. No smoking in the room, but have smoking area. 8. Pets are not allowed 9. Breakfast included 10. Taxes included 11.No curfew  View House Rules  ",unknown,,Hotel,,Hotel YNO,US$12.50,,No Rating,0,,"Free Breakfast, Free Internet Access, Free WiFi, Air Conditioning, Cable TV, Dryer, 24 Hour Reception, Room Service  (24 hours), Shuttle Bus, Restaurant, Wi-Fi",,
,Yangon,,Myanmar,"Mingalar par. Warmly welcome to 21 Hostel Yangon. We are ecogreen, economic price and the most minimum power consumption for green environment while we are achieving the maximum facilities and the best services for our customer. We have single pods for solo traveler, super single pods for XXL size traveler, queen size pods for couple travelers, king size pods for families 2 adult+1 child. All of our pods are non-smoking, furnished with 8” high spring mattress with good linen and facilities to provide the maximum security and privacy during your stay. We have smoking corner for those who need. There are plenty of separated bath rooms with hot & cold shower and toilets for your convenient. Every floor has large sitting area for greeting and chatting with new friends from around the world. You will have a chance to have a friendly conversation with local people at our cafe during business hour.  View House Rules  ",unknown,,Hostel,,21 Hostel,US$9.00,,No Rating,129,,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Card Phones, Common Room, Hair Dryers For Hire, Hot Showers, Reading Light, Security Lockers, 24 Hour Security, Airport Transfers, ATM, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Cafe, Meals Available",,
,Yangon,,Myanmar,"All rooms have a seating area, a minibar and a safety box. Some rooms have a private bathroom. Guests can enjoy local dishes served at the on-site restaurant. We offer quiet, comfortable, affordable accommodation which will surprise you with its accessible location. We serve continental breakfasts on request and can guarantee warm cosy rooms in winter and cool air-conditioned rooms in summer. We provide Free airport pick up and return shuttle for international flight. We provide Down town shuttle(after breakfast) and car rental service to arrange for our guests to tour around the town. Whether you're going to Myanmar for business or pleasure, we offer motel accommodation that delivers great value for money. ***Property Policies & Conditions: 1. Check-in time: from 14:00 2. Check-out time: by 12:00 3. Reception hour: from 24 Hrs 4. Payment: cash 5. Cancellation policy: You can cancel the booking free of charge 3 day before you arrival. In the event of late cancellation/no Show,you will be charged first night by accommodation . 6. Children are welcome 7. No smoking 8. Pets are not allowed 9. Breakfast included 10. Taxes included 11.No curfew  View House Rules  ",unknown,,Bed and Breakfast,,Mother's Home,US$16.67,,No Rating,0,,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Cable TV, Fridge/Freezer, Hair Dryers, Hot Showers, Parking, Security Lockers, Airport Transfers, Housekeeping, Internet Access, Tea & Coffee Making Facilities, Wi-Fi",,
,Yangon,,Myanmar,"The Hotel Broadway Yangon, newly built in 2017, is an affordable accommodation to open in Yangon. Our friendly & courteous staff will surely make your stay at the Hotel Broadway a memorable one. We offer affordable and cozy rooms, each adored with modern amenities. We provide our room with working table, laptop compatible safes, spacious wardrobe. Our business center is located in the lobby area for your access. Also convertible conference room equipped with audio, visual equipment is here for you to use for small group meeting or small seminar. We have spacious free parking and tour bus friendly compound. We do provide free breakfast from 7:00 Am to 10:00 Am. 1. Cancellation policy: 2 days before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 11:00 am. 4. Payment upon arrival by cash. Credit card is accepted. 5. Reception working hours: 24 hours. 6. Age Restriction: Guests should be 18+. 7. Taxes included. 8. Breakfast included. 9. No pets.  View House Rules  ",unknown,,Hotel,,Hotel Broadway Yangon,US$16.50,,No Rating,0,,"Free Breakfast, Free Parking, Free WiFi, Towels Included, Air Conditioning, Cable TV, Card Phones, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Meeting Rooms, Reading Light, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Business Centre, Housekeeping, Internet Access, Late check-out, Luggage Storage, Reception (limited hours), Wake-up calls, Bar, Meals Available, Minibar, Tea & Coffee Making Facilities, Wi-Fi",,
,Yangon,,Myanmar,"Stay in the heart of Yangon. Conveniently located in Yangon, Yangon Urban Hotel is 500 m from the Sule Pagoda and offers air-conditioned rooms with free WiFi access. All rooms at this hotel provide guests with a mini-bar, an electric kettle, and a seating area. There is also a flat-screen satellite TV and the private bathroom comes with a hairdryer and shower facilities. Offering room service, the staff at Yangon Urban Hotel's 24-hour front desk can assist guests with currency exchange, car rental arrangements and an airport shuttle. For added comfort, laundry services and free daily housekeeping are provided. Drivers enjoy free public parking. This hotel is 2.1 mi from the Shwedagon Pagoda and 500 m from Yangon City Hall. Yangon International Airport is 9.3 mi away. Downtown Yangon is a great choice for travelers interested in street food, city walks, and street markets. If you have any inquiries, just simply come to our reception, our staff will be happy to help you. ***Property Policies & Conditions: 1. Check-in time: from 14:00 2. Check-out time: by 12:00 3. Reception hour: 24Hrs 4. Payment: cash and credit card 5. Cancellation Period: 1 day before your arrival. In the event of a late cancellation/no show, you will be charged the first night by accommodation. 6. Children are welcome 7. No smoking in the room, but have a smoking area 8. Pets are not allowed 9. Breakfast included 10. Taxes included 11.No curfew  View House Rules  ",unknown,,Hotel,,Yangon Urban Hotel,US$12.00,,No Rating,0,,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Adaptors, Air Conditioning, Cable TV, Ceiling Fan, Dry Cleaning, Dryer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Key Card Access, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Airport Transfers, Currency Exchange, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Room Service  (24 hours), Room service (limited hours), Wake-up calls, Café, Meals Available, Mini-Supermarket, Minibar, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",,
,Yangon,,Myanmar,"SERENE Stays is located 5.3 km from the famous Shwe Dagon Pagoda. Each room of this hotel comes with air-conditioned, a flat-screen TV, a fridge, a hairdryer, a desk and complimentary water bottle, coffee and tea.  Among the facilities at this property are a 24-hour front desk, shared lounge, room service, free luggage storage, the property offer a paid airport shuttle service, along with free WiFi throughout the property. The hotel also has meeting room facilities, the sun terrace and views of the city. Free parking is possible at the nearby location. SERENE Stays hotel offers a continental or buffet breakfast. Important Information: 24 Hours Reception Checkin: from 14:00 to 23:00 Checkout: from 6:00 to 12:00 Payment upon arrival by cash and credit cards Cancellation Policy: 2 days before arrival day. In case of a late cancellation or No Show, you will be charged the first night of your stay. Tax included Breakfast included Child Friendly No curfew Smoking not allowed in room; but we have certain smoking area  View House Rules  ",unknown,,Hotel,,SERENE Stays,US$17.50,9.7,Superb,1,,"Free Breakfast, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Elevator, Fridge/Freezer, Hair Dryers, Meeting Rooms, Parking, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, Fax Service, Housekeeping, Luggage Storage, Room Service  (24 hours), Wake-up calls, Bar, Café, Minibar, Tea & Coffee Making Facilities, Wi-Fi",,
,Yangon,,Myanmar,"Spacious, comfortable, affordable and fully equipped serviced apartment hidden in the heart of Yangon just minutes away from Myanmar Plaza Center, the famous Inya Lake. The residence is situated on a street dotted with restaurants from cuisines from around the world: Korean, Japanese, Thai, and our very own fusion rooftop restaurant. The tranquil atmosphere, prime location, and our hospitable services make Myanandar Residence the oasis for young professionals and expatriates to seek in the chaos of Yangon.  We provide a fully-furniture room equipped with all the products to services to make your stay perfect: free Wifi, utilities and cable; a Samsung HD Smart TV; refrigerator, microwave, and electric stove; in-house laundry room; business center with meeting rooms; and a rooftop restaurant with unparalleled sceneries. Myanandar Residence & Hotel is happy to welcome you, if you have any inquires, just simply come to our reception, our staff will be happy to help you. 1. Check-in time: from 14:00 2. Check-out time: by 12:00 3. Reception hour: 24Hrs 4. Payment: cash and credit card 5. Cancellation Period: 3 days before your arrival. In the event of a late cancellation/no show, you will be charged the first night by accommodation. 6. Children are welcome 7. No smoking in the room, but have a smoking area 8. Pets are not allowed 9. Breakfast included 10. Taxes included 11.No curfew  View House Rules  ",unknown,,Hotel,,Myanandar Residence & Hotel,US$20.00,9.1,Superb,1,,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Elevator, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Iron / Ironing Board, Key Card Access, Meeting Rooms, Parking, Reading Light, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Business Centre, Currency Exchange, Housekeeping, Internet Access, Reception (limited hours), Room service (limited hours), Bar, Café, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",,
