atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
7.8,Cebu,9.3,Philippines,"The Pocket Hotel is strategically located just 5-10 minutes away from the airport. So as soon as you land, you don't need to worry about waiting for hours just before you get to settle in. The Pocket Hotel definitely know how it feels to be able to relax immediately once you arrive and just feel that you are definitely on vacation. All guest accommodations feature thoughtful amenities to ensure an exceptional sense of comfort. Guests can enjoy on-site features like free Wi-Fi in all rooms, cafe, 24-hour front desk. The Pocket Hotel also offer Hearty Breakfast and a cup of coffee to brighten up your morning. Terms and conditions: Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Standard check-in time is 14:00. Early check-ins will be charged. Check out before 12:00 . 24-hour front desk. Payment upon arrival by cash. Taxes included. Breakfast included. No curfew. We do not accept customers younger than 15 years of age in dorm room. Must be accompanied by guardian or parent. Child friendly. Kids will be charged as adult rates. Non-smoking room but with designated smoking area. Pets are not allowed.  View House Rules  ",7.7,8.9,Hostel,8.5,The Pocket Hostel,US$11.37,9.0,Superb,11,9.8,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Common Room, Hot Showers, Iron / Ironing Board, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Reception, Housekeeping, Internet Access, Late check-out, Towels for hire, Wake-up calls, Tea & Coffee Making Facilities, Wi-Fi",9.5,9.1
6.6,Cebu,8.6,Philippines,"BB's Traveller Inn is a cozy hostel in town. We're conveniently located just 3 minute walking distance to the beach where you can find the famous Sardine Run and swim with turtles. We also have our restaurant and bar ready to serve you food and drinks. The rooms have balcony and sitting area. We also organize the ultimate Canyoneering trip with our crazy fun professional guides. Island Hopping and Oslob Whale Shark trips are organized here as well. Come stay with us for a fun and memorable stay! Terms and conditions: Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 13:00 to 23:00 . Check out before 12:00 . Reception hours: 07:00-23:00 Payment upon arrival by cash. Taxes included. Breakfast included. No curfew. We are child friendly but we do not accept customers younger than 18 years of age in dorm rooms. Non smoking but have designated area for smoking.  View House Rules  ",72.6,7.6,Hostel,9.2,Moalboal B-B's Traveler Inn,US$10.88,8.3,Fabulous,10,8.4,"Free Breakfast, Free WiFi, Towels Included, Adaptors, Air Conditioning, BBQ, Bicycle Parking, Parking, 24 Hour Reception, Housekeeping, Bar, Meals Available, Restaurant",9.6,7.8
5.0,Cebu,8.0,Philippines,"NEWLY RENOVATED! It's a Treat on a Budget. Fresh, clean and inexpensive is Tr3ats Guest House Cebu guest experience commitment. Tr3ats Guest House Cebu is for young travelers, backpackers, and business professionals who are in search of an affordable alternative to a hotel. Budget constraints has always been a burden to visitors and our place is a great answer to that. We would like our guests to have a great experience with us at a minimal expense. Our prices are low and our service, always served with a smile. Our round-the-clock receptionists are always ready to assist you, may it be a new towel, or a fresh linen. Other amenities include a rooftop terrace, dry cleaning, and a 24-hour front desk. Fuente Osmena Circle and Magellan's Cross are notable landmarks, and the area's natural beauty can be seen at Mountain View Nature's Park and Tops Lookout. Cebu Ocean Park and Cebu Botanical Garden are also worth visiting.Visit us and have a great experience, with a smile. Terms and conditions: Cancellation policy: 7 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. oIf a booking is cancelled less than 7 days before arrival then a charge equal to the first night of the stay will be made. oIf a booking is cancelled less than 3 days before arrival then a charge equal to the full booking amount will be made. oIn the event of a no show or booking reduction (after arrival date) the full cost of the booking is charged. Check in from 14:00 to 23:30. Reception hours: 24 Hours Payment upon arrival by cash. Taxes not included - 12% VAT Breakfast not included. Breakfast fee: PHP 99 per meal. No curfew. Child friendly, But we do not allow customers under 18 years old in dorm room. Non-smoking room but with designated open smoking area within the premise. Pets are not allowed.  View House Rules  ",3.9,8.0,Hostel,7.0,Tr3ats Guest House Cebu,US$7.91,7.3,Very Good,2,7.0,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Breakfast Not Included, Cable TV, Common Room, Parking, Security Lockers, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Housekeeping, Internet Access, Luggage Storage, Tours/Travel Desk, Cafe, Meals Available, Vending Machines, Wi-Fi",8.0,8.0
8.0,Cebu,9.3,Philippines,"1521 Hostel offers uniquely artistic, clean, functional and comfortable rooms that will suit every traveler's needs for an unforgettable adventure in undoubtedly The Philippine’s leading tourist destination- Cebu. Our family and dormitory rooms include comfortable mattress, full linen bed set up, steel locker storage, bathroom equipped with rain shower, complimentary basic bathroom amenities and hot & cold heater. With having the best of the basics,1521 Hostel also offers complimentary Wi-Fi access, an all day dining cafe, an alfresco artsy common working space at the rooftop and unique local inspired travel and tours for the adventure seekers.  View House Rules  ",12.6,8.7,Hostel,8.7,1521 Hostel Mactan Cebu,US$9.65,8.9,Fabulous,182,8.7,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Card Phones, Common Room, Hair Dryers For Hire, Hot Showers, Microwave, Outdoor Terrace, Parking, Reading Light, Security Lockers, Utensils, 24 Hour Reception, 24 Hour Security, Housekeeping, Internet Access, Luggage Storage, Tours/Travel Desk, Wake-up calls, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Foosball, Wi-Fi",10.0,8.7
,Boracay Island,,Philippines,"Welcome to Boutique Hotel Villa Sunset Boracay. Villa Sunset is located in the heart of Boracay´s 'White Beach', just about one minute walk to the beach. Villa Sunset offers a tranquil and intimate atmosphere. It is near to the beach but quiet, secure and not windy. Your Leisure Apartment is elegantly decorated and fully furnished with your own terrace overlooking the pool. The apartment have cable TV, telephone, shower, air conditioning, and a fully stocked fridge. Your nice * Nicely furnished leisure Apartment in the Boutique Hotel Villa Sunset * With your own Terrace/ Balcony * Wind protected, no loud music from nearby Beach * Pool and Pool Bar * Free Towels for the Beach * Lunch and Dinner available at the dining area above pool Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 22:00 . Check out from 04:00 to 12:00. Reception Desk: 06:00-22:00. Payment upon arrival by cash, credit cards. Taxes included in the room rate. No curfew. Pet friendly(Pets are allowed in the room) Child friendly. If more than one children or children is above 7 years old, the price for the additional children is 560 Pesos per night.(No additional children in Superior Double Bed Private Ensuite is allowed) No smoking in Room, but have a smoking area. Breakfast not included  View House Rules  ",unknown,,Hotel,,Hotel Villa Sunset Boracay,US$28.67,,No Rating,0,,"Free WiFi, Linen Included, Adaptors, Air Conditioning, Book Exchange, Breakfast Not Included, Cable TV, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Safe Deposit Box, Swimming Pool, 24 Hour Security, Airport Transfers, Currency Exchange, Fax Service, Housekeeping, Luggage Storage, Reception (limited hours), Room service (limited hours), Tours/Travel Desk, Wake-up calls, Bar, Meals Available, Minibar, Wi-Fi",,
,Boracay Island,,Philippines,"Dormitels Boracay is an affordable native style hotel strategically located in Station 1. Dormitels features 48 well-appointed private guest rooms. The fan ventilated and air-conditioned rooms are equipped with a flat-screen cable television and an en suite bathroom with shower facilities. It operates a 24-hour front desk while massage and laundry services are also available. This is is an ideal place of stay for travelers who seek charming, relaxing, and inexpensive accommodations in Station 1.  View House Rules  ",unknown,,Bed and Breakfast,,Dormitels Boracay,US$8.01,,No Rating,2,,"Towels Included, Breakfast Not Included, Cable TV, Ceiling Fan, 24 Hour Reception, Housekeeping",,
,Coron,,Philippines,"The Flat for Divers and Vegetarians  is a great budget hostel designed for backpackers who want the cheapest place in all of Coron. Simple and basic but with a great atmosphere and part of a chain of hostels in Coron.  Every bed has its own fan which will keep you comfortable even in the hottest night. The Flat for Divers and Vegetarians  have private diving boat is listed as the best dive in all the Philippines. The vegetarian food is great and super cheap vegan Gado Gado (peanut sauce) and awesome veggie burgers starting at 99 pesos (meat eaters must try this burger it will blow you away and that’s a promise).  The Flat for Divers and Vegetarians  has an excellent  party atmosphere in the evenings with guitars and a beer pong bar (No outside alcohol allowed). Come enjoy the Best Vibes in the Philippines. Coron Public Market is less than 1 km from the hostel, while Mount Tapyas is 1.7 km from The Flat for Divers and Vegetarians.  Coron Town Proper is a great choice for travellers interested in tours, boating and friendly locals. Terms and conditions: Cancellation policy: 7 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 07:00 to 23:00 . Check out from 05:00 to 10:00 . Reception is from 07:00 to 23:00. Payment upon arrival by cash. Taxes included. Breakfast not included. No curfew. We do not accept customers younger than 18 years of age. Non-smoking room but with designated smoking area within the premise. Pets are not allowed.  View House Rules  ",unknown,,Hostel,,The Flat for Divers and Vegetarians,US$6.33,,No Rating,0,,"Free Internet Access, Free Parking, Free WiFi, Adaptors, Breakfast Not Included, Cable TV, Fridge/Freezer, Meeting Rooms, Microwave, Security Lockers, Utensils, Airport Transfers, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Bar, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Board Games, Nightclub, Wii",,
7.6,Coron,7.2,Philippines,"**Please Read Before Booking** WOW new as of January 2020,  an awesome 3 day and 2 night minimum adventure of snorkeling with the Dugongs and Coral reefs, fish, turtles, and playing volleyball on the beach, on our very own private Dugong Island. This expedition is organized by Green Gecko Eco Tours and offers you something totally different. This 3 day and 2 night adventure expedition  gives you an amazingly beautiful white sandy beach island , located just 40 min north of Coron. This adventure is with out electricity or fresh water so everything must be planned in advance. Our price is for camping on the private beach and includes the tents. All meals must be pre-ordered (no exceptions or cooking yourself options allowed) All meals and drinks must be transported to Dugong Island. All meals are 200 pesos or less. A full menu will be sent to you after your booking and most meals are vegetarian or fish. ***Property Policies & Conditions: 1. Cancellation policy: 2 days before arrival. 2. Check in from 7:00 to 23:00. 3. Check out before 12:00 noon. 4. Payment upon arrival by cash. 5. Reception working hours: 8:00-23:00. 6. No children. 7. Taxes included. 8. Breakfast not included. 9. No pets. 10. Curfew: Guests should be quiet after 24:00.  View House Rules  ",unknown,7.2,Hostel,7.2,The Divers Den (DD) Backpackers Hostel,US$7.71,7.3,Very Good,13,6.8,"Free Internet Access, Free WiFi, Air Conditioning, BBQ, Breakfast Not Included, Ceiling Fan, Common Room, Cooker, Fridge/Freezer, Safe Deposit Box, Security Lockers, Towels Not Included, Utensils, 24 Hour Security, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Bar, Meals Available, Tea & Coffee Making Facilities, Wi-Fi",8.0,7.2
,El Nido,,Philippines,"Vue grand hilltop is an intimate campsite that provide unique natural significance and appeals to discerning global travellers seeking lifestyle and nature-based experiences. It also offering the most spectacular view of El nido's sunrise,tree-shaded resting place with rustic bar and restaurant. It is perfect to those who one would only find peace and quite here, among its daily warming sunrises, the cacophony of birds,refreshing mountain air mixed with the ocean breeze, and the beautiful 360degrees view both sea and mountain. Travelers also will learn about cuyonon culture, customs and cuisines as they experience living in one of the world best islands. over all staying in this campsite promising to be one of your most memorable vacation, while immersing in local culture, nature and simple ways of living and reminding yourself this is what the number one island in the world can offer and remembering what it was like have those childlike expierience. Free wifi features the whole property. Our friendly staff is always there to help you. For any travel questions, please feel free to let us know. We will give you suggestions accordingly. ***Property Policies & Conditions: 1. Cancellation policy: 3 days before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 11:00 noon. 4. Payment upon arrival by cash only. 5. Reception working hours: 24 hours. 6. No age restriction. 7. Taxes included. 8. Breakfast included from 7am-9:30am. 9. No pets. 10. Curfew: Guests should be quiet after 24:00.  View House Rules  ",unknown,,Bed and Breakfast,,Vue Grand Hilltop Sibaltan,US$6.60,,No Rating,0,,"Free Parking, Free WiFi, Towels Included, Book Exchange, Breakfast Not Included, Card Phones, Fridge/Freezer, Parking, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Internet Access, Late check-out, Tours/Travel Desk, Bar, Meals Available, Restaurant, Tea & Coffee Making Facilities",,
,Manila,,Philippines,"Situated near the popular hang out spots of Quezon City, Red Planet Quezon Timog offers 24-hour security and front desk services for your stay. Its rooms come furnished with air conditioning, flat screen TV, ceiling fan, hair dryer and a safety deposit box. They also come with a private bathroom, complete with a power shower, toilet with bidet, 3-in-1 shower gel and fresh towels. The hotel is a 10-minute ride to Trinoma and SM North EDSA and is within walking distance from the entertainment hubs of Tomas Morato and Timog Avenue. Terms and conditions: Cancellation policy: 3 days cancellation. In case of a late cancellation or No Show, you will be charge total balance of your stay. Balance will be charge before arrival. Check in from 14:00 to 23:00 . Check out before 12:00 . Reception hours: 24 hours Payment upon arrival by cash, credit cards, debit cards. Taxes included. Breakfast not included. No curfew. Child friendly. 0 - 11 years old can use the the existing bed. Pet are not allowed. Non smoking but has designated smoking area.  View House Rules  ",7.8,,Hotel,,Red Planet Quezon Timog,US$16.31,,No Rating,0,,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Cable TV, Ceiling Fan, Elevator, Hair Dryers, Hot Showers, Key Card Access, Parking, Safe Deposit Box, Wheelchair Friendly, 24 Hour Reception, Housekeeping, Internet Access, Internet café, Luggage Storage, Restaurant, Wi-Fi",,
