atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
6.2,Singapore,7.1,Singapore,"Quarters, really is about fun that’s catered – something for everyone! So if you’re looking for a Big Night Out – a vibrant night scene ‘cross the bridge; a Lazy Afternoon – our lush cafe lounge on the ground floor; a Cultural Tour – the river cruise round the back alley. Quarters Hostel offers you the latest capsule beds in Boat Quay. We take pride in putting together the best-in-class for Quarters - plush pillows, mattresses, and duvet blankets; personal lockers and international power points; full air-condition and free in-room Wi-Fi; and clean and snug shared bathrooms free soap and complete with laundry facilities. And our cozy lounge with free breakfast, kitchenette and Mac desktop So, we’ve done the basics of comfy beds, friendly staffs, useful facilities, and an awesome location for Quarters…now all that’s lacking, really, is you! ***Things to note***: 1. Our check in time is 3pm onwards and check out time is 12 noon. 2. All bookings are non-refundable. 3. Bookings can only be secured by valid credit cards that has the guest’s name on it. - - Please reply to our email when we send out request for new card information or permission to charge. If there are no replies received within 48 hours, the bookings will be cancelled without refund. 4. Age restriction: Please note that the hostel have a no-children policy i.e. only guests above 18 years old are eligible to stay. 5. Visitors are only permitted at the reception area. 6. Booking request for upper and/or lower beds is subject to availability of beds at the point of the request. 7. Pictures shown on the website are for illustration purposes only. 8.We do not have private rooms but you will be sharing the dormitory with other travellers. 9. All guests must present a valid passport/form of identification upon check-in. The management reserves the right to refuse admittance of any guests.  View House Rules  ",unknown,6.4,Hostel,9.1,Quarters Capsule Hostel,US$14.80,7.5,Very Good,441,9.0,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Air Conditioning, Common Room, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Key Card Access, Microwave, Reading Light, Security Lockers, Utensils, Washing Machine, 24 Hour Security, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Reception (limited hours), Towels for hire, Board Games, Wi-Fi",7.8,7.0
4.0,Singapore,3.0,Singapore,"Atlantis Pods @ Bugis is conveniently situated beside the food street of Liang Seah Street and Purvis Street. With Bugis MRT station within a 2 minutes walk away, guests are connected around Singapore via the East West and Downtown line. We are within walking distance of 2 major shopping malls, Bugis Junction and Bugis+. We are within a 2km radius of all the major attractions such as, The Singapore Flyer, Marina Bay Sands, Garden By The Bay, Clarke Quay, Boat Quay, Chinatown and Orchard Road. Each capsule comes with a personal reading light, power point, hanger and fold-down table. Guests have access to shared bathroom. Towels and toiletries are available for free. Ironing facilities and hairdryer for available for free upon request. Laundry facilities are available at a small fee. Free breakfast is provided every morning from 07.00 am to 09.30 am. ***Property Policies & Conditions: 1. Free cancellation is available up to 7 days prior to check in date. In the event of late cancellation or no show, a penalty equivalent to one night's stay will be charged. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00 noon. 4. Payment upon arrival by cash and Card. 5. Reception working hours 24 hrs. 6. Food should only be consumed in the common area to avoid smell and spillage in the sleeping quarters. 7. Volume should be kept at minimum level to avoid disturbance to other guests.  View House Rules  ",unknown,7.0,Hostel,10.0,Atlantis Pods @ Bugis,US$26.78,5.9,Rating,21,5.0,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Card Phones, Cooker, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Parking, Reading Light, Safe Deposit Box, Security Lockers, Washing Machine, 24 Hour Reception, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Cafe, Tea & Coffee Making Facilities, Vending Machines",6.0,6.0
6.2,Singapore,7.1,Singapore,"Nestled in a quiet corner of a neighbourhood, surrounding by housing development board (HDB) flat, Golden Hostel offers guests an authentic experience of Singapore life. Surrounded by small gardens, local eateries, 24-hour convenience store, markets, even a hairdresser and a neighbourhood massage parlour, guests will mingle with locals going about their daily life. Golden Hostel is 30 minutes from the airport, 10 minutes from Chinatown and the Central Business District (CBD), Sentosa, Universal Studio and Mount Faber (Natural Reserve). It is 20 minutes from the Merlion, Garden by the Bay, Marina Bay Sands, Casino, Clarke Quay and Boat Quay. It is 25 minutes from Little India, Kampong Glam, Bugis, Orchard Road. It is also 30 minutes to a range of nature parks and the UNESCO World Heritage Site, Botanic Gardens. Our hostel is a hidden sanctuary in the heart of the action. Sandwiched between a traditional snack making shop and a modern café and small baking school, our hostel is the epitome of how Singapore is the perfect blend of East and West, old and new. Guests will be able interact with friends from all over the world. Short stay or long term are all welcome! come stay with us to discover more about this sunny green city! ***Property Policies & Conditions: 1. Cancellation policy: Non-refundable 2. Check in from 14:00 to 21:00. Late check in is also available by prior notification. 3. Check out before 11:00 am. 4. Payment upon arrival by cash only. 5. No Smoking in the whole hostel. 6. Reception working hours 09:00-18:00.  View House Rules  ",unknown,6.2,Hostel,8.2,Golden Hostel,US$21.15,7.4,Very Good,69,8.4,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Air Conditioning, Bicycle Parking, Ceiling Fan, Fridge/Freezer, Hair Dryers For Hire, Hot Showers, Key Card Access, Parking, Security Lockers, Utensils, Washing Machine, 24 Hour Security, ATM, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Towels for hire, Cafe, Mini-Supermarket, Tea & Coffee Making Facilities, Vending Machines, Wi-Fi",8.4,7.6
5.8,Singapore,7.0,Singapore,"Blue Jazz provides air-conditioned dormitories with a personal reading light and power socket. Shared bathrooms include hot/cold shower facilities. The front desk staff can assist guests with luggage storage, attraction ticketing and laundry services. Lavender is a great choice for travelers interested in universal studios, convenient public transportation and city trips.  View House Rules  ",unknown,6.8,Hostel,7.0,Blue Jazz Hostel,US$10.08,7.1,Very Good,19,8.4,"Free City Maps, Free WiFi, Linen Included, Air Conditioning, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Microwave, Security Lockers, 24 Hour Security, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Reception (limited hours), Towels for hire, Wi-Fi",6.4,8.2
6.3,Singapore,6.6,Singapore,"Singapore OSS Backpackers Hostel Pte Ltd is a hostel with a clean, friendly environment and good value accommodation. We are in an accessible location easy to go places in Singapore, The reception is 24 hrs open to ensure that every guest has a wonderful stay with us and can help you by giving tips about exciting places. At the hostel, all rooms include a shared bathroom. Daily breakfast is provided, faster wi-fi in every corner of the hostel, kitchen area to prepare your food and fridge to store, desktop computer and coin-operated laundry and dryer machines as we take pride in putting all together to provide our guests the and true value of hospitality. Terms & Conditions Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 22:00 . Check out before 12:00 . 24 hours reception. Taxes included. Breakfast included. No curfew. Child under 16 can be accepted only if staying with the guardian in private rooms. Travelling with children please call or email us for more info. Non smoking. Cash payments only. SGD$20.00 Key Deposit upon check-in, refundable upon check-out.  View House Rules  ",unknown,6.8,Hostel,7.4,Singapore OSS Backpackers Hostel Pte Ltd,US$14.10,7.1,Very Good,24,7.5,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Common Room, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Reading Light, Security Lockers, Towels Not Included, Utensils, Washing Machine, 24 Hour Reception, Internet Access, Shuttle Bus, Towels for hire, Wi-Fi",7.9,7.0
6.7,Singapore,6.5,Singapore,"If what you’re looking for is a conveniently located hostel in Singapore, look no further than S Inn Chinatown. Occupying 2 floors as a backpackers’ hostel which is located in the heart of Chinatown that offers easy access to the Train station and main bus services that will bring you to most of city’s must-see destinations. This hostel is furnished with oriental-inspired rooms decorated and named to reflect Singapore’s Chinese heritage, designed to allow guests to step into the history of Singapore’s Chinese immigrants. We are equipped with the latest widescreen iMac’s which will definitely suit your surfing needs. This outlet is suitable for groups of up to 90 guests. All our rooms are fully air-conditioned, fan, international plug socket, comprise of fresh linens, blanket and soft pillow. We also provide complimentary Wi-Fi access throughout the Inn. A simple breakfast of coffee, tea and toast is provided at no charge. With its perfect location right in the heart of Chinatown, you get easy access to the train station and main bus services that take you around the city. You will get to experience the Chinese culture with sumptuous local dishes surrounding you. We are also just a short walk from Clarke Quay, where you will find a vast array of bars, restaurants and relaxing River Tours. **Please note that we are not related to the trademark “Rucksack Inn” and/or operating under the trademark “Rucksack Inn”.  View House Rules  ",unknown,7.5,Hostel,9.5,S Inn Chinatown,US$14.80,7.6,Very Good,83,6.7,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Air Conditioning, Card Phones, Elevator, Hair Dryers, Hot Showers, Reading Light, Security Lockers, 24 Hour Security, Housekeeping, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Shuttle Bus, Towels for hire, Wi-Fi",8.5,7.8
7.9,Singapore,7.5,Singapore,"We are located on the vibrant Joo Chiat Road, housed in a restored traditional 1920s shop-house. Stay with us for an experience off the beaten track. You will be surrounded by local culture and plenty of amazing local food. Wander off to the nearby East Coast Beach for a leisurely cycle along the coast all the way to Marina Bay in just 40 minutes! Getting around Singapore from our hostel is easy: -15-minute walk from Paya Lebar MRT Station (EW8/CC9) -2-minute walk from Bus 33 (to city) -6-minute walk from Bus 24 (to airport) Our spacious and cosy Common Room is perfect for connecting with fellow backpackers. Play a game of pool, browse through our large collection of books, challenge others in a board games showdown, or just enjoy a lazy Netflix evening on one of our comfortable couches. Our friendly staff will help you with food recommendations, directions, and suggest the best things to do in Singapore based on your interests. What’s included in your stay? -FREE Maps -FREE Wifi in Common Room -FREE Continental Breakfast -FREE Coffee & Tea (all-day!) -FREE Lockers -FREE 30-minutes Computer Usage per Day -Attraction Tickets at 10% Discount -Guest Discount for our Award Winning Food Tours* -Bicycle/Kick Scooter Rental -Laundry Services We do our best to be eco-friendly. Air-conditioning in all dorms are switched on between 7pm – 11am, and windows are opened up during the day to let in fresh air. Not to worry, air-conditioning is available 24-hours in our common room. Please read through Things to Note and Policies (below) before booking.  View House Rules  ",unknown,7.7,Hostel,8.0,Betel Box Backpacker Hostel,US$8.46,8.2,Fabulous,1419,8.7,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Common Room, Hair Dryers, Hot Showers, Key Card Access, Meeting Rooms, Parking, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Housekeeping, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Towels for hire, Bar, Meals Available, Board Games, DVD's, Games Room, PlayStation, Pool Table",9.4,8.0
5.9,Singapore,7.5,Singapore,"There are no STRANGERS, just a WORLD OF PEOPLE you haven't met. As our tagline says it, at 7 wonders hostel, we aim to create an accommodation and atmosphere where we bring people from all walks of life, nationality and culture together.Travel and sleep at an affordable price yet get to experience a luxurious & comfortable stay-over at our shared room capsules, with breakfast included in all our packages. We are located in the heart of numerous historic attraction of Singapore in an extremely characteristic, quite and lively area within short 5 mins walking distance to the famous Mustafa Canter Inspired by Japan's sleeping capsules; Our packages include FREE WIFI COIN OPERATED WASHERS/DRYERS IRONING FACILITIES SOAP/SHAMPOO PROVIDED CHOICE OF CAPSULE: (SINGLE/QUEEN) PERSONAL LOCKER MOTION SENSOR LIGHTS SECURED DIGITAL LOCKS PRIVACY CURTAINS LUGGAGE STORAGE SPACE DINING AREA/LAPTOP FRIENDLY WORK SPACE OUTDOOR PATIO  View House Rules  ",unknown,6.6,Hostel,8.0,7 Wonders Capsule Hostel,US$7.85,7.3,Very Good,395,8.5,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Card Phones, Dryer, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Microwave, Security Lockers, Washing Machine, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Cafe, Tea & Coffee Making Facilities, Vending Machines",7.5,7.2
6.8,Singapore,9.0,Singapore,"CUBE Boutique Capsule Hotel @ Chinatown Choose CUBE Boutique Capsule Hotel at Chinatown for a not-to-be-missed capsule hotel experience you can only find in Singapore.  We combine favourite hotel features and amenities, the friendly atmosphere of a connected community, and a capsule sleep experience that is bucket-list worthy-- all at surprisingly wallet-friendly rates.  Be the best you you can be while in Singapore: Enjoy great sleep, spot-on advice from our hotel staff on what to do, see and eat, and the ideal mix of complimentary amenities that lets you spend your travel dollars where it matters- on creating amazing travel memories.  Welcome to CUBE! Location Conveniently located in the heart of Chinatown, our hotel provides easy access to Singapore’s key cultural and historic tourist attractions, great restaurants of all kinds (including the famous “$2 1-Michelin Star chicken rice restaurant” on the ground floor of our hotel), and is just a short ride away by MRT from popular destinations such as Clarke Quay, Gardens by the Bay, and Sentosa. Just a few minutes’ walk from Chinatown MRT station- you can really step out of our doors, straight into the action. When you’re done exploring, enjoy inventive cocktails, fine wines, craft beers and unique coffee creations at our on-site CUBE Bar. Its relaxed communal vibe makes it the perfect place to meet new friends. About Our Capsules Want to have a deep and refreshing night’s sleep?  CUBE Hotels feature a collection of comfortable capsules in shared or private rooms, each a cosy cocoon hidden from the outside world.  Each capsule is designed with meticulous attention to detail.  Our mattresses are super thick, and the linens are snuggly soft and plush.  Not only are there several vital features available right inside your capsule, such as in-built universal plugs, and USB charger ports, but we’ve also added lights that dim, soundproofing, and air vents inside to create the ideal temperature.  Come to CUBE for a sleep experience like none other. Capsule Types Single Capsule: Each made-to-measure capsule comfortably accommodates one person, and there are handy, secure nooks located beneath each platform-style bed to store your belongings in the shared rooms. Queen Capsule: Larger queen capsules are designed to sleep two people side by side.  These capsules are in shared room accommodations or can be booked in a private room. Female-only Capsule:  Your capsule will be located in a shared room with females only.  Private Capsule: Book a private capsule to ensure total seclusion from the outside world. Our private capsule rooms can accommodate two or four people. Facilities And Amenities 24/7 reception Complimentary High Speed Wi-Fi Complimentary self-help Laundry Complimentary Breakfast buffet (7.30am – 10.30am daily) CUBE cocktail bar Personal Work Space with business services Complimentary bottled water Concierge services Towel (1 per day) 24-hour CCTV Secure key-card access Self-contained individual bathrooms with Soap & Shampoo Personal lockers in each room with secure key-card access Free local phone calls Female-only rooms available All bookings are subject to availability and Cube reserve the rights to decline any booking at its discretion.  View House Rules  ",unknown,8.2,Hostel,9.7,Cube Hostel,US$28.70,8.4,Fabulous,210,8.8,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Card Phones, Common Room, Dryer, Elevator, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Reading Light, Safe Deposit Box, Security Lockers, Utensils, Washing Machine, 24 Hour Reception, 24 Hour Security, Fax Service, Housekeeping, Internet Access, Internet café, Laundry Facilities, Luggage Storage, Postal Service, Shuttle Bus, Tours/Travel Desk, Bar, Cafe, Meals Available, Tea & Coffee Making Facilities, Board Games, Wi-Fi",8.5,7.8
6.8,Singapore,8.3,Singapore,"7 Wonders Hostel has expanded a property situated in rich and colourful Indian culture in the heart of Singapore -- Little India. Aims to provide a classy environment with a cozy-homey feeling yet budget-friendly accommodation with its unique bunk beds with your own privacy that offers services that match star hotel. It targets budget-conscious backpackers who would love to spend most of their traveling time for tours and sightseeing in Singapore while having an affordable and comfortable place as accommodation. Situated in City Center Little India, Singapore. Easy access in any mode of transportation (MRT and Bus) to bring you around the City and main tourist attraction places. Surrounded by shops and eateries with delicious food choices at a reasonable price. 7 Wonders Hostel @ Upper Dickson offers both private rooms and dormitories in a Sleeping Bunk Beds with own privacy curtain (Mixture of Single and Queen Bed), suiting every preference. ***Property Policies & Conditions: 1. Cancellation/No Show Policy: At least 3 days advance notice for free cancellation. In an event of a cancellation and modification within 72 hours of your arrival date or a No Show will incur the total night(s) to charge to the customer’s credit card. For Promotional Rate, Non-Refundable and Peak Season Bookings where discount rate or peak rates applies, a full amount of your booking reservations will be charged. 2. Check-in is 3:00 PM and check out time is by 11:30 AM. Early check in can arrange with additional charge of SGD5.00 per guest and subject to room and bed availability. 3. Payment upon arrival by cash and Card(VISA/MASTERCARD/AMEX). Both cash and credit card mode of payment are accepted. Payment via credit card upon check-in, a 4% credit card surcharge will be added on the total payment. 4. No Smoking in the whole hostel 5. Reception working hours 0700-0200. Please take note that the Reception Operating Hours are only from 7:00 AM until 2:00 AM. Check-in will be cater from 3:00pm until 2:00am only. 6. In consideration for all guests, travelers with children below the age of 12 are advised to book into family suite rooms or book the entire dorm. An extra charge will apply for each additional guest per night stay. Complimentary stay given to children age of 3 and below. 7. We have Queen bunk bed in mixed dorm. Queen bed can maximum sleep 2 guests. 8. To maintain Travellers and Backpackers Hostel environment, our property does not typically accepts Local Residents, PRs', and Work pass holders to give priority to our guests visiting Singapore. For further clarifications or exception kindly contact us directly via email or phone before making reservation. 9. Any deposits made are non-refundable.  View House Rules  ",unknown,8.0,Hostel,8.2,7 Wonders Hostel @ Upper Dickson,US$19.03,8.1,Fabulous,24,8.7,"Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Ceiling Fan, Dryer, Hair Dryers, Hot Showers, Iron / Ironing Board, Microwave, Reading Light, Security Lockers, Washing Machine, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Tea & Coffee Making Facilities, Wi-Fi",8.5,8.0
