atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
7.8,Bangkok,8.2,Thailand,"Located in the heart of Bangkok the 3 Howw Hostel is perfected situated to enjoy all that Bangkok has top offer. Our hostel is brand new with a modern design and cozy atmosphere. You can meet friends from around the world swap stories and our staff are happy to help you plan your trip around Thailand. You can enjoy our open plan common area with free wifi internet, books and movies you wil be more than catered for. Inside our comfortable rooms there is air conditioning fresh linnen all finished to a clean comfortable standard with shared or private rooms. The hostel is just 5 minutes walk from Khao san road and many other tourist attractions such as the Grand Palace, National Museum and magnificent Thai temples. In the evening you can enjoy the fine restaurant and bar with live music by Chaopraya River on Phra-artid road. 316/5 Samsen Soi 4 Phanakorn, Khao San Road, Bangkok. Provided free - Include Breakfast (bread or toast,butter,jam, tea or coffee, orange juice) - Free Wi-Fi internet throughout the building. - Free Locker in Dormitory - Free use of iron and ironing board and kitchen area. - Free shampoo, shower gel, hair dryer in every bathroom. - Free DVDs and books - Air conditioning in every room - computer in common area - Desk and towel (Private bunk bed and deluxe) - TV and private bathroom (deluxe) Kindly note that - The hostel requires 300THB security deposit upon your arrival for checking-in. And this deposit will be refunded when you check-out. - We do not accept credit card - Towel for rent 40THB *** Bringing any outsider (Unregistered guest) or lady joiner in to the house is prohibited due to we are really serious about the safety of all the guests in our hostel. They can only wait at the hostel lobby which is located on the ground floor. Thank you so much ***  View House Rules  ",5.2,8.7,Hostel,8.7,3Howw Hostel Khaosan,US$6.15,8.5,Fabulous,470,8.8,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Air Conditioning, Cable TV, Ceiling Fan, Common Room, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Microwave, Outdoor Terrace, Reading Light, Security Lockers, Self-Catering Facilities, Washing Machine, 24 Hour Reception, 24 Hour Security, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Towels for hire, Wake-up calls, Cafe, Tea & Coffee Making Facilities, Wi-Fi",8.2,9.5
8.7,Bangkok,9.7,Thailand,"Hom Hostel & Cooking Club is situated on the 4th floor of Nana square. There is an outdoor garden where you can enjoy the view of downtown Bangkok. You can also book one day in advance to participate in our Thai cooking workshop or Chef's table. Our mattresses are the same quality as those in 4 stars hotels meaning you can always have a good night's rest. Nanasquare is a shopping mall that has Starbucks, Carl's Jr., Burger King, The Pizza Company and a Thai restaurant. You can also enjoy the Thai food court with cheaper meals on third floor and the night bazaar from 14:00 to midnight on the basement level. Guests can use our common kitchen anytime.  We offer Thai cooking classes, complete with all ingredients and a full course meal at the end!  If you do not wish to pay for this experience, you can simply watch the instructors cook.  You are welcomed to purchase your own ingredients from the local grocers and markets in the area and create your own meals. If you wish to make some Thai dishes, you can ask the staff for assistance and watch the cooking demos when offered. When you leave Hom, you can leave with many new food experiences!  View House Rules  ",8.6,8.7,Hostel,9.7,Hom Hostel & Cooking Club,US$6.18,9.4,Superb,186,9.7,"Free Breakfast, Free Internet Access, Free WiFi, Linen Included, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Children's Play Area, Common Room, Cooker, Dishwasher, Dryer, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Outdoor Terrace, Parking, Reading Light, Security Lockers, Self-Catering Facilities, Utensils, Washing Machine, Wheelchair Friendly, 24 Hour Security, ATM, Currency Exchange, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Towels for hire, Cafe, Meals Available, Mini-Supermarket, Tea & Coffee Making Facilities, Board Games, DVD's, Games Room, Wi-Fi",10.0,9.3
8.9,Bangkok,9.4,Thailand,"U-Baan means 'Stay home'  in Thai. 5 mins walking distance from BTS WongWainYai Station, (The station no.S8). We offer  Bangkok Residential experience, tasting delicious the authentic Thai food form 'Wong Wain Yai Market' (one of the biggest local market in Bangkok). You could also easily get around everywhere in Bangkok by public transport included The Grand Palace, Wat Pho, Wat Arun, Chinatown, Lumpini Park, Siam Paragon and the  Famous Party street 'Kaosan Rd.'. We offer Double, Twin, Triple, and 5 bed dormitory. Each Unit ensuite with hot shower and toilet. Wifi access all areas.  Our reception operation hour is between 8.00 am - 22.00 pm (in case of arrival before and after operation time, the guest could Inform us in advance)  View House Rules  ",2.2,8.9,Hostel,9.1,U-Baan Guesthouse,US$7.73,9.3,Superb,1366,9.3,"Free City Maps, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Breakfast Not Included, Common Room, Hair Dryers, Hot Showers, Microwave, Security Lockers, Utensils, Washing Machine, Express check-in / out, Housekeeping, Laundry Facilities, Luggage Storage, Reception (limited hours), Wi-Fi",9.9,9.5
7.3,Bangkok,8.7,Thailand,"Siam The absolute best location in Bangkok for those who love to shop, love to explore, and be in the heart of one of the busiest districts in Bangkok! When visiting Bangkok, you'll feel right at home at Lub d Bangkok Siam Hostel, which offers quality accommodation and great service. We are right at the National Stadium Skytrain, literally at our doorstep, so getting around Bangkok or getting to the airport of markets & temples could not be easier. Travelers will find the spacious common area where The Right Bar is there to serve light breakfast, snacks and a variety of cool beverages. Guests can sit on bean bags and watch movies in the communal lounge room or hangout in the lobby area, or large outdoor area to do some people watching. GUEST ROOMS We have 5 creatively designed types of room that are ready to welcome you to our comfortable beds. Whether you come with a bunch of friends, family, or if you’re a couple, or a solo traveler, our rooms offer it all. Mixed Dorm This room option is great if you’re coming with a big group of friends, or if you’re a solo traveler but want to be social with fellow travelers. The 4 beds in each dorm have their own reading light, electrical socket, and personal locker to keep your belongings. All guys and girls will get their own electronic key card to access their room. It’s a great room for travelers who want to have some fun, but still find a little ‘me time’. Ladies Dorm Each dorms offer a large shared bathroom which is designed exclusively for the ladies. Each of these Deluxe Dorms have 4 beds with individual reading lights, electrical sockets to charge up, and a big lockers to keep their belongings. Having your own electronic key card will keep the boys away from your dorm! Econo Twin Enjoy the lifestyle benefits of a hostel, but prefer a bit of privacy at night? We’ve got you covered with this stylish, twin room with shared bathrooms. Econo Double Bring a bedfellow, or just roll solo! A queen-size bedroom with shared bathrooms, this stylish private haven blurs the boundaries between hostel and hip hotel. Double Deluxe This premium choice functions as an indulgent sanctuary with a super-comfortable queen-size bed and the luxury of an en-suite bathroom. Chill out in a total seclusion after a hectic day of sightseeing and hit the shower like a boss! Please note - We do not have lift or elevator. You need to exercise ;-) - We provide lockers in dorms. Please bring your own padlock. - A refundable key card deposit of 100 Baht will be collected upon checking in. This will be returned to you when you return the key card to us when checking out.  View House Rules  ",6.2,8.4,Hostel,9.0,Lub d Bangkok Siam,US$11.59,8.6,Fabulous,2735,9.2,"Free City Maps, Free City Tour, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Common Room, Dishwasher, Dryer, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Outdoor Terrace, Reading Light, Security Lockers, Utensils, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Fax Service, Housekeeping, Internet Access, Internet café, Laundry Facilities, Luggage Storage, Postal Service, Tours/Travel Desk, Towels for hire, Wake-up calls, Bar, Cafe, Meals Available, Mini-Supermarket, Vending Machines, Board Games, DVD's, Wi-Fi",8.9,8.3
7.8,Bangkok,9.6,Thailand,"Stay with us you'll get more!!! **Free Breakfast** **Free pool game 24 Hrs** **24 Hrs Movie Room** ** Free Walking Tour Every Sunday!!** (Subjected to availability without prior notice) please contact for more info d HOSTEL BANGKOK provides you the best experience for staying in Bangkok with superior facilities and services, your good night sleep is guaranteed with our premium quality bedding set and duvet. We centrally located in “Rattanakosin Island”, where most of the must see places can be reached by walk, the perfect location for travelers who love to experience cultural vibes of old Bangkok and enjoy the party vibes of Khaosan road as well. BEST LOCATION!! What's nearby? - KHAOSAN road, budget transportation hub and backpackers hot spot for night life, (we are only 6 min walk to Khaosan road and yet far enough away from the middle of chaos to enjoy the quiet night sleep.) - Grand Palace 10 min walk. - Wat pho (Reclining Buddha) 15 min walk. - 7/11 (24 hrs. convenient store+ATM) just a few steps walk. Our Services and Facilities - Free breakfast everyday available from 7.30-10.00 - Free Shower room and luggage storage before check-in and after check out on the same day. - Free WIFI access for all area / Computer with free internet in common area. - Free ""PAD THAI"" Every Friday 18.00-19.00pm. - Movies room with air-condition open 24 hours. - Spacious common area perfect for big group garthering. - Free flow of hot and cold drinking water dispenser. - Coin laundry 40 baht per usage (detergent provided for free of charge) / Dryer start from 30 baht. - Personal locker (Please bring your own padlock). - Informative staff with travel information and free area walking map. - Tour and ticket arrangement. - Free printing service (for your boarding pass, etc) Our Rooms We arrange mixed dorm with choices of 4-bed and 6-bed, spacious shared bathrooms on every floor (male and female bathroom on separate floor). Each bed includes. - Comfiest bed with pillow and duvet. - Fresh towel. - Personal reading lights and power socket. - Personal locker (*bring your own Padlock). - Air-condition (self-control no day time break). - Shampoo, shower gel, and hair dryer (provided in bathroom). - Free breakfast everyday!  View House Rules  ",4.2,8.6,Hostel,9.2,D Hostel Bangkok,US$13.91,8.8,Fabulous,1257,9.0,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Book Exchange, Cable TV, Ceiling Fan, Common Room, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Outdoor Terrace, Reading Light, Security Lockers, Self-Catering Facilities, Washing Machine, 24 Hour Security, Fax Service, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Postal Service, Tours/Travel Desk, Tea & Coffee Making Facilities, Board Games, Pool Table, Wi-Fi",8.5,9.0
8.0,Bangkok,9.6,Thailand,"YAKS House Hostel offers accommodations with free WiFi in all areas and a coffee shop on site. Inspired by the theme of Thai Giants, guests can relax at common lounges and a shared kitchen during their stay. Attractions in the area include The Temple of Dawn, 2.5 km away, or The Grand Palace, situated 2.2 km from the property. Rooms at YAKS House Hostel come with air conditioning and views of the city. Certain rooms feature a private bathroom with a 42-inch Smart TV, while the other room types are equipped with a shared bathroom. Towels, hairdryer, slippers and free toiletries are included in all bathrooms. Other facilities include a 24-hour front desk and laundry area. There is a rooftop terrace located on the fifth floor for guests' relaxation. Central Plaza Pinklao is a 5-minute drive from YAKS House Hostel, while Thonburi Train Market is 1.4 km away. The nearest airport is Don Mueang International Airport, 27 km from the property. ***Property Policies & Conditions: 1. Cancellation policy: At least 1 days advance notice for free cancellation. 2. Check in from 14:00 to 00:00. 3. Check out before 12:00 noon. 4. Payment upon arrival by cash and Card. 5. Other facilities include a 24-hour front desk and laundry area.  View House Rules  ",5,9.0,Hostel,7.2,Yaks House Hostel,US$7.47,8.7,Fabulous,138,9.3,"Free City Maps, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Cable TV, Card Phones, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Meeting Rooms, Reading Light, Safe Deposit Box, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Bar, Cafe, Restaurant, Vending Machines, Pool Table, Wi-Fi",9.0,9.0
8.9,Bangkok,8.6,Thailand,"Welcome to The Oasis! This isn’t just your average hostel, but also a community in the heart of the backpacking area of Bangkok. Located only a 5 minute walk from one of the wildest walking streets in Asia, the (in)famous Khao San Road, you’re always close to whatever your backpacker heart could ever desire.We are located in the Samsen area which is a constantly growing, colorful community full of funky restaurants/bars and, of course, cheap Thai street food that will treat your taste buds. The Oasis Hostel is a relaxing place with great facilities in the common area where you can share your travel stories with other backpackers and our friendly staff, who are always happy to share tips and tricks to getting around Bangkok, where to find the best street food and to share their own travel experiences. We offer both private rooms and dorm rooms; all rooms are equipped with A/C! There’s FREE WIFI throughout the hostel. We have hot and cold showers with towels provided, and some of the most comfortable beds you will find in South East Asia, to get you rested for your next adventure. Our in-house travel gurus can answer any questions, regarding travel, you have and book any trips, tours, hostels and transportation that you might need. All of our western staff, Thai staff and Pow Wow, the hostel dog, will be here to help you get the most out of your time in Thailand and help you explore your way through the smells, tastes, sites, sounds and culture of this crazy (not so little) city we call home. 1). Check in time is from 12AM to 8PM and Check out time is 11AM 2). We do not allow outside guest's into the room, however they can access and join in at the bar area. Late checkouts will require a surcharge. 3). Weapons, explosives, dangerous objects as well as the consumption of drugs are not permitted. 4). Smoking is not permitted in any of the inside areas. 5). Late Arrival? Not a problem, we will always be available to help but please let us know beforehand. 6). 3 days advance notice for free cancellation. 7). Reception opening hours: 9AM to 10PM  View House Rules  ",5.1,8.1,Hostel,9.4,The Oasis Hostel,US$9.27,8.9,Fabulous,586,8.6,"Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Breakfast Not Included, Ceiling Fan, Common Room, Hot Showers, Safe Deposit Box, Security Lockers, Utensils, Washing Machine, 24 Hour Security, Airport Transfers, Bicycle Hire, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Tea & Coffee Making Facilities, Board Games, Games Room, Wi-Fi",9.5,9.3
8.7,Bangkok,9.3,Thailand,"Nivas Siam Hostel has magnificent offers for weary travelers who looking for a place to relax and also want to experience the real Thailand down to earth. Our hostel hits the spot in many ways. You can easily access many tourist attractions of many categories. Taking buses to the Grand Palace, Wat Pho, and Chinatown or walking around Thonburi district, the real Thai lifestyle can be observed and discovered. Certainly, Wat Arun which one of the most famous landmarks in Thailand is included in our neighborhood. The decorations are inspired by recycled materials that are eco-friendly and wonderfully-arranged. Our dorms are equipped with air conditioners and super fast free WiFi. Morning coffee&tea, Thai coffee, tea, soap, and shampoo are provided for our guests with no extra charges as complimentary. If you are looking for a nice and cozy place to stay and rest before after long days of your journey, Nivas Siam Hostel is the place to drop by. *Notice about the Coronavirus (COVID-19) Please kindly read before booking. **According to the announcement of the Department of Disease Control of Thailand, during this time, if you traveled from Italy, Iran, Germany, France, China, Taiwan, Hong Kong, Macau, South Korea, Japan, and Singapore within 14 days. Or if you have any symptoms suspected of being infected with the disease, we apologize for not accepting your reservation and any inconvenience. Since the hostel is shared accommodation, you must stay in a private place for 14 days after travel. And you'd better have a Medical Certificate. Thank you for understanding. Looking forward to hosting you next chance. ***Property Policies & Conditions: 1. Cancellation policy: cancel free of charge until 2:00 PM on the day of arrival. 2. Check-in from 2:00 PM 3. Check out before 12:00 AM 4. Late Check-out before 2:00 PM 5. Payment upon arrival by cash and credit card like Visa, Master Card, and JCB credit cards. 6. Reception working 24 hours.  View House Rules  ",1.6,8.9,Hostel,7.2,Nivas Siam Hostel,US$5.81,8.7,Fabulous,279,8.5,"Free City Maps, Free Internet Access, Free WiFi, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Card Phones, Ceiling Fan, Common Room, Cooker, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Meeting Rooms, Microwave, Outdoor Terrace, Reading Light, Security Lockers, Self-Catering Facilities, Towels Not Included, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Towels for hire, Wake-up calls, Cafe, Meals Available, Tea & Coffee Making Facilities, Board Games, Games Room, Wi-Fi",9.3,9.2
,Krabi,,Thailand,"Cancellation & No show policy: - Cancellation or early check out should be informed to the hotel by 3 days in low season and 5 days in high season and 7 days in peak season before date of arrival . Otherwise full amount will be applied. - No refunds will be given for checking out early. - Incase of No-Show full charge will be applied. Also please remove the minimum stay in peak season from the paragraph underneath please. Children under 12 years old occupying the same room as parents with no extra charge but have to pay for 100% of breakfast rate. Minimum stay of 3 nights is required during peak season. High Season : Nov 01, 2007 - Dec 19, 2007 : Jan 11, 2008 - Apr 30, 2008 Green Season : May 01, 2008 - Oct 31, 2008 Thepparat Lodge Krabi is located in the centre of Krabi town, close to the morning and the night markets. All rooms are beautifully designed and well-furnished with teak decoration and are maintained by a housekeeping department which takes pride in its reputation for spotlessness. Our front desk offers various services. We can make reservations at other accommodations, book air/boat/bus tickets and book you on to different sightseeing tours. We also have an internet cafe. There is a restaurant here which serves outstanding Thai and European cuisine, a cocktail bar, coffee corner, pastry shop, laundry service and room service. Good access to shopping facilities and nearby to Phi Phi Island, Ko Lanta, Ao Nang and the Railay Beach make this the perfect place to stay in Krabi.  View House Rules  ",0.3,,Hotel,,Thepparat Lodge Krabi,US$17.00,,No Rating,27,,"Free City Maps, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Breakfast Not Included, Fridge/Freezer, Hot Showers, Safe Deposit Box, 24 Hour Security, Airport Transfers, Currency Exchange, Housekeeping, Laundry Facilities, Luggage Storage, Reception (limited hours), Room service (limited hours), Shuttle Bus, Tours/Travel Desk, Bar, Café, Restaurant, Wi-Fi",,
,Krabi,,Thailand,"Baijai Gardenhome provides you with great service and hospitality to make your stay in Ao Nang a pleasant one. Baijai Gardenhome offers comfortable rooms and bungalows in green garden feel. 4 small houses for 2 people 2 big houses for 2 people 1 house for 3 people (1 double room with a/c and 1 single room with fan) 1 house for 4 people (1 double room with a/c and 2 twin room with fan) 1 2-bedroom apartment (1 double room with a/c and 2 twin room with a/c) Baijai Gardenhome is an ideal spot from which to discover Krabi. It is only a short-walk to Ao Nang beach and nightlife also close to a variety of restaurants. ***Property Policies & Conditions: 1. Free Cancellation: 3 Days before the arrival without being charged by the property. 2. Check in from 1400 3. Check out Before 1200 noon 4. Payment on Arrival: Cash only 5. Breakfast included 6. Reception working hours 08:00-22:00 7. NO smoking in Room, but have smoking area  View House Rules  ",9.5,,Bed and Breakfast,,Baijai Gardenhome,US$11.20,,No Rating,0,,"Free Breakfast, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, BBQ, Fridge/Freezer, Hair Dryers, Hot Showers, Parking, Reading Light, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Meals Available, Tea & Coffee Making Facilities, Wi-Fi",,
