atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
9.3,Koh Phangan,9.0,Thailand,"Welcome to the home of the biggest & baddest party in Thailand. Come join the hundreds of thousands of people who have already slept with us and have the best nights of your life. With over 10,000 reviews and a 93% approval rating we are the highest rated party hostel group in the world! We will show you that we love you as much as everyone loves us! With locations across Thailand, Indonesia and more on the way, you're sure to find we can help you explore South East Asia from start to finish. Come join our family as we #AdventureHardPartyHarder. Here is what you need to know before checking in: - Be open to meeting people from all cultures and backgrounds. - Be open to making new friends that could last a lifetime! - Be ready to make some of the best memories you’ve ever had! - If you are antisocial and are just looking for a bed to sleep in we are not the place for you. - We are a party hostel and try as we might to control the dorms you need to be prepared to see people who are occasionally loud, drunk and naked. - We do not accept bookings from people over the age of 35. - We sell out every night so if you need to extend your stay please do so at least one day in advance, we would love to have you continue your adventure with us! - We hold on to your passports from check-in to check-out, they’re probably safer with us anyways! - If you have any problems during your stay, please, please, please let our staff know immediately so we can get it fixed as soon as possible! - We strongly recommend that you tailor your travel plans to arrive on the island at least 3 days prior to the Full Moon Party in order to hit all the major parties leading to the main event. - Due to a high demand of bookings over peak periods, we may require full payment in advance in order to guarantee your stay. Invoices via Paypal prior to your arrival. - When booking during Full Moon and Half Moon periods we can be sold out up to a month in advance so make sure you book early to avoid disappointment! Property Information: - The comfiest beds you'll find in Thailand - Free cocktail shots every night - Steps from Ban Tai Beach - Afternoon dips in the pool - The best WiFi on Koh Phangan - The home of Koh Phangan’s largest pub crawl - Tours, Tours, Tours! Join the Crazy Mango Adventure and check out the best Koh Phangan has to offer! - Right around the corner from Half Moon, Black Moon, Waterfall and Jungle Parties - The only pre-party location for Koh Phangan’s famous parties Don’t let us tell you we’re the best, here’s what our guests have to say! “Katie and Daniel were the most amazing people I met during my trip. They made the experience of full-moon party way much more better than I thought. Katie I love you! You are such a sweet heart! :) overall, the hostel was amazing! The vibes, atmosphere and everything else was just perfect to party hard! ;)” “Slumber Party is the quintessential party hostel. Games of beer pong and flip cup run throughout the night, making meeting people easy. The staff lead by example, joining in on the fun and keeping the party popping. They went above and beyond to help me with my travel plans, providing tips and recommendations from their own personal experiences. If you want wild, you want Slumber Party.” FULL MOON BOOKINGS: Due to being such a busy and high demand period, all bookings are required to be PAID IN FULL, IN ADVANCE VIA PAYPAL to confirm and finalize your booking. Please check your email inbox for the PayPal invoice 24 hours after you have made your booking. PLEASE NOTE: All Full Moon and peak period bookings & payments are NON-REFUNDABLE.  View House Rules  ",unknown,9.1,Hostel,9.1,Slumber Party Hostel Koh Phangan,US$2.13,9.1,Superb,2819,9.2,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Book Exchange, Ceiling Fan, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Parking, Security Lockers, 24 Hour Security, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Bar, Meals Available, Restaurant, Board Games, Wi-Fi",9.1,9.2
5.5,Koh Phangan,4.5,Thailand,"Known as one of the most secure,safest and friendliest hostel's in Thailand' (If not the northern hemisphere), Treechart is the best place to meet cool, chilled-out and respectful travellers. We're all about the vibes here and have dedicated ourselves to creating the absolute best experience for our guests. From the moment you arrive to the sad day you leave we are committed to making sure your stay is absolutely perfect in every way. Location, location, location. Being on the edge of the main town means you will save a small fortune on taxi's. You can walk to and from the main pier in about 7 minutes saving you a lot of hassle with taxi drivers and their universal ways. Perfectly located right in the heart of Thong Sala - the main city in Koh Phangan, Treechart Hostel is an ideal departure point for your excursions on the island. Whether you're visiting the beaches in the North, or heading to the full moon party you're only ever a few minutes away, so it couldn't be more ideal. As well as being right next to the main food market and night market on the island you are conveniently positioned near most of the best restaurants and shops. We also have cash machines attached to our own convenient store! Most of our rooms in the Treechart Hostel has its own clean and modern bathroom with everything you need including hot and powerful showers. The beds all have new, clean and comfortable mattresses, as well as well tuned air conditioning units, fans and individual secure lockers for your belongings. Treechart is well laid out with a huge communal area, a bar, restaurant, swimming pool and pool table as a result this is the perfect place to meet other like minded travelers. As well as all this Treechart Hostel offers: • Taxi Service • CCTV Day tours Diving Bike, motorbike and car rental Western and local management Safe and secure enviornment Come and stay with us and we will cater to your every need helping to make this part of your trip a fun and easy going magical experience giving you memories to last a lifetime.  View House Rules  ",unknown,5.5,Hostel,7.5,Treechart Hostel,US$6.18,6.0,Good,326,6.0,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Card Phones, Ceiling Fan, Common Room, Dishwasher, Elevator, Hair Dryers For Hire, Hot Showers, Jobs Board, Outdoor Swimming Pool, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, Swimming Pool, Wheelchair Friendly, 24 Hour Security, ATM, Bicycle Hire, Currency Exchange, Fax Service, Housekeeping, Internet Access, Internet café, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Bar, Cafe, Mini-Supermarket, Restaurant, Tea & Coffee Making Facilities, Board Games, Foosball, Games Room, PlayStation, Pool Table, Wi-Fi",6.8,6.5
10.0,Koh Phangan,9.3,Thailand,"Welcome to Mai Pen Rai Bungalows, at Than Sadet Beach on the East Coast of Koh Phangan.  Here the emphasis is on keeping in touch with the roots of nature around, and this can be seen in the design of the bungalows and in the restaurant itself.    This is the kind of place for those wishing to be away from the commercialism of Koh Phangan, to enjoy the sanctuary of a peaceful and quiet beach resort and replenish ones spirit. At the beachfront restaurant the atmosphere is relaxed with good music, traditional Thai and Western Food. There is always an abundant supply of fresh seafood and daily specials often include freshly caught fish from around Than Sadet waters. Next to the restaurant is 'The Reggae Bar' as some call it; this is a mellow, un-pretentious and fun place to relax, especially in the evenings, surrounded by the sounds of the frogs and crickets, and a wonderful place to watch the stars. This is the place to soak up the presence of Than Sadet and to enjoy the spirit of the people and characters who visit this beautiful beach. Than Sadet beach is slightly off the beaten track, and commercial route of Koh Phangan, which adds to its charm.  Here one is able to completely unwind and reenergize ones spirit, whether watching the sunrise in the morning or chilling out by one of the beautiful pools of the Than Sadet River. This is truly a paradise where nature lovers and artists from all walks of life can come together, and enjoy the peace and serenity of this unique corner of the world.  Due to the fast development of Koh Phangan, this really is a one of a kind place where the pace of life is still as it should be, and the feeling of the old Koh Phangan is still present in the atmosphere and feeling of this beach. Due to the remote situation of Than Sadet and the factor that it is in National Park territory, government electricity has not reached Than Sadet. This in fact adds to the charm of the place. Power is run by generator and is switched on from 11.00 am until 4.00 pm, and then again 6.00 pm until midnight. Satellite Broad band Internet and WIFI is available in the restaurant for a charge of 50 baht per day. 'Mai Pen Rai' consists of 50 Bungalows. Each bungalow is special and unique with its original, artistic and spacious design, harmoniously blending with the nature around. All Bungalows have recently been renovated.  There are 4 different room types.  River Rooms, Beach rooms, Bungalows on the Rocks and Family bungalows on the rocks.  View House Rules  ",unknown,9.3,Bed and Breakfast,10.0,Mai Pen Rai Bungalows,US$6.49,9.5,Superb,76,8.0,"Breakfast Not Included, Laundry Facilities",10.0,10.0
5.2,Koh Phangan,4.4,Thailand,"Fantastic Rates on Sea View Dorms ,Female Dorms and Mixed Dorms. Above & Beyond Hostel name is a social +party hostel )))). Lets come together have fun, spread good vibes and eat good  FOOD after hangovers.  We will be doing different activities every day and yes night is for the PARTY!!! Games Night | Club Music after 8 PM  | Tours | Sunset Parties at Hilltop | | Pub Crawl | Pre Parties sunset Parties at Hilltop Bar Right after the long party night or games night . All we want is a beer in hand with a view for an eye. So we have our partner bar right at the hilltop for lazy afternoons and chill sunsets. And Yes....its just 10 mins away...TREEANGLE BAR, HILLTOP Property Terms & Policies: 1) Check in from 14.00 2) Check out Before 13:00 3) Reception working hours: 24 hours. 4) Payment on Arrival: Cash only. 5) Cancellation or amendment must be made 1 day in advance prior to arrival. 6) Breakfast is not included 7) NO smoking in Room, but have smoking area 8) We only accept guests at the age of 18 years old or more.  View House Rules  ",unknown,4.0,Hostel,6.8,Above & Beyond Hostel,US$4.64,5.7,Rating,5,6.4,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Breakfast Not Included, Common Room, Cooker, Dryer, Fridge/Freezer, Hair Dryers, Parking, Security Lockers, Utensils, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Bar, Cafe, Meals Available, Mini-Supermarket, Tea & Coffee Making Facilities, Board Games, Foosball, Games Room, Nightclub, Wi-Fi",5.2,7.6
8.0,Koh Phangan,7.5,Thailand,"Our beautiful bungalows are located at the south west cost of Koh Phangan. The bungalows are equipped with a double bed, air conditioning (or fan), WiFi, a private bathroom and hot water. We serve delicious food in our restaurant and have a cozy beach bar for an amazing sea view and magical sunsets. Enjoy your holiday with ice cold drinks, beers and cocktails in the sun. Have a snack before you going out for an adventure in the jungle, at breathtaking waterfalls or enjoy your Dinner here while watching the sun goes down. Our friendly staff speaks Thai, English, German and are happy to help you with any upcoming questions, day trips, boat bookings and rentals. Despite the quiet and paradisaical sand beach we are centrally located and just minutes away from the Thong Sala Pier, food market, Walking Street, cinema, supermarkets, international bars and kite-surfing schools. The famous Waterfall, Jungle, Half moon, and Full moon party can be reached within a few minutes by taxi or motorbike. Things to know before arrival 1) Check in from 14:00 2) Check out Before 12:00 3) Reception working hours: 9am - 9pm If you will arrive at the hostel after 9pm, please let us know in advance. 4) Payment on Arrival: Cash only 5) Breakfast is NOT included 6) NO smoking in Room, but have smoking area 7) Please note these rooms has not air-con. We have fan in the rooms only. Please make sure before making a reservation. - Deluxe Double Bed Private Ensuite (Front Beach Fan) - Basic Double Bed Private Ensuite (Seaview Double Bed FAN) 8) Cancellation Policy Failure to cancel within this 7 days will result in a cancellation charge of the full cost of your booking.  View House Rules  ",unknown,7.5,Bed and Breakfast,8.9,Firefly Bungalows,US$7.73,8.1,Fabulous,41,7.6,"Free City Maps, Free Parking, Free WiFi, Towels Included, Air Conditioning, Parking, Laundry Facilities, Bar, Restaurant, Wi-Fi",8.9,8.2
9.1,Koh Phangan,8.6,Thailand,"Seven 77 Club Homestay is Home stay-Club-Bar-Restaurant situated in the Heart of Ban Thai Backpacking community. We are on Ban Thai main road in the Hostel area, rich with Restaurants, Bars & Parties. All parties are in the neighborhood 5-10 min. With a terrace and a bar, Seven 77 Club Homestay is situated in center Ban Tai. This property is 120 meters walk from the beach, and offers free Wi Fi. We have our own motorbikes scooter automatic Honda click 125 cc, 150 cc, 200 cc rental service is available at this property. Tong Sala is 1,5 km from the home  stay Seven 77 club and 15-minute drive to Haad Rin ( it is a place where is the organized Full Moon Party ). It is a 1.5hr. Away from Samui Airport by boat and car. Our restaurant makes cooking beautiful national and Western food and the biggest burgers that you can eat , restaurant work 18 hours a day. In addition to various types of alcoholic drinks, our bar makes beautiful cocktails and great fun.Seven 77 club is close to any point on the island and every party can be reached within 10-15 min. (Had Rin/ Full Moon etc.) Best day to arrive: We highly recommended  that you arrive 3-four days before the Full Moon Party, as it’s a week-long festival rather than a single night of fun. Many people believe that the parties leading up to the main event are even better than the Full Moon party itself!. Come and see for yourself the memorable moments of enjoying Koh Phangan and become a member of the Seven 77 Club. No credit card needed for reservation to book, but if you want you can. We'll send you an email confirming your reservation. ***Property Policies & Conditions: 1. Cancellation policy: At least 7 days advance notice for free cancellation.Non refund money 2. Check in from 7:00 to 23:00. 3. Check out before 9:00 4. Payment upon arrival by cash and Card. 5. NO smoking in Room, but have smoking area 6. Reception working hours 07:00-23:00.  View House Rules  ",unknown,8.6,Hostel,9.1,Seven 77 Club Homestay,US$5.56,9.0,Superb,27,8.9,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Card Phones, Common Room, Hot Showers, Iron / Ironing Board, Outdoor Terrace, Parking, Reading Light, Security Lockers, ATM, Internet Access, Late check-out, Reception (limited hours), Bar, Cafe, Meals Available, Mini-Supermarket, Restaurant, Tea & Coffee Making Facilities, Nightclub",10.0,8.9
9.3,Koh Phangan,8.5,Thailand,"Baan Kai Hostel is  located in a great place to explore the whole island. Its a 10 minute drive from the ferry port and 10 minutes drive to the Full moon party and a 10 minute walk to the lovely Baan Kai beach. It is 5 minutes drive from the half moon party, jungle experience, Waterfall party and many more. The property offers 3 rooms in the hostel:3 mixed dorms.  mixed dorms are with 8 beds and are air conditioned rooms, with a balcony on each. The last room is a air conditioned 6 bed dorm. The prooperty provides free wifi, security lockers chill out and TV area, a self service kitchen and many tours and tickets available to book through our hostel.  View House Rules  ",unknown,9.0,Hostel,9.0,Baan Kai Hostel,US$6.18,9.2,Superb,255,10.0,"Free City Maps, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Ceiling Fan, Common Room, Fridge/Freezer, Hot Showers, Meeting Rooms, Microwave, Outdoor Terrace, Parking, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Housekeeping, Internet Access, Tours/Travel Desk, Mini-Supermarket, Board Games, DVD's, Wi-Fi",10.0,8.5
8.1,Koh Phangan,7.3,Thailand,"Phangan Cottage is located on Thongsala Road in Baan Tai area. The road is heading to Haad Rin, where the full moon party is. Situated in business area, this hostel is surrounded by hospital, supermarket and many fun places. The rooms in Phangan Cottage are separated into 2 areas, a private room and a dormitory that includes bunk beds and is not packed with people. Both have air conditioning. There are no extra reservation charges and the staff are extremely welcoming and will gladly suggest the best places to visit , the easiest ways to get there and inform you of the wide array of activities available as well. Guest are also able to reserve taxi, boat and bus transfer tickets with no extra charges. During the full moon period, there will be a buffet and BBQ with delicious local food and an immaculate view of the ocean. ***Property Policies & Conditions: 1. Check-in Time: from 1:00 PM. - 6:00 PM. (If late after this time please inform our by phone or e-mail) 2. Check-out Time: before 12:00 AM and after this time we will charge 1 day more. 3. Payment: Cash (THB) and credit card (Visa, Master) is welcomed upon arrival. 4. Cancellation Policy: (1) Normal Period: Up to 7 days advance notice before the arrival date is required. (2) New Year Period (20 Dec'16 - 5 Jan'17): Up to 14 days advance notice before the arrival date is required. (3) If cancelled later or No Show, the full balance will be charged and no refund will be given. 5. Age Restriction: The minimum age to check in is 18 years old. 6. Reception Hours: from 08:00 to 18:00. 7. Please contact staff at reception immediately for any problems found in your room e.g.bug, insect and water supply etc.,we would not take any responsible for any consequently to in house guest in case of no informing about such of aforesaid rooms problems. 8. Booking Deposit Returning Policy: * Kindly request your booking deposit return up on your check-out during our working hours between 9:00 AM. - 6:00 PM. * In case of early check-out before our working hours (9:00 AM. - 6:00 PM.),please make your one day check-out before departure date and your        booking deposit would be returned. * Please note that our hostel makes a right reserve for not transfer booking deposit by transfer back in your account or any other channels after your departure. 9. Phangan Cottage reserve the right not refund the money of the money of the rest day in case of the guest intent to check out prior the end of the day period.  View House Rules  ",unknown,7.7,Hostel,7.9,Phangan Cottage,US$6.18,7.8,Very Good,170,8.1,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Air Conditioning, Breakfast Not Included, Common Room, Hot Showers, Outdoor Swimming Pool, Parking, Reading Light, Security Lockers, Housekeeping, Late check-out, Reception (limited hours), Bar, Cafe, Restaurant",8.0,7.4
10.0,Koh Phangan,10.0,Thailand,"The Willow Hostel is a social place or a hub station for the traveler who needs some assisting information and an elegant stay. The located is in the heart of the Green zone district in Koh Phangan. Super convenience’s life by Free pick up service from pier to hostel [check schedule on our website] before booking a bus & ferry ticket We provide our guests with a place to rest and can feel like home. Not only our fascinated atmosphere but also the warm welcome staff will make you an impression since you show up on the first day, so then we offer a complete lifestyle for the traveler with comfortable feeling and safety. Especially, “Grab a cold beer and Hang out at the bar which next to the jungle where you can also enjoy a cool dip in our pool with many more backpacker from every corner of the world' We hope you enjoy your stay with us and let us be a part of your story - while enjoying our signature hospitality and all-inclusive experiences. Rules and Regulations 1. Check-in time is 2 pm 2. Check out time is 12 pm. 3. Passport is strictly required for check-in. 4. If your arrival will be delayed or postponed to the arrival date, please kindly inform us otherwise your bed will be re-opened and fully charged. 5. Please notify us by e-mail prior to your arrival, we have to provide our shuttle bus to pick you up at the pier 6. The key card deposit will be collected upon check-in for 1,000 Baht and we will be returned to you when you check out. 7. Payment: Cash (THB) or Credit card upon arrival. 8. Cancellation Policy: Cancellation Policy: Non-refundable Your booking is non-refundable, if you choose to cancel your booking, or in the case of a no-show, you will still be charged the full cost of your booking. 9. Smoking is not allowed in any area of the hostel. 10. No joiners or visitors allowed in the residential area except for the lobby. 11. We encourage our guests to reuse linen, blanket, and towels. 12. For hygiene reasons, the consumption of food is not allowed inside the dorm rooms 13. We reserve the right to terminate your stay if you refuse to respect other guests or violate our house rules. 14. The Locker provides for your valuables are available in each guest room. The hotel is not responsible for any loss of or damage to your personal belongings. 15. Staying in a hostel is all about community living. Please do not book if you are anti-social, depressed with life, suicidal, cranky, a light sleeper or have a habit of picking fights with other people. We try our best to keep the environment as cheerful as possible. 16. After midnight please keep quiet for respecting the sleeping guest. 18. In / Out after 11.30 pm please sign for acknowledge every time, it’s our safety & security.  View House Rules  ",unknown,10.0,Hostel,9.0,The Willow Koh Phangan,US$58.72,9.8,Superb,6,10.0,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Breakfast Not Included, Cable TV, Ceiling Fan, Common Room, Cooker, Dryer, Fitness Centre, Fridge/Freezer, Hair Dryers, Hot Showers, Hot Tub, Iron / Ironing Board, Jobs Board, Key Card Access, Microwave, Outdoor Swimming Pool, Parking, Reading Light, Safe Deposit Box, Security Lockers, Swimming Pool, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Tours/Travel Desk, Wake-up calls, Bar, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, DVD's, Foosball, Games Room, Nightclub, PlayStation, Pool Table, Wi-Fi",10.0,9.7
9.2,Koh Phangan,8.3,Thailand,"Located on the beach of Baan Tai, Munchies Resort is a small traditional Thai bungalow resort. Munchies Resort offer a variety of rooms for every budget including private bungalows with or without air-conditioning and dormitories. We invite you to enjoy our refreshing pool, have a delicious meal at the restaurant, play some volleyball or soccer on the beach or some Ping-Pong, relax in a hammock and enjoy the sunset with a nice cocktail or go out and explore the beautiful island. Our staff will be happy to recommend you some activities to do around Koh Phangan - everything you need, you'll find at Munchies! Property Terms & Policies: 1) Check in from 14:00 2) Check out Before 12:00 3) Reception working hours: 9:00 – 21:00 If you will arrive at the hostel after 21:00, please let us know in advance. 4) Payment on Arrival: Cash only. 5) Cancellation or amendment must be made 5 days in advance prior to arrival. 6) Breakfast is not included. 7) NO smoking in Room, but have smoking area. 8) Please note SOME rooms has not air-con only FAN. Please make sure before making a reservation.  View House Rules  ",unknown,8.5,Hostel,9.4,Munchies Resort,US$4.64,9.0,Superb,21,8.9,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Ceiling Fan, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Parking, Safe Deposit Box, Security Lockers, Swimming Pool, Housekeeping, Internet Access, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Bar, Cafe, Meals Available, Restaurant, Wi-Fi",9.0,9.3
