atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
6.3,Da Nang,9.0,Vietnam,"Lotus Rock Hotel is built with luxurious style, airy and spacious. The hotel's view overlooks the city. Lotus Rock is located in the city center, convenient for travel and shopping. Rooms at the hotel are air-conditioned and feature a flat-screen cable TV, fridge, kettle, shower, hairdryer and wardrobe. The private bathroom comes with free toiletries. Our staff are really friendly with our customers and make you feel at home. Come and feel the luxury and comfort of our hotel. Welcome to Lotus Rock Hotel. Terms & Conditions Cancellation policy: 2 days before arrival. In case of a late cancellation or No Show, you will be charged all night of your stay. Property may pre-authorize the credit card before arrival. Check in from 14:00 to 23:00 . Check out from 08:00 to 12:00 . 24 hours reception. Taxes included. Breakfast not included. No curfew. Child friendly. Non smoking except for specific areas.  View House Rules  ",unknown,8.5,Hotel,8.5,Lotus Rock Hotel,US$6.00,8.4,Fabulous,8,9.5,"Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Breakfast Not Included, Cable TV, Children's Play Area, Elevator, Hair Dryers, Hot Showers, Parking, Sauna, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Currency Exchange, Express check-in / out, Fax Service, Internet Access, Late check-out, Room Service  (24 hours), Wake-up calls, Café, Minibar, Wi-Fi",8.5,8.5
8.0,Da Nang,9.6,Vietnam,"Night Sky Hotel is a brand new hotel in the center of Da Nang City and a perfect destination for the guests accessing from and to the airport, train station, the beach and Da Nang's tourist attractions. Night Sky Hotel is built in modern and luxury European style. The total number of 28 rooms are divided into many types of rooms: Superior double, Deluxe twin, Suite double and Suite Twin rooms with a height of 8 floors. Full amenities are on offer with: - An LCD screen, Cable TV Vietnamese and International Channels - Free in-room wireless high speed internet access - Complimentary two bottles daily and coffee -  Minibar, kettle - Desk lamp, Telephone - Complimentary buffet breakfast or à-la-carte - Hair dryer, Power shower - Individual air-conditioning control Property Policy and Conditions: 0.Please kindly note your CVV/CVC information is needed to be sent to us by email once your booking is made online. Otherwise, the booking could not be guaranteed. 1. Check in Time: 14:00 pm 2. Check out Time:12:00 noon 3. Both cash and credit card payments are acceptable upon check in at the property. 4. Hotel Cancellation Policy: 1) If cancelled or modified up to 3 days before date of arrival, no fee will be charged. 2) If cancelled or modified later or in case of no-show, the total price of the reservation will be charged. 5. Child Policy: 1) All children are welcome. 2) Free! One child under 6 years stays free of charge when using existing beds. 3) One older child or adult is charged USD 10 per night when using existing beds. 4) There is no capacity for extra beds in the room.  View House Rules  ",unknown,9.2,Hotel,7.2,Night Sky Hotel,US$9.00,9.1,Superb,48,10.0,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Adaptors, Air Conditioning, Cable TV, Elevator, Hair Dryers, Hot Tub, Parking, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Direct Dial Telephone, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Café, Minibar, Restaurant, Tea & Coffee Making Facilities",10.0,9.6
6.7,Da Nang,6.5,Vietnam,"We believe that one of the best experience while traveling is to stay like a local. That is the main reason Loca Hostel was founded. Right here we try our best to bring you many chances to join in some local activites in our daily life such as cooking, shopping... that make you understand a little more about our Vietnamese culture. We offer some drinks, soft food, and meals. All of them are at very Local Price (even for free sometimes). So that you don't have to walk hundreds of meters to buy some big bottles of water, instant noodles... as your own storage. While staying here like local you could still have a convenient stay with almost facilities a backpacker need: - Free Wifi - Free Parking - Free Luggage Storage - All rooms are equipped with AC, fans as well as basic amenities such as reading lights, sockets, curtain, blanket, pillow, towel... for each bed WITHOUT ANY DEPOSIT - Common spaces for chilling As we are backpackers we understand what you need and always try our best to bring you the most possibly satisfied stay as well as helping you to travel around Vietnam more easily. Thus, don't hesitate to ask for us for any support. If you are looking for a quiet and peaceful hostel to chill out after a long journey and learn some local things from like-minded hosts, Loca Hostel is the best place for you.  View House Rules  ",unknown,6.8,Hostel,8.2,Loca Danang Hostel,US$2.57,7.2,Very Good,40,7.3,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Card Phones, Ceiling Fan, Common Room, Cooker, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Microwave, Parking, Reading Light, Safe Deposit Box, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Cafe, Mini-Supermarket, Tea & Coffee Making Facilities, Board Games, Wi-Fi",7.5,7.3
9.0,Da Nang,10.0,Vietnam,"Oasis Hotel & Apartment is designed with modern style. It's very quiet place and have very nice view sea and city view, and you may see and fell daily life of local people here. The lights are always fulfill in the whole house that is covered by a lot of  green trees. Cozy chicken with full kitchen facilities, delight living room with very smart equipment (Smart TV 55, washing machine, microwave, electronic kitchen & very big freeze) which creates a luxury living space. The rooms have both nice ocean view and city view with soft mattress in the bedroom. From here you can see the sunrise with peaceful view in the morning and stunning view at night. The place will make your trip more convenient than ever with great location and have well-designed home. We have good staff here with very helpful and friendly here, and we have good security here. So why not? Make trip plan, find the day you want to stay and book now! **Things to note & policies** Free cancellation: 3 days before the arrival Check in from: 14:00 Check out before: 12:00 Payment on arrival: cash and credit card Tax included Breakfast included No curfew No smoking in room but have smoking area No age restriction Child friendly: over 6 years old Pets are not allowed Reception time: 24/7  View House Rules  ",unknown,10.0,Hotel,10.0,Oasis Hotel & Apartment,US$19.27,9.9,Superb,4,10.0,"Free Airport Transfer, Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, BBQ, Bicycle Parking, Cable TV, Dry Cleaning, Dryer, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Outdoor Terrace, Parking, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Concierge, Currency Exchange, Express check-in / out, Housekeeping, Internet café, Late check-out, Laundry Facilities, Luggage Storage, Room Service  (24 hours), Shuttle Bus, Tours/Travel Desk, Bar, Café, Meals Available, Minibar, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",10.0,10.0
6.0,Da Nang,6.8,Vietnam,"Dango Hostel is just across the street by the beautiful My Khe Beach. It is situatedat one of the most preffered area of Da Nang city, surrounded by famous cafes, restaurants, beauty & spa centers, supermarkets and a local fresh fruit & vegetable market. At Dango, you will have the chance to live in a select setting, finding your prefferencies whether it is complete privacy or engagement in a homelike ambience, meeting people and travellers from around the world. The number of 15 rooms are assigned into – large single bed, double bed, family room and dormitories, where we can comfortably accommodate you for a short or longer period of time. Apart from the many facilities like air conditioning, free Wi-Fi, laundry service, towels, ameneties, hairdryers, room cleaning, private bathrooms, smart TV and small refrigerator for all rooms (except dorm), you can also enjoy at our ravishing Cafe and Bar by the lounging area. ***Property Policies & Conditions: 1. Cancellation Policy: 1 day before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00. 4. Payment upon arrival by cash or credit card. 5. Taxes: included. 6. Breakfast: included. 7. No Curfew. 8. No smoking in rooms, but designated area is provided. 9. Reception Working Hours: 24 hours.  View House Rules  ",unknown,6.8,Hostel,9.2,Dango Hostel,US$7.00,7.5,Very Good,112,8.3,"Free Breakfast, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Ceiling Fan, Dryer, Hair Dryers, Hot Showers, Outdoor Terrace, Parking, Security Lockers, Self-Catering Facilities, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Housekeeping, Internet Access, Laundry Facilities, Tours/Travel Desk, Bar, Cafe, Tea & Coffee Making Facilities, Wi-Fi",7.8,7.8
10.0,Da Nang,9.3,Vietnam,"Nang is the first capsule hostel in Da Nang city which have 8 capsules in the female room (on the first floor) and 8 capsules in the male room (on the second floor); size of each capsule bed is 1,2m widex2,2m lenght will be more comfortable than others bed. Especially, the outdoor area on the third floor is ideal for group's party. So, we assure that you will have new experiences with us in this lovely city. After exploring many attractive destinations, you can enjoy your time in big, comfy and really cool Capsule room with safety box, charging point, 2 usb chargers, fantasy background light, reading light, curtain at each Capsule for privacy; and large luggage storage, 02 toilets and 02 showers in the Dorm. And you can use the kitchen to cook your Free breakfast with sandwich/ egg/sausage/ strawberry jam/ peanut butter/,.... and coffee/tea. You can also use bicycle and BBQ equipment for free. In addition, local restaurant and cafe are available in the neighborhood where you can walk to taste the city's cuisines such as Pho, fish-ball noodles, beef rice noodles, pancake, grilled beef noodles, sticky rice with chicken and many vegetarian dishes. Especially, the Han River is just 5-minute walk from the hostel and the city's night view from our balcony is really fantastic. Don't hesitate to order some drinks and spend hours to 'heart' the city.  View House Rules  ",unknown,8.7,Hostel,9.3,Nang Capsule Hostel,US$7.28,9.6,Superb,15,10.0,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Air Conditioning, Bicycle Parking, Cable TV, Card Phones, Cooker, Fridge/Freezer, Hot Showers, Hot Tub, Iron / Ironing Board, Microwave, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Cafe, Mini-Supermarket",10.0,10.0
6.8,Da Nang,7.0,Vietnam,"Boasting a garden and a shared lounge, The Secret Garden is located in the downtown center Da Nang, 100 metres from Han Market. Popular points of interest nearby include Song Han Bridge, Love Lock Bridge Da Nang and Cham Museum. Asia Park Danang is 3.3 km away. At the hostel, the rooms feature a balcony, complete with a seating area and a shared bathroom. Even certain rooms here have a terrace. Guests at The Secret Garden can enjoy a à la carte breakfast. The Secret Garden offers a barbecue. The area, where the hostel is located, is popular for cycling, and bike hire and car hire are available on site. Monkey Mountain is 8 km away, while the nearest airport is Da Nang International Airport, 3 km from the property. ***Property Policies & Conditions: 1. Cancellation Policy: 1 day before arrival. 2. Check in from 14:00 to 23:00. 3. Check out before 12:00. 4. Payment upon arrival by cash or credit card, but extra charge for credit card service fee. 5. Taxes: included. 6. Breakfast: not included. 7. Curfew: from 00:00 to 07:00. 8. No smoking in rooms, but designated area is provided. 9. Reception Working Hours: form 07:00 to 23:00.  View House Rules  ",unknown,7.2,Hostel,8.8,The Secret Garden,US$4.41,7.7,Very Good,77,8.0,"Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, BBQ, Bicycle Parking, Breakfast Not Included, Common Room, Hair Dryers, Hot Showers, Outdoor Terrace, Parking, 24 Hour Reception, 24 Hour Security, ATM, Bicycle Hire, Express check-in / out, Housekeeping, Internet Access, Internet café, Luggage Storage, Reception (limited hours), Bar, Cafe, Wi-Fi",8.2,8.0
6.3,Da Nang,7.4,Vietnam,"A brandly new hostel in town which is equipped with impressively cool conveniences and interior design is certainly supposed to beautify your holidays in Da Nang city and get you truly satisfied. FREE BREAKFAST (menu including toast, eggs, jam,egg noddles, sausage noodles) and a cup of COFFEE or TEA FREE WATER REFILL FREE WIFI FREE MAP Like other cities in Vietnam, motorcycles are popular means of transport in Danang.Our advice is that you rent a motorbike, only 100,000 VND per day to explore Danang, It would be really interesting experience. There's a good local supermarket about 10 mins walk away where you can find anything you want from fresh foods to essential items. It is super convenient when staying Fedora hostel when you've got early or late flight because the airport is very close. 5 minutes to Nguyen Tat Thanh beach 300m to the bus stop to Hoi An 1,7km to train station You will find a 24-hour front desk at the property. Featuring tastefully furnished guestrooms. When guests need guidance on where to visit, the reception will be happy to provide advice.  View House Rules  ",unknown,7.9,Hostel,7.3,Fedora Hostel,US$3.85,7.7,Very Good,110,8.9,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Common Room, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Parking, Reading Light, Security Lockers, Washing Machine, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Cafe, Tea & Coffee Making Facilities, Board Games, Wi-Fi",8.1,7.9
9.3,Da Nang,10.0,Vietnam,"Moon Hotel & Apartment features an outdoor swimming pool, garden, a fitness center and bar in Danang. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi. The property provides a shared lounge, a concierge service and currency exchange for guests. Guest rooms have air conditioning, a flat-screen TV with satellite channels, an electric teapot, a shower, a hairdryer and a desk. Each room has a private bathroom with free toiletries, while selected rooms come with a kitchen with a microwave. All rooms include a closet. Buffet and Asian breakfast options are available daily at the hotel. Moon Hotel & Apartment has a terrace. Terms & Conditions Cancellation policy: 7 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Check out before 12:00 . 24 hours reception. Taxes included. Breakfast included. No curfew. Child friendly only if staying with the guardiance in private rooms. Non smoking except specific areas.  View House Rules  ",unknown,8.7,Hotel,8.0,Moon Hotel & Apartment,US$13.71,9.2,Superb,3,9.3,"Free Breakfast, Free Parking, Free WiFi, Linen Included, Adaptors, Air Conditioning, Card Phones, Dryer, Elevator, Fitness Centre, Hair Dryers, Iron / Ironing Board, Parking, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Reception, Airport Transfers, Currency Exchange, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Wake-up calls, Bar, Café, Restaurant, Wi-Fi",10.0,9.3
8.4,Da Nang,9.8,Vietnam,"Welcome to The Rooster Cafe, Dormitory & Studio. It is located at 61 Phan Tu Street, which is in the center of entertainment. We are trying our best to deliver professional services as well as creating a welcoming atmosphere for every customer; so that you can share out the different lifestyle and culture to others. With a passion in the Hospitality and Tourism Industry, we guarantee that you will be satisfied by our exceptional services and enjoy the unique accommodation design. Forget the city life that drives you nuts every day. Here you will find a lot of fun by area’s activities during the week and enjoy our unforgettable BBQ activity on the weekend. Be a part of The Rooster, you will find the accommodation just like your home! Food tour, live music, pub crawl, beach kitesurfing… Spend your time and explore the city. ***Property Policies & Conditions: 1. Cancellation Policy: 1 days before arrival. 2. Check in from 14:00 to 22:00. 3. Check out before 12:00 (noon). 4. Payment upon arrival by cash or credit card. 5. Taxes: included. 6. Breakfast: not included. 7. No curfew. 8. No smoking in rooms, but smoking area is provided. 9. Reception Working Hours: from 06:00 to 22:00. 10. Age Restriction: The minimum age to check in is 18. 11. Pets are not allowed.  View House Rules  ",unknown,9.5,Hostel,9.8,"The Rooster Cafe, Dormitory & Studio",US$4.07,9.5,Superb,18,9.8,"Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Common Room, Dryer, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Microwave, Outdoor Terrace, Parking, Reading Light, Security Lockers, Washing Machine, 24 Hour Security, Airport Transfers, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Cafe, Mini-Supermarket, Tea & Coffee Making Facilities, Wi-Fi",9.6,9.8
