atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
9.4,Vang Vieng,8.9,Laos,"Nana Backpackers Hostel is set in the heart of Vang Vieng. This 3-star hostel has a swimming pool, movie room, mini gym, bar and restaurant in the property which is all accessible by our guests. The hostel has air-conditioned private and dorm rooms with a shared bathroom. The property is located a 3-minute walk from Vang Vieng Hospital and is also located near a lot of restaurants and shops. Staff at the 24-hour front desk can provide assistance with guidance about the area and tours. The Hostel also offers: - Free Wifi - Movie Room and Mini Gym - Free Vodka and Whiskey every night - Jungle Party Tickets Available - Swimming Pool, Bar with Pool Table and Two Floor Restaurant - Tours, Bus & Flight Tickets, Visa Services and more - Laundry and Printing Service - Money Exchange (USD and Baht to Kip) **Terms and conditions**: (1) Free Cancellation: 2 Days before the arrival without being charged by the property (2) Check in from 13:00 (3) Check out Before 11:30 (4) Payment on Arrival: Cash and Credit Card, but extra Charge for credit card service fee. (5) Tax Included (6) Breakfast Not Included (7) NO smoking in Room, but have smoking area (8) Reception working hour: 24-hour  View House Rules  ",unknown,9.1,Hostel,9.6,Nana Backpackers Hostel,US$5.49,9.2,Superb,2900,8.6,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Bicycle Parking, Book Exchange, Breakfast Not Included, Cable TV, Ceiling Fan, Common Room, Cots Available, Dryer, Fitness Centre, Hair Dryers, Hot Showers, Iron / Ironing Board, Outdoor Terrace, Reading Light, Safe Deposit Box, Security Lockers, Swimming Pool, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Currency Exchange, Housekeeping, Late check-out, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Towels for hire, Bar, Cafe, Restaurant, Tea & Coffee Making Facilities, Games Room, Pool Table",9.2,9.3
,Vang Vieng,,Laos,"Savanh Sunset View Resort is situated in Vang Vieng, 8 km from Kaeng Nyui Waterfall, and has an outdoor swimming pool, a garden and a bar. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi. The accommodation features a concierge service, ticket service and currency exchange for guests. The rooms are fitted with air conditioning, a flat-screen TV with satellite channels, a microwave, a kettle, a bath, a hair dryer and a desk. At the resort rooms come with a private bathroom. Savanh Sunset View Resort offers a continental or buffet breakfast. Popular points of interest near the accommodation include Xayoh Restaurant, Kangaroon Sunset Bar and Organic Mulbery Farm Cafe. Guests are getting more for their money when compared to other properties in this city. Savanh Sunset View Resort - Terms & Conditions Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 13:00 to 23:00 . Check out from 06:00 to 12:00 . Taxes included. Breakfast included. No curfew. Pet friendly. Child friendly. Non smoking in the room, but there are smoking areas. 24 hours Receiption. This property may pre-authorise your card before arrival.  View House Rules  ",unknown,,Hotel,,Savanh Sunset View Resort,US$20.00,,No Rating,0,,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Cable TV, Fridge/Freezer, Hair Dryers, Hot Showers, Meeting Rooms, Outdoor Swimming Pool, Outdoor Terrace, Parking, Safe Deposit Box, Swimming Pool, 24 Hour Reception, 24 Hour Security, Business Centre, Concierge, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Room service (limited hours), Shuttle Bus, Tours/Travel Desk, Wake-up calls, Café, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",,
,Vang Vieng,,Laos,"Welcome to Vang Vieng Homestay ! A place you can call home, join the fam, meet as travelling strangers and leave as friends. On the doorstep of Vang Vieng's glorious mountains, we've got the view, the sunset and the chilled vibes sorted for you. Our Kiwi, Aussie, Japanese, French, Vietnamese slash Irish staff are here for chats and chills in all of the above languages. Once the sun goes down and you're ready to rave with us, we got the party sorted with free  pool  every night and open mic jam sesh's going on 3 times a week. Also, . Good sale breakfast. You just got an invite to an omlette party. See you there friends!  View House Rules  ",unknown,,Hostel,,Vang Vieng Homestay,US$3.40,,No Rating,261,,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Air Conditioning, Book Exchange, Breakfast Not Included, Cable TV, Ceiling Fan, Outdoor Terrace, Parking, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Towels for hire, Bar, Cafe",,
,Vang Vieng,,Laos,"Set in Vang Vieng, Vang vieng centralpark hotel features an outdoor pool. Variety of foods are served at the restaurant on site. Free WiFi and free private parking are available for guests' convenience. Hotel is located near Sakura Bar, the most famous bar in Vang vieng All rooms here come with an air conditioning and a flat-screen TV. Some units are also fitted with a seating area for guests' comfort. A private bathroom is included in each room. Staff are 24-hour available at the front desk and can assist all guests on a surcharged airport shuttle service. Guests can enjoy breakfast in their room or socialize at the shared lounge. Special diet menus are possible upon request.  Terms and Conditions: Free Cancellation: 1 Day before the arrival,otherwise being charged by the property Check in from 1:00 PM Check out Before 11:00 AM Payment on Arrival: Cash and Credit Card, but extra Charge for credit card service fee. Tax Included Breakfast Included No smoking in Room, but have smoking area Reception working hours 24hrs  View House Rules  ",unknown,,Hotel,,Vang Vieng Central Park Hotel,US$13.33,,No Rating,0,,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Cable TV, Dry Cleaning, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Key Card Access, Meeting Rooms, Outdoor Swimming Pool, Parking, Reading Light, Safe Deposit Box, Swimming Pool, 24 Hour Reception, 24 Hour Security, ATM, Bicycle Hire, Concierge, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Room Service  (24 hours), Room service (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Café, Mini-Supermarket, Minibar, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",,
8.0,Vang Vieng,10.0,Laos,"Set in Vang Vieng, Vang Vieng Garden Bungalow offers a garden and bar. Each accommodation at the hotel has garden views, and guests can enjoy swimming and relax by the outdoor pool. Rooms are complete with a private bathroom and air conditioning. Selected rooms have a balcony. Breakfast is available each morning and includes a buffet and vegetarian options. Languages spoken at the reception include English, Lao, and Thai, and guests are invited to request advice on the area when needed. Vang Vieng Hospital is a 4-minute walk from the accommodation, while Post Office is 600 m away. Terms and Conditions: Free Cancellation:3 Days before the arrival without being charged by the property Check in from 01: PM Check out Before 11:00 AM Payment on Arrival: Cash and Credit Card Tax Included Breakfast Included No Smoking in Room Reception working hours 24hrs  View House Rules  ",unknown,10.0,Hotel,10.0,Vang Vieng Garden Bungalow,US$8.00,9.7,Superb,19,10.0,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Adaptors, Air Conditioning, Book Exchange, Cable TV, Card Phones, Ceiling Fan, Cots Available, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Hot Tub, Outdoor Swimming Pool, Outdoor Terrace, Parking, Swimming Pool, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Postal Service, Reception (limited hours), Room Service  (24 hours), Shuttle Bus, Tours/Travel Desk, Wake-up calls, Café, Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",10.0,10.0
7.0,Vang Vieng,6.4,Laos,"Pan's place, situated on the main street of Vang Vieng, offers a friendly home from home atmosphere for all our guests. We pride ourselves in offering very clean rooms at an affordable price as well as many other comforts and services. We have an outdoor swimming pool, movie room, free computers, an onsite restaurant & coffee shop, laundry service, travel & tour bookings and book exchange. We are not a party hostel. We run a peaceful quiet old style backpackers venue with some modern home comforts. We invite you to be part of our extended family during your stay in Vang Vieng. Quiet location, only 300 metres from the centre of town , and 200 metres from the river. Restaurant open from 7.30am till 10pm, offering snacks and meals. Internet cafe, free for guests. TV room with hundreds of movies updated every month. Communal balcony with a great view of the mountains and sunset & hammock area in garden by the pool. Laundry service. Free drinking water. All rooms have fans, comfortable beds and are mossie proofed. Cheerful,friendly and good looking staff who can speak English, Lao. All our taps, showers, sinks and lights actually work!!!! All rooms have somewhere to hang your towels and clothes!!!!  View House Rules  ",unknown,7.3,Hostel,9.2,Pans Place Guesthouse,US$3.93,7.6,Very Good,1000,7.6,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Bicycle Parking, Book Exchange, Breakfast Not Included, Cable TV, Ceiling Fan, Common Room, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Safe Deposit Box, 24 Hour Security, ATM, Currency Exchange, Internet Access, Luggage Storage, Tours/Travel Desk, Cafe, Meals Available, Restaurant, Board Games, DVD's",7.9,7.4
9.5,Vang Vieng,7.5,Laos,"The Real Vang Vieng  Backpackers Hostel is a newly opened Backpacker Hostel in Vang Vieng (8/2015). With the best location right in the heart of the little city, we offer everything what a backpacker heart needs. We provide 6-bed-dorms and private rooms for one, two or three people. All our rooms are newly renovated, very clean, with thick comfy matresses, controllable Air-Conditioning, hot showers, free wi-fi in all the hostel and a free breakfast (out of a choice of 5), all that for a very good price. We also offer a choice of western and vietnamese foods, drinks, cheap bus tickets all around, as a free soccer and pool table in our common room, where you can just hang out, have a drink, get ready to party, play games or just have a chat as there are always people around. You will find yourself in the center of Vang Vieng, with everything just close by, as all the restaurants, streetfoods, all kind of shops, motorbike rentals, tubing rental, ATMs, banks, travelagencys and what else you need. There is a lot to do in Vang Vieng so we offer advice and cheap tours aswell to help you to find exactly the things you want to do. The main things to do in Vang Vieng are: Tubing down the river from bar to bar (you can do that on your own), tubing and kayaking in the cave, zip-lining in the mountains, climbing, going around on your own with motorbikes or just hanging out and chill. Real Backpackers Hostel Vang Vieng  is a cheap and laid place to base yourself in Vang Vieng. The Hostel is runned by the friendly family of Tom and his wife who are happy to help you out to make you have the best time.  View House Rules  ",unknown,7.5,Hostel,10.0,Real Backpackers Hostel Vang Vieng,US$5.69,8.6,Fabulous,1034,7.0,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Breakfast Not Included, Card Phones, Common Room, Hair Dryers, Hot Showers, Meeting Rooms, Parking, Safe Deposit Box, Security Lockers, Towels Not Included, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Towels for hire, Bar, Cafe, Meals Available, Restaurant, Tea & Coffee Making Facilities, Games Room, Pool Table",9.0,9.5
9.5,Vang Vieng,10.0,Laos,"Featuring an outdoor swimming pool, bar, restaurant, free buffet breakfast and views of the mountain. Among the facilities of this property are a restaurant, bar, a 24-hour front desk, and room service, along with free WiFi. The accommodation provides ticket service, a tour desk, laundry service, bike rentals, bus/flight Tickets, Vietnam visa help and currency exchange for guests. All units in the hotel are equipped with a kettle. A buffet breakfast is available daily from 6:30am - 10am at Jasmine Vangvieng Hotel. The accommodation offers a terrace. Terms & Conditions Cancellation policy: 2 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 13:30 to 23:00 . Check out before 11:30. 24 hours reception. Taxes included. Breakfast included. No curfew. Child friendly. Non smoking except specific areas.  View House Rules  ",unknown,9.8,Hotel,10.0,Jasmine Vang Vieng Hotel,US$11.75,9.8,Superb,12,10.0,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Cable TV, Dry Cleaning, Fridge/Freezer, Hair Dryers, Hot Showers, Indoor Swimming Pool, Parking, Safe Deposit Box, Swimming Pool, 24 Hour Reception, 24 Hour Security, Currency Exchange, Housekeeping, Internet Access, Luggage Storage, Room service (limited hours), Tours/Travel Desk, Bar, Meals Available, Minibar, Restaurant, Wi-Fi",10.0,9.6
9.9,Thakhek,10.0,Laos,"Naga Hostel & Cafe is set in Thakhek, just 1 minutes' walk from the Kong River and Night Market. A highlight of the area is the Third Thai-Lao Friendship Bridge, just 10 km from the hostel. Nang Cave is 19 km away. Among the various facilities offered at the hostel is a restaurant with a small outdoor seating area available, a 24-hour front desk and free WiFi throughout the building. There is a seating area in the restaurant with comfortable sofas so you can sit, relax, and enjoy a drink of your choice; perhaps a glass of wine or a coffee made from freshly ground Lao coffee. Guests at Naga Hostel & Café can enjoy both Lao and Western cuisine. The area is good for cycling and the hostel offers bicycle hire. Thakhek Bus station is just 10 minutes' away while Nakhon Phanom is 3 km away. The shared bathroom is fitted with a shower. The rooms at Naga Hostel & Cafe have air conditioning and free Wifi. Terms & Condition Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 13:00 to 23:00 . Check out from 06:00 to 11:00 . Reception from 06:00 to 23:00 Taxes included. Breakfast not included. Curfew from 11:00 PM to 5:30 am. Child friendly. Non smoking except specific areas. Cash only. Age can book from 18 to 40 years old.  View House Rules  ",unknown,9.8,Hostel,9.8,Naga Hostel & Cafe,US$6.74,9.9,Superb,42,9.8,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Breakfast Not Included, Card Phones, Ceiling Fan, Common Room, Jobs Board, Parking, Reading Light, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Internet café, Laundry Facilities, Luggage Storage, Shuttle Bus, Tours/Travel Desk, Wake-up calls, Cafe, Meals Available, Restaurant, Wi-Fi",9.9,9.9
6.0,Pakse,8.0,Laos,"Wopakok Hotel is centrally situated in Champasak district, near the capital of Pakse. An ideal place that will allow you to discover the riches of the area (Vat Phou, waterfalls, boat trips, elephant farm…). For this we provide free bicycles, offer a rental of scooters and we can store your luggage if you go on several days (Pakse loop). On the grass, in the hammocks, on the swings you can relax in the shady garden or on the terrace. Or enjoy the buoys and swim in the Mekong with direct access from the garden. All the rooms have fans and shared bathroom, air conditioning is available in the double rooms. The bar and restaurant are open all the day. Free wifi. The easiest way to get here is by motorbike if you decided to rent one in Pakse (Cross the bridge and stay on the road 16W and turn on the first left direction Champasak) but we have also a free shuttle service twice a day. Don’t hesitate to ask us if you need anything.  View House Rules  ",unknown,6.0,Hostel,6.0,Wopakok Hotel,US$12.00,7.1,Very Good,29,10.0,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Bicycle Parking, Breakfast Not Included, Card Phones, Ceiling Fan, Common Room, Hot Showers, Parking, Late check-out, Luggage Storage, Reception (limited hours), Wake-up calls, Bar, Meals Available, Restaurant, Tea & Coffee Making Facilities, Foosball, Wi-Fi",8.0,6.0
