atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
8.9,Hanoi,9.1,Vietnam,"Hanoi Little Town Hotel is in the heart of Hanoi with most popular tourist destination as Night market, Hoan Kiem Lake, Ngoc Son Temple, Hanoi Opera House and the popular Thang Long Water Puppet Show, Night Market on Hang Ngang, Hang Dao Str (every Friday, Saturday and Sunday nights), Ancient House of Hanoi in Ma May street,  shopping centers and banking facilities. Hanoi Little Town Hotel is special french style : spacious rooms, offering panoramic views from your balcony, working desk, and comfy beds. Our professional team – built of young, friendly and easy going people with experiences in hospitality field always listen and try to answer all of your question. An exceptional that has drawn much praise and repeat business Please come and find for yourself why we are the first choice in Hanoi Old Quarter At Hanoi Little Town Hotel we will make sure you get the most out of your stay in Vietnam. Our tours are guaranteed great value; free big breakfast; fruit, tea and coffee available all day, restaurant catering both Vietnamese and Western cuisines, bar, and gift shop for all those Western comforts you miss while traveling. Book with Hanoi Little Town today to guarantee a truly amazing stay in this exciting, vibrant and captivating city. Inspring you alway. Our reception open 24 hour, Pls clock the door and ring the bell on your right hand  if you back hotel at mid night.  View House Rules  ",1,8.3,Hotel,9.7,Hanoi Little Town Hotel,US$9.60,9.0,Superb,74,9.1,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Adaptors, Air Conditioning, Book Exchange, Cable TV, Cots Available, Elevator, Hair Dryers, Hot Tub, Meeting Rooms, Reading Light, Safe Deposit Box, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Bicycle Hire, Business Centre, Currency Exchange, Direct Dial Telephone, Fax Service, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Postal Service, Shuttle Bus, Tours/Travel Desk, Bar, Minibar, Restaurant, Tea & Coffee Making Facilities",8.9,8.9
8.5,Hanoi,8.9,Vietnam,"Hanoi Wonderland Homestay is situated in the heart of Vietnam's Capital City - Hano, in Hanoi's most popular tourist destination - The Old Quarter. The Old Quarter is the hub for experiencing Vietnam's rich culture, with not to be missed breathtaking destinations such as nearby Ha Long Bay and Sa Pa. Staffed by friendly locals, certified tour guides, and travel experts, we want to make sure your time in Vietnam is both enjoyable, and memorable! And we also provide free breakfast that guests love. Hanoi Wonderland Homestay is surrounded by local cafes, shops, restaurants, markets, bars, art galleries, and only a 5 minute walk to Hoan Kiem Lake; the most photographed attraction in Hanoi.  We look forward to you staying with us and letting us show you everything Vietnam has to offer! **Things to note & policies** Free cancellation: 3 days before the arrival CVV Requirement: For any nonrefundable booking, please send your CVV code with your booking reference to us. Full balance needs to be charged before arrival. By completing the payment, your booking will be guaranteed. Check in from: 2 pm Check out before: 12 noon Payment on arrival:cash and credit card Tax included Breakfast included No curfew No smoking in the whole hostel Child friendly: free under 4 years old Pet Friendly Pets are not allowed Reception time: 24 hours  View House Rules  ",0.6,8.4,Hotel,9.3,Hanoi Wonderland Homestay,US$13.71,8.9,Fabulous,12,8.7,"Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Ceiling Fan, Dry Cleaning, Elevator, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Shuttle Bus, Tours/Travel Desk, Café, Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",9.8,8.9
8.3,Hanoi,8.1,Vietnam,"Old Quarter H&H Hostel is a good choice for you. Our rooms are all air conditioned with free wifi throughout the hostel. Our beds all have privacy curtains, reading lights, charging outlets, and the beds are all oversized 6 1/2 ft beds with comfy mattresses!! We also have oversized lockers for the serious travelers! Our front desk are experienced and certified travel agents and tour guides who can arrange anything from your airport shuttle to making memories in Sa Pa, Ha Long Bay, or anything else Vietnam has to offer! Stay with us!  Travel with us! **Things to note & policies** What'sApp us after booking to start your tour planning! Free Cancellation: 3 days before the arrival. CVV Requirement: For any nonrefundable booking, please send your CVV code with your booking reference to us. Full balance needs to be charged before arrival. By completing the payment, your booking will be guaranteed. Check in from 14:00 PM Check out before 12:00 PM Payment on arrival:cash Tax included Breakfastnot included No curfew No smoking in room, but have smoking area No age restriction Reception working period/time:24/7  View House Rules  ",1,8.6,Hostel,9.7,Old Quarter H&H Hostel,US$6.42,9.0,Superb,77,9.3,"Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Ceiling Fan, Common Room, Hair Dryers, Hot Showers, Parking, Reading Light, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Shuttle Bus, Tours/Travel Desk, Cafe, Meals Available, Tea & Coffee Making Facilities, Board Games, Games Room, Wi-Fi",9.6,9.3
8.4,Hanoi,9.1,Vietnam,"If  you are  looking for  a fantastic  hostel in the heart of the old quarter , great beds, big lockers, friendly staff, free  breakfast look no further, Vietnam Cheers Hostel is located in the middle of Hanoi Old Quarter , which is conveniently just a three-minute walk to Ta Hien Street – the lively heaven of bars and street food and Dong Xuan Night Market, the  old city gate, hoan kiem lake,  the heart of Hanoi nightlife. We are home of Epic Ha Giang Loop Tour with motorbike Tour - Join Us when you arrival Hanoi In here provide daily tours : halong bay cruise, Sapa trekking tours, Hoa Lu Tam Coc, Perfume pagoda, Train, bus, flight  tickets…etc….good advice, good price,  View House Rules  ",0.8,9.0,Hostel,9.4,Vietnam Cheers Hostel,US$5.93,9.1,Superb,350,9.4,"Free Breakfast, Free City Maps, Free City Tour, Free Internet Access, Free WiFi, Air Conditioning, Cable TV, Card Phones, Common Room, Dryer, Hair Dryers, Hot Showers, Key Card Access, Meeting Rooms, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Currency Exchange, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Tours/Travel Desk, Towels for hire, Wake-up calls, Cafe, Wi-Fi",9.1,9.3
7.7,Hanoi,8.1,Vietnam,"Amazing Hostel, the relaxing hostel in the busy old quarter. Recently opened by young local people in a fully renovated art deco building. Amazing hostel offers a cosy underground bar, Gym area with fantastic view on Old Quarter, fast free WiFi, check-out until 12am, custom bunk beds (with curtains, reading light, power plugs, phone charger, private lockers and comfort mattress), the coolest bar in town with a carefully curated selection of local beer, coffee and Hanoian specialties. We also offer: 24/7 check-in, travel desk helpful and friendliest staff, Local food and drinks, Custom bunked, City expert desk, High-speed free WiFi, free breakfast, happy hour from 5:30 pm till finished keg. Amazing is located in Old Quarter which features a bunch of bars and coffee shops full of young and cool people, and close to all must-see Hanoi. Terms and conditions: Free Cancellation:1 Days before the arrival without being charged by the property Check in from 13h 00 Check out Before 12h 00 Payment on Arrival:Cash and Credit Card, but extra Charge for credit card service fee. Tax Included Breakfast Included NO smoking in Room, but have smoking area Reception working hours 24 hours  View House Rules  ",0.9,8.3,Hostel,9.1,Hanoi Amazing Hostel,US$5.27,8.4,Fabulous,219,8.6,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Card Phones, Ceiling Fan, Common Room, Cooker, Dishwasher, Dryer, Elevator, Fitness Centre, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Parking, Reading Light, Safe Deposit Box, Security Lockers, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Currency Exchange, Express check-in / out, Fax Service, Housekeeping, Internet Access, Internet café, Late check-out, Luggage Storage, Postal Service, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Towels for hire, Wake-up calls, Bar, Cafe, Mini-Supermarket, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",8.7,8.5
7.7,Hanoi,8.1,Vietnam,"If you find somewhere clean, cozy, quite, good bed, privacy dorm, big locker, friendly staff, good breakfast, interesting travel information. Stay in Cocoon Inn II. We set Cocoon Inn II a very high standard. Cocoon Inn II is located in the middle of Hanoi Old Quarter Part, which is conveniently just a three-minute walk to Ta Hien Street – the lively heaven of bars and street food and Dong Xuan Night Market, the spotlight of Hanoi nightlife. We pride ourselves on having a team of helpful, attentive staff, who will provide you with travel information and any information about the local places. Cocoon Inn II team will make sure you have the best of time while you are staying with us.  View House Rules  ",0.7,8.5,Hostel,9.2,Cocoon Inn II,US$5.00,8.6,Fabulous,243,9.1,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Adaptors, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Card Phones, Dryer, Hair Dryers, Hot Showers, Hot Tub, Iron / Ironing Board, Key Card Access, Meeting Rooms, Outdoor Terrace, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, 24 Hour Reception, 24 Hour Security, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Luggage Storage, Postal Service, Reception (limited hours), Tours/Travel Desk, Bar, Cafe, Meals Available, Tea & Coffee Making Facilities, Games Room",9.1,8.8
,Hue,,Vietnam,"The Orchid Hotel in Hue is a new 'boutique' style hotel with 5 star rooms and amenities that one would not expect to see in a hotel of this class, coupled with well presented, friendly staff and excellent value for money the Orchid very much lives up to its corporate slogan, ''Always Most Pleasure''. Rating & Awards: The Orchid Hotel have been well quoted in the new / updated published guide book LONELY PLANET - 10th Edition / July 2009. ( Page CENTRAL VIETNAM ..Hue 225) ' This sparkling new hotel has been receiving rave reviews for impeccable service and sterling accommodation that outstrips its three-star competitors. Beyond the usual mod cons, every room has a DVD player and stereo, and pricier rooms have a desktop computer for in-room internet access ' Ranks #8 of 85 hotels in Hue in TripAdvisor's popularity index ( Rated 4.7 of 5 base on 536 reviews worldwide.) (Source : Tripadvisor.com) What did customers like about Orchid Hotel? 'A Most Amazing Place, and The Most Wonderful Staff Ever' Jul 26, 2010 | Trip type: Business My son and I traveled to Hue for both business and pleasure. We found this hotel on tripadvisor.com, and this is the best place we stayed on our trip through four cities in Vietnam (Ho Chi Minh City, Vung Tau, Hue, and Hanoi). Not only that, it has the nicest and most competent and caring staff of any hotel I have ever stayed in anywhere in the world. What a place! This hotel is beautiful, with curb appeal from the outside, and it is just as attractive inside. Its lobby is intimate and lovely, the dining room has a beautiful decor with a fountain on one wall. The room we were in is elegant, with a wood appointed decor and great beds, with free internet access constantly available on the provided in room computer. The most marvelous thing at the Orchid Hotel is something money cannot buy, a staff that truly is caring and genuinely passionate about providing the best quality service anyone can imagine. From housekeeping to the manager, they were superior. The bellmen where always there to help and to arrange services and trips needed, the receptionists at the front desk were like best friends, making you feel so welcome 100% of the time regardless of which one was on duty (thank you all so very much), the cooks and waitresses in the restaurant always had a great breakfast tailored to individual needs, the driver in the hotel car provided for an out of town business trip to Da Nang and found a conference when I had no real address for it...he was amazing. These wonderful people all make you feel not only welcome, but as part of their family while there. There is a gentleness, and genuiness about this staff that starts at the top, from the manager, Mr Dung,who so obviously cares about his staff and it resonates through the entire hotel. They greet you when you come down by name and worry about you when you do not. They truly care about their guests as if they have welcomed you into their personal homes and show you the best care that I have ever had in a hotel anywhere. This is a world class staff, whose style should be envied by any hotel regardless of how many stars it has acquired. For service alone, on a five star hotel rating scale, this staff gets a rating of ten stars from me. They are over the top, way over the top! If I could make a suggestion, it would be that other hotels world wide should send staff to the Orchid Hotel to see how a hotel should treat guests. It would improve hotel service for any who copied their style and sophistication. I would recommend this hotel to anyone, from travelers such as my son and I, to kings and political leaders. They made us feel like royalty and we are just a teacher and a college professor. We felt as if they scattered flower petals in our paths where ever we went, and somehow, I think they really did. Only they and we know how much that is really true! To the staff of the Orchid Hotel, all of you, I thank you for making our stay memorable beyond belief. You are the best ever. I only wish I could stay with you where ever I go. Somehow that is just not possible, So I must return to Hue to your hotel. Count on it!  View House Rules  ",1.3,,Hotel,,Orchid Hotel,US$18.00,,No Rating,163,,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Adaptors, Air Conditioning, Book Exchange, Cable TV, Elevator, Hair Dryers, Hot Showers, Key Card Access, Parking, Reading Light, Safe Deposit Box, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Business Centre, Currency Exchange, Fax Service, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Postal Service, Tours/Travel Desk, Bar, Minibar, Restaurant, Vending Machines, DVD's",,
,Hue,,Vietnam,"Share Dorm Hostel is a great place for you with your loved and friends. It is located in the heart of Hue city. It only takes 5 minutes from Share Dorm Hostel to the Perfume River and Truong Tien Bridge and Huong River by walking, to supermarket and Dong Ba Market 10-minute and surrounded by restaurants, bars, amusement parks and shopping. Especially, Share Dorm located on the campus of Share Cafe, a good place for you to relax and enjoy coffee. Share Dorm Hostel is designed in a modern style, equipped with equipment facilities. Each room is fully air-conditioned, quality mattress and essential items. With a neat and creating layout, which makes the privacy for the guest. Each bed has a curtain pulled around, the drawer containing personal belongings, reading lamps and individual desks for each person. The bathroom is spacious and fully equipped to make your stay comfortable and meaningful.  View House Rules  ",1.7,,Hostel,,Share Dorm Hostel,US$4.00,,No Rating,118,,"Free Breakfast, Free City Maps, Free Internet Access, Free WiFi, Air Conditioning, Card Phones, 24 Hour Reception, 24 Hour Security, Late check-out, Reception (limited hours), Towels for hire, Cafe, Wi-Fi",,
5.3,Hue,8.0,Vietnam,"Located an 18-minute walk from Notre Dam Cathedral, TOVO Hostel provides accommodations with WIFI for your convenience. The structure of TOVO Hostel is designed by the wide arches, the fresh green color of trees, the sky and the sea, characterized by Mediterranean style that will give you a peaceful resting place, comfortable and close to nature. Wood furniture is the main choice for TOVO Hostel and the smallest details are carefully cared for in order to bring satisfaction to you. **Things to note & policies** Free cancellation: 7 days before the arrival. You will be charged the total price if you cancel in the 7 days before arrival. Check in from: 14:00-0:00 Check out: 05:00-12:00 Payment on arrival: cash and credit card Tax included in room rate Free breakfast included No smoking in the room but have smoking area Pets are not allowed  View House Rules  ",1.2,7.7,Hostel,8.3,TOVO Hostel,US$4.28,7.4,Very Good,11,7.7,"Free Breakfast, Free Internet Access, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Common Room, Cooker, Fridge/Freezer, Hair Dryers, Hot Showers, Microwave, Reading Light, Security Lockers, Housekeeping, Internet Access, Luggage Storage, Reception (limited hours), Meals Available, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",7.0,7.7
9.0,Hue,9.0,Vietnam,"Perfectly located in the heart of Hue City. Each room at our homestay is air conditioned and has a flat-screen TV and a private bathroom equipped with a shower. For your convenience, you can find a kettle, fridge, hair-dryer or even a minibar in the room. There are numbers of Street food, restaurant, and Cafe just around the corner. Citadel, Walking street, DongBa Market, Trang Tien Bridge, Hue train station are within walking distance of our homestay. Our homestay is a 3-story building and it is located in a quiet and safe neighborhood. On site, we also provide breakfast and free wifi. Approaching us, you can find different tourist information and different kind of services. We treat our guests as friends and aim to make you pleasure staying. We can speak English, Chinese and Vietnamese Terms and Conditions: Free Cancellation: 1 Days before the arrival without being charged by the property Check in from 1300-2200 Check out Before 1130 Payment on Arrival：Cash and Credit Card, but extra Charge for credit card service fee. Tax Included Breakfast Included No Smoking in the whole hostel Reception working hours 0700-2200  View House Rules  ",0.5,9.0,Bed and Breakfast,10.0,Hue Sweethouse Homestay,US$9.50,9.4,Superb,5,9.0,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Card Phones, Dry Cleaning, Fridge/Freezer, Hair Dryers, Hot Showers, Hot Tub, Parking, Self-Catering Facilities, Airport Transfers, Bicycle Hire, Currency Exchange, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Minibar, Tea & Coffee Making Facilities, Wi-Fi",10.0,10.0
